"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Gap junction assembly	Reactome	R-HSA-190861	7	36	7.48E-05	0.000240971	GJA1|TUBA8|GJA5|GJB1|TUBA1A|GJB2|GJB6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190861
Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome	R-HSA-6782210	9	65	7.81E-05	0.000251271	HMGN1|ERCC2|GTF2H5|GTF2H4|CDK7|MNAT1|TCEA1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6782210
EPH-ephrin mediated repulsion of cells	Reactome	R-HSA-3928665	8	50	7.87E-05	0.000252663	EFNB2|EFNB3|EFNB1|EPHB6|EPHB3|FYN|TIAM1|CLTA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3928665
TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	10	82	8.36E-05	0.000267902	TP63|TP53|G6PD|PRDX2|SFN|AKT1|AKT3|TEP1|TSC2|GLS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5628897
APC/C:Cdc20 mediated degradation of Securin	Reactome	R-HSA-174154	9	66	8.69E-05	0.000277889	RPN2|PSMD9|PSMD4|PSMD13|PSMA1|PSMC1|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174154
African trypanosomiasis	KEGG PATHWAY	hsa05143	7	37	8.71E-05	0.00027801	TLR9|FAS|THOP1|ICAM1|IL1B|MYD88|NPPA	http://www.genome.jp/kegg-bin/show_pathway?hsa05143/hsa:54106%09red/hsa:3553%09red/hsa:3383%09red/hsa:7064%09red/hsa:4878%09red/hsa:355%09red/hsa:4615%09red
Constitutive Signaling by AKT1 E17K in Cancer	Reactome	R-HSA-5674400	6	25	9.00E-05	0.000286491	NR4A1|AKT1|FOXO1|AKT3|FOXO4|TSC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5674400
FGFR1 mutant receptor activation	Reactome	R-HSA-1839124	6	25	9.00E-05	0.000286491	TRIM24|PIK3CA|GAB2|STAT5B|STAT5A|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839124
Inflammation mediated by chemokine and cytokine signaling pathway	PANTHER	P00031	16	201	9.43E-05	0.000299451	MYH10|PTGS2|NFATC4|SHC1|AKT1|CCL18|JUN|PRKCE|GRAP|TEP1|PLCG2|AKT3|PIK3CA|ARRB1|MAPK1|RRAS	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00031
Alcoholism	KEGG PATHWAY	hsa05034	15	180	9.64E-05	0.000305125	SLC6A3|HDAC1|HDAC3|HDAC5|SHC1|HDAC7|PPP1CA|FOSB|HDAC6|H2AFX|GNG11|GRIN2B|MAOA|MAPK1|CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa05034/hsa:10014%09red/hsa:5594%09red/hsa:10013%09red/hsa:9586%09red/hsa:2791%09red/hsa:3014%09red/hsa:9734%09red/hsa:3065%09red/hsa:6531%09red/hsa:8841%09red/hsa:5499%09red/hsa:2904%09red/hsa:6464%09red/hsa:2354%09red/hsa:4128%09red
Long-term potentiation	KEGG PATHWAY	hsa04720	9	67	9.64E-05	0.000305125	RPS6KA2|PPP1CA|ADCY8|RAP1A|GRIN2B|MAPK1|CAMK2B|GRM5|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04720/hsa:5594%09red/hsa:5906%09red/hsa:6196%09red/hsa:1387%09red/hsa:816%09red/hsa:5499%09red/hsa:114%09red/hsa:2904%09red/hsa:2915%09red
Regulation of beta-cell development	Reactome	R-HSA-186712	7	38	0.000100939	0.000318851	HNF4A|FOXO1|KAT2B|AKT1|FOXA3|AKT3|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186712
Integrin signaling	Reactome	R-HSA-9006921	6	26	0.000108544	0.000341639	RASGRP2|SRC|SHC1|RAP1A|AKT1|CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006921
Integrin alphaIIb beta3 signaling	Reactome	R-HSA-354192	6	26	0.000108544	0.000341639	RASGRP2|SRC|SHC1|RAP1A|AKT1|CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-354192
Regulation of PLK1 Activity at G2/M Transition	Reactome	R-HSA-2565942	10	86	0.000119831	0.000376487	CCNB2|PAFAH1B1|TUBA1A|PLK4|CSNK1D|PRKAR2B|AURKA|CEP72|NDE1|DLC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2565942
SUMOylation of DNA methylation proteins	Reactome	R-HSA-4655427	5	16	0.000124947	0.000391858	UBE2I|DNMT3B|DNMT1|PHC1|PHC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4655427
3-phosphoinositide biosynthesis	BioCyc	PWY-6352	6	27	0.000129942	0.000406796	PIP5K1B|PIK3R3|PIK3R2|PIK3R1|PIK3CA|PIP5KL1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6352
Epithelial cell signaling in Helicobacter pylori infection	KEGG PATHWAY	hsa05120	9	70	0.000130541	0.000407942	SRC|ATP6V1E1|JUN|PLCG2|IKBKG|ADAM17|NFKB1|MAPK8|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa05120/hsa:5336%09red/hsa:6868%09red/hsa:8517%09red/hsa:5600%09red/hsa:3725%09red/hsa:5599%09red/hsa:4790%09red/hsa:529%09red/hsa:6714%09red
Negative regulation of MAPK pathway	Reactome	R-HSA-5675221	7	40	0.000134108	0.000418342	PPP2CA|MAPK1|DUSP9|PPP2R5D|DUSP7|PPP2R5C|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675221
Parkinson disease	PANTHER	P00049	10	88	0.000142439	0.000443538	SLC6A3|SRC|PSMA1|HSPA9|FYN|SFN|CSNK1D|MAPK1|BLK|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00049
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	Reactome	R-HSA-168643	8	55	0.000142854	0.000444039	TRAF6|BIRC2|TNFAIP3|RIPK2|CYLD|IKBKG|NFKB1|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168643
Bladder cancer	KEGG PATHWAY	hsa05219	7	41	0.000153728	0.000476991	SRC|TP53|E2F1|RASSF1|MAPK1|E2F3|MYC	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:5594%09red/hsa:11186%09red/hsa:7157%09red/hsa:1871%09red/hsa:6714%09red/hsa:4609%09red/hsa:1869%09red
SUMOylation of transcription factors	Reactome	R-HSA-3232118	5	17	0.00015846	0.000489987	UBE2I|TFAP2C|PIAS1|TP53|HIC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232118
AURKA Activation by TPX2	Reactome	R-HSA-8854518	9	72	0.000158476	0.000489987	PAFAH1B1|TUBA1A|PLK4|CSNK1D|PRKAR2B|AURKA|CEP72|NDE1|DLC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8854518
TNF signaling	Reactome	R-HSA-75893	7	42	0.000175606	0.000541995	BIRC2|TNFAIP3|CYLD|IKBKG|RBCK1|ADAM17|RNF31	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75893
@@Parkinson disease	KEGG PATHWAY	hsa05012	3	142	0.68910901	0.712309963	SLC6A3|NDUFA7|PARK7	http://www.genome.jp/kegg-bin/show_pathway?hsa05012/hsa:4701%09red/hsa:11315%09red/hsa:6531%09red
Budding and maturation of HIV virion	Reactome	R-HSA-162588	6	29	0.000182703	0.000561941	CHMP4B|CHMP4C|NEDD4L|VPS4B|VTA1|PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162588
Opioid Signalling	Reactome	R-HSA-111885	10	91	0.000183032	0.000561941	PPP1CA|PPP2CA|ADCY3|ADCY8|GNG11|CAMK2B|PRKAR2B|PPP2R5D|MAPK1|PDE4D	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111885
EPH-Ephrin signaling	Reactome	R-HSA-2682334	10	91	0.000183032	0.000561941	MYH10|EFNB3|EFNB1|EPHB6|EPHB3|FYN|GRIN2B|TIAM1|CLTA|EFNB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2682334
Inositol phosphate metabolism	KEGG PATHWAY	hsa00562	9	74	0.000191224	0.000586062	TEP1|PIK3CA|INPP5K|ITPKA|PLCG2|PIP5K1B|PIP4K2A|PIP5KL1|PIP4K2C	http://www.genome.jp/kegg-bin/show_pathway?hsa00562/hsa:5336%09red/hsa:51763%09red/hsa:5290%09red/hsa:3706%09red/hsa:138429%09red/hsa:5728%09red/hsa:8395%09red/hsa:79837%09red/hsa:5305%09red
@@Huntington disease	KEGG PATHWAY	hsa05016	15	193	0.000196565	0.00060138	HDAC1|NDUFA7|TP53|IFT57|SP1|CREB5|DNAI1|PPARGC1A|GRIN2B|PPARG|CLTA|TBP|GRM5|CREBBP|SIN3A	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:6667%09red/hsa:9586%09red/hsa:4701%09red/hsa:10891%09red/hsa:1211%09red/hsa:7157%09red/hsa:3065%09red/hsa:25942%09red/hsa:1387%09red/hsa:2904%09red/hsa:6908%09red/hsa:5468%09red/hsa:55081%09red/hsa:27019%09red/hsa:2915%09red
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	Reactome	R-HSA-6804114	5	18	0.000198427	0.000606016	SFN|CDC25C|E2F4|TP53|AURKA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804114
PI3K/AKT activation	Reactome	R-HSA-198203	4	9	0.000210038	0.000639246	PIK3CA|IRS2|PIK3R2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198203
Integration of provirus	Reactome	R-HSA-162592	4	9	0.000210038	0.000639246	XRCC6|PSIP1|PPIA|HMGA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162592
Axon guidance mediated by netrin	PANTHER	P00009	6	30	0.000214752	0.000651326	NFATC4|PIK3CA|PLCG2|PIK3R3|PIK3R2|PIK3R1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00009
@@Inositol phosphate metabolism	Reactome	R-HSA-1483249	3	50	0.138739493	0.204200263	ITPKA|PLCG2|TEP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483249
TNFR1-induced NFkappaB signaling pathway	Reactome	R-HSA-5357956	6	30	0.000214752	0.000651326	BIRC2|TNFAIP3|CYLD|IKBKG|RBCK1|RNF31	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357956
Carbohydrate digestion and absorption	KEGG PATHWAY	hsa04973	7	44	0.00022691	0.000687011	PIK3CA|MGAM|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04973/hsa:8503%09red/hsa:10000%09red/hsa:8972%09red/hsa:5295%09red/hsa:5296%09red/hsa:5290%09red/hsa:207%09red
@@TGF-beta signaling pathway	KEGG PATHWAY	hsa04350	10	94	0.000232936	0.000700408	TGFBR2|TGFB2|E2F4|PPP2CA|SP1|ID4|ID1|MAPK1|MYC|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04350/hsa:3397%09red/hsa:5594%09red/hsa:1387%09red/hsa:5515%09red/hsa:3400%09red/hsa:1874%09red/hsa:7042%09red/hsa:4609%09red/hsa:6667%09red/hsa:7048%09red
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Reactome	R-HSA-141444	10	94	0.000232936	0.000700408	MAD2L1|PPP2CA|PAFAH1B1|KIF18A|MAD1L1|ITGB3BP|NDE1|DLC1|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141444
Amplification of signal from the kinetochores	Reactome	R-HSA-141424	10	94	0.000232936	0.000700408	MAD2L1|PPP2CA|PAFAH1B1|KIF18A|MAD1L1|ITGB3BP|NDE1|DLC1|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141424
Chaperonin-mediated protein folding	Reactome	R-HSA-390466	10	94	0.000232936	0.000700408	HDAC3|TUBA8|TP53|TUBA1A|CCT7|GNG11|PDCL|PFDN5|CCT5|CCT6A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390466
Neurotransmitter receptors and postsynaptic signal transmission	Reactome	R-HSA-112314	15	197	0.00024162	0.000725273	LIN7A|AKAP5|RPS6KA2|TUBA8|ADCY3|TUBA1A|ADCY8|GNG11|SRC|KCNJ2|GRIN2B|PRKAR2B|CAMK2B|KIF17|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112314
Signaling by RAS mutants	Reactome	R-HSA-6802949	8	60	0.000245032	0.000733366	SRC|PHB|RAP1A|CNKSR2|MAPK1|CAMK2B|ARRB1|KSR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802949
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	PANTHER	P00026	13	154	0.000245154	0.000733366	RGS3|ADCY3|CREB5|GRK5|ADCY8|RAP1A|ADRB2|PRKAR2B|CLTA|CREBBP|ARRB1|GRM5|GRM2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00026
Regulation of gene expression in beta cells	Reactome	R-HSA-210745	5	19	0.000245635	0.000733551	AKT1|FOXA3|AKT3|HNF4A|FOXO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210745
Post NMDA receptor activation events	Reactome	R-HSA-438064	9	77	0.000250757	0.00074469	SRC|RPS6KA2|TUBA8|TUBA1A|ADCY8|CAMK2B|GRIN2B|MAPK1|PRKAR2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-438064
FAS signaling pathway	PANTHER	P00020	6	31	0.000251067	0.00074469	DAXX|FAS|JUN|DFFB|CFLAR|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00020
Circadian rhythm	KEGG PATHWAY	hsa04710	6	31	0.000251067	0.00074469	NPAS2|RORA|CRY1|PER2|CSNK1D|CRY2	http://www.genome.jp/kegg-bin/show_pathway?hsa04710/hsa:4862%09red/hsa:1453%09red/hsa:6095%09red/hsa:1408%09red/hsa:8864%09red/hsa:1407%09red
Nuclear signaling by ERBB4	Reactome	R-HSA-1251985	6	31	0.000251067	0.00074469	SRC|STMN1|STAT5A|ADAM17|CXCL12|NCOR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1251985
Amoebiasis	KEGG PATHWAY	hsa05146	10	95	0.000251913	0.000745936	TGFB2|PIK3R1|HSPB1|PIK3CA|CD14|PIK3R3|PIK3R2|TLR4|NFKB1|IL1B	http://www.genome.jp/kegg-bin/show_pathway?hsa05146/hsa:3553%09red/hsa:8503%09red/hsa:5290%09red/hsa:7099%09red/hsa:3315%09red/hsa:5295%09red/hsa:4790%09red/hsa:5296%09red/hsa:929%09red/hsa:7042%09red
Transcriptional Regulation by MECP2	Reactome	R-HSA-8986944	8	61	0.000271315	0.000802028	HDAC1|HDAC3|TEP1|CAMK2B|GRIN2B|PPARG|NCOR1|SIN3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8986944
Circadian clock system	PANTHER	P00015	4	10	0.000288387	0.000849624	PER2|CSNK1D|CRY1|CRY2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00015
Activation of the AP-1 family of transcription factors	Reactome	R-HSA-450341	4	10	0.000288387	0.000849624	MAPK8|MAPK1|JUN|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450341
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	Reactome	R-HSA-389958	6	32	0.000292039	0.000853203	TUBA8|PFDN5|TUBA1A|CCT7|CCT5|CCT6A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389958
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Reactome	R-HSA-2173796	6	32	0.000292039	0.000853203	HDAC1|E2F4|SP1|SCG2|CDK9|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173796
Regulation of TNFR1 signaling	Reactome	R-HSA-5357905	6	32	0.000292039	0.000853203	BIRC2|TNFAIP3|CYLD|IKBKG|RBCK1|RNF31	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357905
RAF activation	Reactome	R-HSA-5673000	6	32	0.000292039	0.000853203	SRC|PPP2CA|PHB|CAMK2B|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673000
Signaling by FGFR1 in disease	Reactome	R-HSA-5655302	6	32	0.000292039	0.000853203	TRIM24|PIK3CA|GAB2|STAT5B|STAT5A|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655302
"TICAM1, RIP1-mediated IKK complex recruitment "	Reactome	R-HSA-168927	5	20	0.00030091	0.000877655	UBE2D3|TLR3|IKBKG|TRAF6|BIRC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168927
L1CAM interactions	Reactome	R-HSA-373760	11	117	0.000310386	0.000903785	RPS6KA2|TUBA8|NRCAM|TUBA1A|KCNQ3|MSN|ANK2|MAPK1|CLTA|SPTBN4|LYPLA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373760
Protein folding	Reactome	R-HSA-391251	10	100	0.000367335	0.001067834	HDAC3|TUBA8|TP53|TUBA1A|CCT7|GNG11|PDCL|PFDN5|CCT5|CCT6A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391251
Negative regulators of DDX58/IFIH1 signaling	Reactome	R-HSA-936440	6	34	0.000389602	0.001130686	MAVS|TRIM25|UBE2D3|TNFAIP3|CYLD|RNF216	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936440
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	8	65	0.000400507	0.00116041	STAT6|TGFB2|IL4R|JUN|RORA|TLR4|NFKB1|IL1B	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:3553%09red/hsa:6095%09red/hsa:7099%09red/hsa:3725%09red/hsa:4790%09red/hsa:3566%09red/hsa:6778%09red/hsa:7042%09red
Salmonella infection	KEGG PATHWAY	hsa05132	9	83	0.000416256	0.001203235	JUN|CD14|MAPK1|MAPK11|TLR4|NFKB1|MAPK8|MYD88|IL1B	http://www.genome.jp/kegg-bin/show_pathway?hsa05132/hsa:3553%09red/hsa:5594%09red/hsa:7099%09red/hsa:3725%09red/hsa:5599%09red/hsa:4790%09red/hsa:4615%09red/hsa:5600%09red/hsa:929%09red
Asparagine N-linked glycosylation	Reactome	R-HSA-446203	19	304	0.000416663	0.001203235	SCFD1|RPN1|GANAB|TUBA8|NUDT14|CD55|TUSC3|TRAPPC3|CD59|ANK2|VCP|TRAPPC6A|CSNK1D|PRKCSH|RNF5|PSMC1|SPTBN4|DLC1|TUBA1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446203
PI Metabolism	Reactome	R-HSA-1483255	9	84	0.000451036	0.001300352	TEP1|PIK3CA|INPP5K|PIK3R3|PIK3R2|PIK3R1|PIP5K1B|PIP4K2A|PIP4K2C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483255
Protein processing in endoplasmic reticulum	KEGG PATHWAY	hsa04141	13	165	0.000453981	0.00130669	RPN1|GANAB|TUSC3|PDIA6|HSPA4L|UBE2D3|UBQLN4|VCP|SSR1|PRKCSH|MAPK8|RNF5|EIF2S1	http://www.genome.jp/kegg-bin/show_pathway?hsa04141/hsa:56893%09red/hsa:6048%09red/hsa:6184%09red/hsa:6745%09red/hsa:10130%09red/hsa:5589%09red/hsa:5599%09red/hsa:1965%09red/hsa:7991%09red/hsa:7323%09red/hsa:22824%09red/hsa:7415%09red/hsa:23193%09red
Integrin signalling pathway	PANTHER	P00034	13	166	0.00047883	0.001375949	SRC|RAP2A|SHC1|PIK3CA|FYN|RAP1A|RRAS|PIK3R3|PIK3R2|PIK3R1|CRK|MAPK8|CAV1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00034
Signaling by high-kinase activity BRAF mutants	Reactome	R-HSA-6802948	6	36	0.000510917	0.001465744	SRC|RAP1A|CNKSR2|MAPK1|ARRB1|KSR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802948
Downregulation of SMAD2/3:SMAD4 transcriptional activity	Reactome	R-HSA-2173795	5	23	0.000523971	0.001500734	HDAC1|NEDD4L|SKI|UBE2D3|NCOR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173795
Loss of Nlp from mitotic centrosomes	Reactome	R-HSA-380259	8	69	0.000575747	0.001643649	PAFAH1B1|TUBA1A|PLK4|CSNK1D|PRKAR2B|CEP72|NDE1|DLC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380259
Loss of proteins required for interphase microtubule organization from the centrosome	Reactome	R-HSA-380284	8	69	0.000575747	0.001643649	PAFAH1B1|TUBA1A|PLK4|CSNK1D|PRKAR2B|CEP72|NDE1|DLC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380284
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	Reactome	R-HSA-8939243	6	37	0.000581643	0.001657778	SMARCB1|CBFB|PHC1|PHC2|RYBP|SMARCA4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939243
Integration of energy metabolism	Reactome	R-HSA-163685	10	107	0.000600136	0.001707704	AKAP5|ADCY3|PPP2CA|ACSL3|ADIPOR1|ADCY8|GNG11|RAP1A|PRKAR2B|PPP2R5D	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163685
Gap junction	KEGG PATHWAY	hsa04540	9	88	0.000614901	0.001746877	GJA1|TUBA8|ADCY3|TUBA1A|ADCY8|SRC|CSNK1D|MAPK1|GRM5	http://www.genome.jp/kegg-bin/show_pathway?hsa04540/hsa:2697%09red/hsa:5594%09red/hsa:1453%09red/hsa:51807%09red/hsa:114%09red/hsa:6714%09red/hsa:109%09red/hsa:2915%09red/hsa:7846%09red
RHO GTPases Activate NADPH Oxidases	Reactome	R-HSA-5668599	5	24	0.000620516	0.001757125	NOXA1|NCF1|MAPK1|NOXO1|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5668599
Role of phospholipids in phagocytosis	Reactome	R-HSA-2029485	5	24	0.000620516	0.001757125	PLCG2|PRKCE|PIK3R2|PIK3R1|PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2029485
RIG-I-like receptor signaling pathway	KEGG PATHWAY	hsa04622	8	70	0.000628038	0.001775552	TRAF6|TRIM25|CYLD|IKBKG|NFKB1|MAPK8|MAVS|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04622/hsa:8517%09red/hsa:4790%09red/hsa:57506%09red/hsa:7706%09red/hsa:7189%09red/hsa:5599%09red/hsa:5600%09red/hsa:1540%09red
Stimuli-sensing channels	Reactome	R-HSA-2672351	10	108	0.000641634	0.001811065	TSC22D3|STOML3|SCNN1G|NEDD4L|SCNN1D|MCOLN1|SCNN1B|SCNN1A|TRPC1|TRPC4AP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2672351
Loss of function of MECP2 in Rett syndrome	Reactome	R-HSA-9005891	4	13	0.000646859	0.001811205	HDAC1|HDAC3|NCOR1|SIN3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9005891
Inhibition of replication initiation of damaged DNA by RB1/E2F1	Reactome	R-HSA-113501	4	13	0.000646859	0.001811205	PPP2CA|POLA1|PRIM1|E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113501
Regulation of KIT signaling	Reactome	R-HSA-1433559	4	13	0.000646859	0.001811205	KIT|FYN|SH2B3|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433559
Pervasive developmental disorders	Reactome	R-HSA-9005895	4	13	0.000646859	0.001811205	HDAC1|HDAC3|NCOR1|SIN3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9005895
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	Reactome	R-HSA-75035	4	13	0.000646859	0.001811205	SFN|CDC25C|CHEK2|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75035
Platelet Aggregation (Plug Formation)	Reactome	R-HSA-76009	6	38	0.000659736	0.001844309	RASGRP2|SRC|SHC1|RAP1A|AKT1|CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76009
Transcriptional regulation of granulopoiesis	Reactome	R-HSA-9616222	9	89	0.000662678	0.001849579	CEBPB|SPI1|CEBPE|E2F1|H2AFX|RXRA|CBFB|MYC|GATA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9616222
Interferon gamma signaling	Reactome	R-HSA-877300	9	90	0.000713443	0.001984936	MT2A|TRIM25|TRIM31|IRF8|OASL|CAMK2B|PIAS1|ICAM1|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
RNA Polymerase I Promoter Escape	Reactome	R-HSA-73772	9	90	0.000713443	0.001984936	TBP|ERCC2|H2AFX|GTF2H5|GTF2H4|CDK7|MNAT1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73772
Formation of tubulin folding intermediates by CCT/TriC	Reactome	R-HSA-389960	5	25	0.000729792	0.002026209	TUBA1A|TUBA8|CCT6A|CCT7|CCT5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389960
Chromosome Maintenance	Reactome	R-HSA-73886	10	110	0.000731751	0.002026209	POLA1|RUVBL1|OIP5|RUVBL2|H2AFX|RBBP7|RBBP4|ITGB3BP|PRIM1|TERT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73886
Mitotic Spindle Checkpoint	Reactome	R-HSA-69618	10	110	0.000731751	0.002026209	MAD2L1|PPP2CA|PAFAH1B1|KIF18A|MAD1L1|ITGB3BP|NDE1|DLC1|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69618
