ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0045023	G0 to G1 transition	14/982	47/18862	6.68E-08	1.77E-06	1.07E-06	2146/1111/672/5931/8726/1876/23468/1869/5928/4303/80314/23429/1911/1490	14
BP	GO:0051896	regulation of protein kinase B signaling	35/982	247/18862	6.92E-08	1.81E-06	1.10E-06	4486/930/11315/117145/5025/5296/708/5527/207/5245/5979/7249/6714/2912/4916/114897/558/57142/3480/23411/5290/51763/8660/5295/2549/10019/2022/2621/3815/8692/2534/6237/7010/284/9365	35
BP	GO:0035270	endocrine system development	23/982	122/18862	6.92E-08	1.81E-06	1.10E-06	6662/6659/5454/6531/207/3213/54361/3172/6299/7849/6496/7067/5894/5594/4487/27122/2624/5087/2308/10370/10272/2113/3202	23
BP	GO:0043276	anoikis	12/982	34/18862	7.01E-08	1.83E-06	1.11E-06	11200/51651/1869/207/7249/8517/6714/7088/166/5290/4170/857	12
BP	GO:0007162	negative regulation of cell adhesion	39/982	295/18862	8.43E-08	2.19E-06	1.32E-06	4321/4582/3559/8379/54900/51043/7001/9231/865/207/1041/6714/6693/3204/23129/5777/56940/3146/114897/1845/7805/80762/3566/864/5295/10395/1051/55824/81848/604/10019/5140/5788/6387/5420/10288/1843/94/284	39
BP	GO:0061138	morphogenesis of a branching epithelium	28/982	173/18862	8.47E-08	2.19E-06	1.32E-06	6662/6423/3217/10765/8914/9231/8521/5499/8626/54361/4776/6714/6299/7849/6422/23129/10116/5311/7472/5087/2131/2022/7048/7075/54922/4609/3202/6943	28
BP	GO:0070317	negative regulation of G0 to G1 transition	13/982	41/18862	8.61E-08	2.21E-06	1.34E-06	2146/1111/672/5931/8726/1876/23468/1869/5928/4303/80314/23429/1911	13
BP	GO:0034612	response to tumor necrosis factor	41/982	320/18862	9.49E-08	2.43E-06	1.47E-06	608/5710/672/5700/7157/5704/5706/5682/5705/207/117584/10616/8517/5719/4654/55072/7114/6422/7189/958/329/5715/8741/4790/5594/6868/929/6095/7805/23411/1540/51763/10891/6362/2621/355/8692/3383/7128/7538/9590	41
BP	GO:0035019	somatic stem cell population maintenance	17/982	71/18862	9.55E-08	2.43E-06	1.47E-06	6662/6659/8626/1045/6299/7849/6422/5894/7476/6497/27086/6688/2624/5087/7071/3815/4609	17
BP	GO:0034644	cellular response to UV	19/982	88/18862	1.01E-07	2.56E-06	1.55E-06	1111/57646/51499/545/7157/54929/2072/10856/6872/4776/1387/1965/7528/7507/23411/5295/4734/8692/4609	19
BP	GO:0014065	phosphatidylinositol 3-kinase signaling	26/982	154/18862	1.02E-07	2.57E-06	1.55E-06	6662/79837/5296/708/5527/207/7249/6714/4916/5777/5594/3480/23411/5305/7042/5290/8660/5295/2549/653361/4734/3815/2534/8395/7010/284	26
BP	GO:0106106	cold-induced thermogenesis	25/982	144/18862	1.03E-07	2.57E-06	1.55E-06	8841/51043/8473/2104/51094/5618/283455/7067/8864/7376/6778/3480/6868/3566/23228/133522/1051/10891/3600/4883/2697/7099/3397/154/857	25
BP	GO:0120161	regulation of cold-induced thermogenesis	25/982	144/18862	1.03E-07	2.57E-06	1.55E-06	8841/51043/8473/2104/51094/5618/283455/7067/8864/7376/6778/3480/6868/3566/23228/133522/1051/10891/3600/4883/2697/7099/3397/154/857	25
BP	GO:0048017	inositol lipid-mediated signaling	30/982	196/18862	1.06E-07	2.65E-06	1.60E-06	6662/79837/5296/708/8473/5527/207/7249/6714/4916/5777/5594/3480/23411/5305/7042/5290/8660/23228/5295/2549/653361/4734/9846/3815/4883/2534/8395/7010/284	30
BP	GO:0052126	movement in host environment	28/982	175/18862	1.09E-07	2.69E-06	1.63E-06	1803/23601/3853/92421/5987/1380/4061/26762/128866/81559/11074/1949/5245/6714/5478/975/8724/558/7706/9525/1948/1604/2621/8692/4360/3383/858/857	28
BP	GO:0032649	regulation of interferon-gamma production	21/982	107/18862	1.25E-07	3.08E-06	1.86E-06	708/161882/9466/54106/246778/3146/5144/10666/558/8767/929/7805/7294/3394/7098/2621/7099/3553/51311/9173/90865	21
BP	GO:0043543	protein acylation	34/982	242/18862	1.31E-07	3.22E-06	1.95E-06	6659/4582/1111/11315/672/1743/8607/8464/8473/6598/64769/10856/3054/1487/4654/6872/56848/10664/1387/23558/80314/25942/2959/10933/54556/23411/6688/2624/10891/8648/2308/8850/3553/408	34
BP	GO:0002703	regulation of leukocyte mediated immunity	31/982	209/18862	1.36E-07	3.33E-06	2.01E-06	9466/56848/640/259197/7189/6777/2241/958/975/5777/3146/10666/8741/57506/9188/1398/80762/3566/695/7098/2624/84106/604/9846/7305/5788/7099/3553/3383/3824/3575	31
BP	GO:0031295	T cell costimulation	15/982	57/18862	1.42E-07	3.45E-06	2.09E-06	1803/207/1949/84433/6714/9402/975/5777/1947/5290/5295/2534/10288/1326/857	15
BP	GO:0031100	animal organ regeneration	17/982	73/18862	1.48E-07	3.55E-06	2.15E-06	6790/2146/890/10076/5774/790/5245/558/9104/5906/1051/2621/7048/6387/5468/8013/7049	17
BP	GO:0072401	signal transduction involved in DNA integrity checkpoint	17/982	73/18862	1.48E-07	3.55E-06	2.15E-06	2810/6790/6659/4582/1111/79184/11200/672/995/51499/7157/1869/9577/1874/8555/51720/5325	17
BP	GO:0072422	signal transduction involved in DNA damage checkpoint	17/982	73/18862	1.48E-07	3.55E-06	2.15E-06	2810/6790/6659/4582/1111/79184/11200/672/995/51499/7157/1869/9577/1874/8555/51720/5325	17
BP	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	23/982	127/18862	1.49E-07	3.57E-06	2.16E-06	6662/79837/5527/7249/6714/4916/5777/5594/3480/23411/5305/7042/5290/8660/5295/2549/653361/4734/3815/2534/8395/7010/284	23
BP	GO:0002220	innate immune response activating cell surface receptor signaling pathway	22/982	118/18862	1.63E-07	3.89E-06	2.35E-06	4582/5710/5700/5704/5706/5682/5705/84433/8517/5719/6714/1387/7189/5715/5894/4790/5336/50856/100132285/7305/2534/3824	22
BP	GO:0007254	JNK cascade	29/982	189/18862	1.64E-07	3.89E-06	2.35E-06	222643/6423/2873/1852/8841/207/90441/4878/1616/54106/8517/5911/6422/7189/9611/7476/56940/3146/8767/5599/4615/1845/3480/1540/7098/653361/7099/1490/3553	29
BP	GO:0071216	cellular response to biotic stimulus	33/982	233/18862	1.65E-07	3.90E-06	2.36E-06	54209/7157/7001/207/6714/1053/10014/7189/958/5581/3146/558/4790/9516/8767/5599/5594/4615/929/3394/695/7096/84919/1051/10891/1604/7099/4360/3553/10288/3383/7128/7538	33
BP	GO:0016311	dephosphorylation	54/982	491/18862	1.72E-07	4.04E-06	2.44E-06	5523/10076/11123/54843/5531/1852/55258/995/23381/5774/5527/5499/65979/333926/27071/9887/5528/5511/6714/5478/8555/5798/23293/84867/11122/8556/151987/5777/56940/5520/1849/1845/945/8036/1408/221692/57718/7042/9104/51763/5515/133522/84919/10395/8493/1844/5799/11099/116154/5788/10288/1843/5787/1003	54
BP	GO:0090068	positive regulation of cell cycle process	39/982	303/18862	1.72E-07	4.04E-06	2.44E-06	2810/2191/6790/2146/4085/6659/990/113130/4582/81620/10926/11200/10733/672/995/51499/7157/1869/9587/207/7161/54361/1874/7015/8555/4303/8556/5581/25942/9525/6868/8452/4487/5311/7175/5087/5325/1490/3553	39
BP	GO:0071260	cellular response to mechanical stimulus	17/982	74/18862	1.83E-07	4.26E-06	2.58E-06	6662/1111/207/22927/958/4790/5599/4615/54407/7098/3759/2022/355/2697/7099/3553/51311	17
BP	GO:0002758	innate immune response-activating signal transduction	22/982	119/18862	1.90E-07	4.42E-06	2.68E-06	4582/5710/5700/5704/5706/5682/5705/84433/8517/5719/6714/1387/7189/5715/5894/4790/5336/50856/100132285/7305/2534/3824	22
BP	GO:0048813	dendrite morphogenesis	24/982	139/18862	2.05E-07	4.71E-06	2.85E-06	2049/3706/1952/55607/816/1855/10013/4776/5911/7476/22891/26037/7074/22941/221692/66008/4734/4133/85358/2534/23327/23237/3397/57520	24
BP	GO:0002833	positive regulation of response to biotic stimulus	35/982	258/18862	2.05E-07	4.71E-06	2.85E-06	4321/4582/5710/4841/5700/5704/5706/5682/5705/84433/8517/5719/6714/2547/1387/259197/7189/6777/5715/5894/3146/25942/10666/57506/4790/10614/7294/5336/50856/100132285/7305/7099/2534/51311/3824	35
BP	GO:0045637	regulation of myeloid cell differentiation	35/982	258/18862	2.05E-07	4.71E-06	2.85E-06	3065/54209/3313/865/3218/161882/1387/6422/7189/6777/3204/3146/25942/9935/51621/80762/27086/7098/6688/2624/133522/5295/1051/3725/7305/8850/7071/10272/7099/2113/4609/3202/7538/8013/7704	35
BP	GO:0071478	cellular response to radiation	29/982	191/18862	2.06E-07	4.72E-06	2.85E-06	6423/1111/50507/11200/57646/51499/545/7157/3014/54929/2072/10856/6872/4776/2547/1387/6422/1965/7528/7507/404672/1408/23411/1407/10988/5295/4734/8692/4609	29
BP	GO:0045621	positive regulation of lymphocyte differentiation	20/982	101/18862	2.13E-07	4.84E-06	2.93E-06	6659/3559/51043/865/2547/6777/558/7535/8767/3566/695/864/604/3600/2621/5788/7048/10288/3575/7704	20
BP	GO:0051123	RNA polymerase II preinitiation complex assembly	10/982	25/18862	2.23E-07	5.06E-06	3.06E-06	7157/5704/5706/5705/6872/7067/6908/3146/2958/2959	10
BP	GO:0043536	positive regulation of blood vessel endothelial cell migration	17/982	75/18862	2.25E-07	5.07E-06	3.07E-06	3315/5025/207/7114/51564/5587/958/3146/6667/6868/6776/23411/2624/10000/2113/284/5743	17
BP	GO:0045732	positive regulation of protein catabolic process	32/982	225/18862	2.30E-07	5.16E-06	3.12E-06	6662/6790/54209/27352/93974/5700/5704/1453/207/51429/1855/6872/7415/975/10075/28951/4478/7805/80762/9104/152503/8554/4734/2308/2697/3553/863/7128/23327/57520/90865/857	32
BP	GO:2000377	regulation of reactive oxygen species metabolic process	29/982	192/18862	2.31E-07	5.16E-06	3.12E-06	50507/2539/11315/672/10131/10811/5025/7157/7755/7001/26574/207/124056/10013/4835/56848/329/9104/5311/8837/7305/683/7048/7099/3553/2534/3383/5743/857	29
BP	GO:0050777	negative regulation of immune response	25/982	150/18862	2.32E-07	5.16E-06	3.12E-06	4321/3559/5987/51043/5682/9466/10906/2241/55646/5777/7376/966/1398/80762/3566/604/1604/11213/5788/5468/7128/3824/3575/9173/90865	25
BP	GO:0031294	lymphocyte costimulation	15/982	59/18862	2.32E-07	5.16E-06	3.12E-06	1803/207/1949/84433/6714/9402/975/5777/1947/5290/5295/2534/10288/1326/857	15
BP	GO:0031647	regulation of protein stability	38/982	295/18862	2.42E-07	5.36E-06	3.25E-06	6790/6659/908/8805/11200/5479/11315/57646/9026/1022/440193/22948/7157/8841/5245/10574/1855/3054/10013/6048/6872/6714/7015/1387/5587/975/902/287/25793/5594/57142/8452/23411/4487/5295/10891/7305/23327	38
BP	GO:0002367	cytokine production involved in immune response	19/982	93/18862	2.55E-07	5.62E-06	3.40E-06	56848/7189/975/10666/57506/9188/7805/23411/695/7042/7098/604/1604/11213/3815/7099/3553/8013/284	19
BP	GO:1901654	response to ketone	29/982	193/18862	2.59E-07	5.68E-06	3.44E-06	2706/1789/11315/790/207/6714/56848/6422/114/23558/5581/25942/1373/552/109/4478/23411/7042/8648/8837/2308/6338/6340/5468/1843/3383/7049/857/2354	29
BP	GO:2000678	negative regulation of transcription regulatory region DNA binding	9/982	20/18862	2.70E-07	5.91E-06	3.58E-06	6664/4488/6872/7114/8864/25942/23493/4487/23462	9
BP	GO:0043254	regulation of protein-containing complex assembly	50/982	446/18862	2.76E-07	6.01E-06	3.64E-06	6662/638/2017/81620/56937/57763/5987/11315/2968/7429/9026/545/51451/7157/5704/55607/5706/3925/5705/2068/51429/2072/3054/10013/6047/57731/6714/7415/119/7114/7067/2241/5581/329/5894/2965/3146/10458/7376/7507/4478/404672/29767/4133/7111/7099/54922/3383/10810/1003	50
BP	GO:0006361	transcription initiation from RNA polymerase I promoter	12/982	38/18862	2.85E-07	6.19E-06	3.75E-06	4331/2968/6597/1022/6598/2068/6872/6908/2965/902/404672/284119	12
BP	GO:0032615	interleukin-12 production	15/982	60/18862	2.95E-07	6.35E-06	3.84E-06	708/54106/7189/5600/958/3146/4790/8767/7805/3394/27086/7098/11213/7099/51311	15
BP	GO:0032655	regulation of interleukin-12 production	15/982	60/18862	2.95E-07	6.35E-06	3.84E-06	708/54106/7189/5600/958/3146/4790/8767/7805/3394/27086/7098/11213/7099/51311	15
BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	35/982	262/18862	2.99E-07	6.41E-06	3.88E-06	6423/50507/54209/7157/6464/58533/25998/1795/6714/133396/2915/6422/958/5581/975/5777/56940/8767/6868/5515/653361/10019/85480/3600/2621/683/3815/5788/8692/2534/9467/3383/284/2690/857	35
BP	GO:0006476	protein deacetylation	19/982	94/18862	3.04E-07	6.50E-06	3.93E-06	3065/7157/8841/51043/5245/10013/1487/56848/51564/10014/5587/8864/25942/6497/5599/10933/23411/604/122953	19
BP	GO:0030879	mammary gland development	23/982	132/18862	3.08E-07	6.56E-06	3.97E-06	6662/10765/4485/6531/51043/790/207/54361/5618/6714/6777/5594/57142/6776/4487/8660/7472/1051/8648/7048/3202/8835/857	23
BP	GO:0045137	development of primary sexual characteristics	31/982	217/18862	3.20E-07	6.78E-06	4.11E-06	6662/6423/638/3206/83990/7022/81930/54361/5245/56159/6714/6299/5798/6422/6777/7110/5926/23411/7042/7098/1051/8648/10370/10272/3815/23414/130497/408/3383/1602/6943	31
BP	GO:0042098	T cell proliferation	29/982	195/18862	3.24E-07	6.82E-06	4.13E-06	3559/8379/7157/51043/7001/9231/84433/54361/9466/246778/6693/7189/6777/975/5777/3146/1947/7535/8767/4478/80762/1051/1604/3600/5788/7048/3553/2534/10288	29
BP	GO:0070555	response to interleukin-1	30/982	206/18862	3.24E-07	6.82E-06	4.13E-06	6662/5710/5700/5704/5706/5682/5705/8517/5719/6714/6422/7189/5600/958/5715/7528/4790/8767/4615/166/6095/1051/11213/6362/8692/3553/2113/3383/1326/9590	30
BP	GO:0060485	mesenchyme development	37/982	287/18862	3.41E-07	7.10E-06	4.30E-06	6662/2146/6423/6664/3182/9231/51094/65979/54361/5979/6422/1947/7074/5594/57142/23493/7041/7042/4487/5515/5311/7472/1655/2131/2022/10370/7048/23414/2295/3553/130497/23462/4609/3202/94/6943/7049	37
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	39/982	311/18862	3.41E-07	7.10E-06	4.30E-06	2146/990/4486/10926/4331/1852/6464/7001/207/7161/5979/1616/54106/8517/4515/6714/5478/7189/5600/4916/958/975/8682/7074/8767/1849/5594/6868/23411/5515/5311/3815/5788/3489/7099/3553/408/2690/154	39
BP	GO:0044409	entry into host	25/982	153/18862	3.43E-07	7.10E-06	4.30E-06	1803/23601/3853/5987/1380/4061/26762/81559/11074/1949/5245/6714/5478/975/8724/558/7706/1948/1604/2621/8692/4360/3383/858/857	25
BP	GO:1990845	adaptive thermogenesis	25/982	153/18862	3.43E-07	7.10E-06	4.30E-06	8841/51043/8473/2104/51094/5618/283455/7067/8864/7376/6778/3480/6868/3566/23228/133522/1051/10891/3600/4883/2697/7099/3397/154/857	25
BP	GO:0000188	inactivation of MAPK activity	10/982	26/18862	3.46E-07	7.12E-06	4.31E-06	2873/1852/54900/5998/1849/1845/5515/1844/1843/857	10
BP	GO:0061082	myeloid leukocyte cytokine production	10/982	26/18862	3.46E-07	7.12E-06	4.31E-06	57506/9188/7805/23411/7042/604/11213/3815/7099/8013	10
BP	GO:0048754	branching morphogenesis of an epithelial tube	24/982	143/18862	3.53E-07	7.23E-06	4.38E-06	6662/6423/3217/10765/8914/9231/5499/54361/4776/6714/6299/7849/23129/5311/7472/5087/2131/2022/7048/7075/54922/4609/3202/6943	24
BP	GO:0010565	regulation of cellular ketone metabolic process	28/982	185/18862	3.56E-07	7.28E-06	4.40E-06	6662/5710/11315/672/5700/5704/5706/5682/5705/207/51094/54361/5719/5581/9611/5715/552/7376/23411/9104/27122/8660/10891/3553/5468/8013/5743/857	28
BP	GO:0043393	regulation of protein binding	29/982	196/18862	3.61E-07	7.35E-06	4.45E-06	6790/11315/9026/5092/207/5499/161882/10856/1855/6872/4776/6714/7015/119/10014/23129/7074/8767/5599/166/1398/5515/23228/4133/3397/284/154/7049/857	29
BP	GO:2000116	regulation of cysteine-type endopeptidase activity	32/982	230/18862	3.81E-07	7.73E-06	4.68E-06	2810/6423/11315/7429/9026/51499/207/23204/8626/117584/6714/7415/2904/329/5894/3146/8767/5134/1718/7805/23411/5329/55081/10395/8837/2621/355/1490/2534/5468/408/4609	32
BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	21/982	114/18862	3.83E-07	7.73E-06	4.68E-06	4582/5710/5700/5704/5706/5682/5705/84433/8517/5719/6714/1387/7189/5715/5894/4790/5336/50856/7305/2534/3824	21
BP	GO:0051701	biological process involved in interaction with host	31/982	219/18862	3.93E-07	7.91E-06	4.79E-06	1803/23601/3853/92421/5987/1380/4061/26762/128866/23633/81559/11074/1949/5245/6714/5478/975/8724/6256/10318/558/7706/9525/1948/1604/2621/8692/4360/3383/858/857	31
BP	GO:0035601	protein deacylation	20/982	105/18862	4.12E-07	8.26E-06	5.00E-06	3065/11313/7157/8841/51043/5245/10013/1487/56848/51564/10014/5587/8864/25942/6497/5599/10933/23411/604/122953	20
BP	GO:0007265	Ras protein signal transduction	41/982	338/18862	4.21E-07	8.41E-06	5.09E-06	890/376267/27352/1786/11315/57646/7157/6464/8473/3925/65979/5911/9265/283455/115727/10750/9402/5587/5600/5898/5894/7074/10235/9267/22808/1398/8036/8452/9411/7042/5900/8660/11186/10395/5906/81848/604/3725/6237/54922/408	41
BP	GO:0042113	B cell activation	40/982	326/18862	4.31E-07	8.58E-06	5.19E-06	2146/973/930/1380/54900/8326/7157/84433/6929/5245/9466/54106/640/6422/10014/6777/7462/958/975/5777/7528/8741/7535/6868/8935/7805/80762/695/5336/8660/23228/5295/604/7305/683/3815/5788/7099/7128/3575	40
BP	GO:0043542	endothelial cell migration	36/982	278/18862	4.39E-07	8.72E-06	5.28E-06	2191/1803/3315/7857/5025/207/7114/51564/10014/5587/958/23129/7476/3146/6667/6868/6776/8503/23411/27086/5290/7026/2624/10000/3164/1948/54345/5468/6237/2113/7010/3397/94/284/5743/1003	36
BP	GO:0071219	cellular response to molecule of bacterial origin	30/982	209/18862	4.45E-07	8.80E-06	5.33E-06	54209/7001/207/6714/1053/10014/7189/958/5581/3146/558/4790/9516/8767/5599/5594/4615/929/3394/7096/1051/10891/1604/7099/4360/3553/10288/3383/7128/7538	30
BP	GO:0050671	positive regulation of lymphocyte proliferation	23/982	135/18862	4.67E-07	9.21E-06	5.57E-06	3559/84433/9466/54106/7189/6777/958/975/3146/1947/7535/8767/4615/8660/604/1604/3600/683/5788/7048/7099/3553/10288	23
BP	GO:0030330	"DNA damage response, signal transduction by p53 class mediator"	20/982	106/18862	4.83E-07	9.49E-06	5.74E-06	2810/6790/6659/4582/11200/672/995/51499/545/9521/7157/1869/1874/10397/23411/3090/4487/1655/8493/5325	20
BP	GO:0007568	aging	38/982	304/18862	5.23E-07	1.02E-05	6.19E-06	2706/1111/10804/3159/6185/50507/11200/6531/545/5079/9521/7157/55607/3014/1267/2068/207/8626/7015/2915/4303/1965/25942/9516/5594/23411/9104/6688/10000/10891/604/3725/3600/7048/8692/1490/3383/9365	38
BP	GO:0032946	positive regulation of mononuclear cell proliferation	23/982	136/18862	5.35E-07	1.04E-05	6.32E-06	3559/84433/9466/54106/7189/6777/958/975/3146/1947/7535/8767/4615/8660/604/1604/3600/683/5788/7048/7099/3553/10288	23
BP	GO:0030217	T cell differentiation	33/982	246/18862	5.89E-07	1.14E-05	6.93E-06	6659/3559/7157/51043/7001/865/84433/54361/161882/246778/6693/6777/3146/639/7535/8767/9935/6868/6095/3566/27086/925/864/604/3600/3702/3815/5788/7048/3553/10288/3575/7704	33
BP	GO:0007623	circadian rhythm	30/982	212/18862	6.07E-07	1.17E-05	7.09E-06	7153/2146/3065/8914/3615/4841/26233/7157/8841/8473/6839/1453/5499/4862/3172/8864/9611/25942/10075/5599/1408/6095/23411/1407/10891/3725/7071/5468/3397/3400	30
BP	GO:0008406	gonad development	30/982	212/18862	6.07E-07	1.17E-05	7.09E-06	6662/6423/638/3206/83990/7022/81930/54361/5245/56159/6714/6299/5798/6422/6777/7110/5926/23411/7042/7098/1051/8648/10370/10272/3815/23414/130497/408/3383/6943	30
BP	GO:0070665	positive regulation of leukocyte proliferation	24/982	148/18862	6.75E-07	1.30E-05	7.86E-06	3559/84433/9466/54106/7189/6777/958/975/3146/1947/7535/8767/5594/4615/8660/604/1604/3600/683/5788/7048/7099/3553/10288	24
BP	GO:0071347	cellular response to interleukin-1	27/982	180/18862	6.88E-07	1.32E-05	7.98E-06	6662/5710/5700/5704/5706/5682/5705/8517/5719/6422/7189/5600/958/5715/7528/4790/8767/4615/6095/1051/11213/6362/8692/3553/3383/1326/9590	27
BP	GO:0030900	forebrain development	42/982	357/18862	6.97E-07	1.33E-05	8.05E-06	2146/2049/3065/5454/6531/1749/5079/1869/3014/8891/1267/333/23314/54820/54361/6714/6299/5453/6496/7476/25942/552/5048/558/6497/57142/1398/54407/221692/4487/7026/2624/10395/10891/8648/2131/7305/6867/85358/6387/2534/2113	42
BP	GO:0032479	regulation of type I interferon production	22/982	128/18862	7.07E-07	1.35E-05	8.14E-06	4321/5422/54106/54476/2547/1387/3146/7528/57506/7706/4790/8767/6778/4615/929/3394/1540/7098/5336/7099/51311/7128	22
BP	GO:0034614	cellular response to reactive oxygen species	25/982	159/18862	7.22E-07	1.37E-05	8.29E-06	2146/890/11315/10280/10131/7001/207/10013/6714/2241/558/5599/5594/1398/23411/695/5311/133522/8837/653361/3725/2308/2113/7128/8013	25
BP	GO:0060070	canonical Wnt signaling pathway	40/982	333/18862	7.49E-07	1.42E-05	8.57E-06	6662/6423/6659/3065/10076/5710/1749/90410/5700/8607/440193/8326/5704/5706/5682/5705/1453/5499/54361/10856/1855/5719/6714/7415/6422/5204/5715/7476/7088/4790/7089/166/8452/1540/27122/7091/7472/2131/3489/857	40
BP	GO:0010389	regulation of G2/M transition of mitotic cell cycle	29/982	203/18862	7.63E-07	1.44E-05	8.70E-06	6790/990/1111/92421/10733/5710/55722/672/5700/995/5704/5706/5682/5705/1453/11073/54820/8883/5719/63967/4303/5715/25942/5048/9525/7846/5087/5577/2273	29
BP	GO:0098732	macromolecule deacylation	20/982	109/18862	7.70E-07	1.45E-05	8.75E-06	3065/11313/7157/8841/51043/5245/10013/1487/56848/51564/10014/5587/8864/25942/6497/5599/10933/23411/604/122953	20
BP	GO:0007599	hemostasis	41/982	346/18862	7.81E-07	1.46E-05	8.85E-06	2191/3315/3065/8165/1606/5025/23468/708/7001/161882/3172/6714/5478/640/79803/958/5581/5777/5894/554/114897/558/5594/966/5329/7294/221037/5290/5336/2624/3937/5295/10019/5583/2621/5577/23414/7099/2534/408/857	41
BP	GO:0032606	type I interferon production	22/982	129/18862	8.11E-07	1.51E-05	9.16E-06	4321/5422/54106/54476/2547/1387/3146/7528/57506/7706/4790/8767/6778/4615/929/3394/1540/7098/5336/7099/51311/7128	22
BP	GO:0009896	positive regulation of catabolic process	49/982	450/18862	8.60E-07	1.60E-05	9.67E-06	6662/6790/54209/27352/5987/11315/93974/5700/79837/5704/1453/207/51429/1855/7249/8517/6872/7415/10241/5587/5581/975/3146/10075/28951/8767/25793/4478/51322/7805/80762/23411/5305/9104/8660/152503/8554/4734/2308/2697/3553/863/7128/23327/7538/57520/154/90865/857	49
BP	GO:0097061	dendritic spine organization	17/982	82/18862	8.70E-07	1.61E-05	9.76E-06	2017/2049/3706/55607/816/1855/10013/2904/7476/22891/26037/7074/3480/22941/85358/2534/23237	17
BP	GO:0046718	viral entry into host cell	23/982	140/18862	9.08E-07	1.68E-05	1.01E-05	1803/23601/5987/1380/4061/26762/81559/11074/1949/5245/5478/975/8724/558/7706/1948/1604/2621/8692/4360/3383/858/857	23
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	47/982	425/18862	9.27E-07	1.71E-05	1.03E-05	6790/4085/5710/11315/5700/26233/8473/5704/5706/5682/5705/5527/56893/1453/207/80028/54442/117584/10616/1855/5719/6048/6872/54476/6047/7415/79734/329/5715/10075/7323/23429/7706/28951/10210/51322/8452/23411/8554/4734/2295/863/408/23327/57520/90865/857	47
BP	GO:0048863	stem cell differentiation	33/982	251/18862	9.34E-07	1.71E-05	1.04E-05	6662/6664/5710/5700/7157/3313/5704/5706/5682/5705/865/2068/8626/7161/65979/6929/5979/5719/6422/4303/3204/5715/7476/1947/5594/7042/4487/2624/2131/54345/3815/5788/130497	33
BP	GO:0006310	DNA recombination	37/982	299/18862	9.42E-07	1.72E-05	1.04E-05	7153/4171/1111/83990/8914/4172/5531/672/4841/4174/8607/4176/7011/4175/3014/2068/56893/2072/6929/83444/10856/9466/56159/79173/2547/151987/958/3146/7528/22891/8741/10933/80762/604/493861/5788/3575	37
BP	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	11/982	35/18862	9.48E-07	1.73E-05	1.05E-05	54106/7189/10318/4615/929/695/7096/11213/146722/7099/51311	11
BP	GO:0060828	regulation of canonical Wnt signaling pathway	36/982	287/18862	9.53E-07	1.73E-05	1.05E-05	6662/6423/6659/3065/10076/5710/1749/90410/5700/8607/440193/8326/5704/5706/5682/5705/1453/5499/10856/1855/5719/6714/7415/6422/5204/5715/7088/4790/7089/166/8452/1540/27122/7091/3489/857	36
BP	GO:0071364	cellular response to epidermal growth factor stimulus	12/982	42/18862	9.61E-07	1.74E-05	1.05E-05	6662/7429/4176/790/207/6777/56940/1845/51763/8837/3397/7538	12
BP	GO:0010821	regulation of mitochondrion organization	24/982	151/18862	9.81E-07	1.77E-05	1.07E-05	2810/638/2017/54209/11315/93974/9026/51499/8326/7157/7755/1869/207/8626/7161/7249/10013/64112/10075/5599/25793/7159/5329/10891	24
BP	GO:0030316	osteoclast differentiation	18/982	92/18862	1.03E-06	1.84E-05	1.11E-05	54209/6714/6422/7189/975/9935/27086/7098/133522/5295/1051/9846/7305/7071/10272/7099/126014/3726	18
BP	GO:1901655	cellular response to ketone	18/982	92/18862	1.03E-06	1.84E-05	1.11E-05	2706/1789/11315/207/6714/56848/6422/114/5581/109/4478/23411/8837/2308/6338/6340/5468/3383	18
BP	GO:0032635	interleukin-6 production	25/982	162/18862	1.03E-06	1.84E-05	1.12E-05	54209/9466/54106/56848/7189/5777/3146/57506/8767/4615/7098/7096/1051/11213/85480/7305/2621/8692/7099/3553/10288/51311/408/7128/90865	25
BP	GO:0071456	cellular response to hypoxia	29/982	206/18862	1.04E-06	1.85E-05	1.12E-05	890/83990/5710/5700/7157/1869/5704/5706/5682/5705/6839/207/5719/6714/7015/1387/6422/5581/5715/10397/6095/23411/8614/10891/8837/10370/3383/4609/5743	29
BP	GO:0042593	glucose homeostasis	31/982	229/18862	1.05E-06	1.87E-05	1.13E-05	6659/3171/10804/11315/6597/5296/6598/207/51094/3172/5798/114/5581/5894/25942/7074/3480/1408/23411/5290/51763/1407/8660/5295/10891/5799/2308/2621/5468/55450/3383	31
BP	GO:0001503	ossification	45/982	401/18862	1.06E-06	1.87E-05	1.13E-05	6662/2274/23601/6423/6664/4745/3376/27044/4488/1749/860/8326/865/2068/207/23314/8626/54361/5245/7067/51564/6422/7189/5587/9188/6497/5594/7042/133522/864/1655/1051/5087/2131/7071/10272/5552/3726/1490/5468/130497/7010/154/7704/9365	45
