ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0071496	cellular response to external stimulus	73/1983	303/18862	7.28E-12	2.80E-10	1.56E-10	1111/83990/664/4316/6662/8644/875/51022/578/3673/8805/5469/2950/1956/7157/3952/55846/7486/4654/9024/596/8428/3596/2475/5465/6548/846/8658/4214/84446/5595/150094/10533/81631/207/9531/22927/490/6416/3759/9759/4217/2308/432/3676/5764/23235/8493/558/4067/8648/5587/7100/2697/3600/51284/659/1030/2242/4790/9020/4615/5287/1026/3162/7099/2621/51311/3553/7098/3383/5468/358	73
GO:2000377	regulation of reactive oxygen species metabolic process	54/1983	192/18862	7.47E-12	2.85E-10	1.60E-10	2305/4314/664/672/50507/1719/8644/26574/7001/3326/2950/3320/1956/7157/7416/3952/7755/57126/8655/1432/3643/2902/10013/596/4137/2475/5465/207/10193/2185/9475/5159/9759/6850/148022/961/8737/140885/3717/5880/5580/2534/3689/1026/7099/1410/3553/3684/7305/9104/3383/9314/185/948	54
GO:0032869	cellular response to insulin stimulus	60/1983	226/18862	7.58E-12	2.88E-10	1.61E-10	2058/1019/6599/10890/376267/6464/5296/3667/79837/2950/3952/197/2931/6198/3480/10603/525/3643/27131/8471/5786/2529/534/2875/6714/6548/208/5458/4303/26060/4690/537/207/10014/8992/529/490/5305/5286/2241/8503/4641/8412/55625/2308/5579/23235/9114/5140/2549/5295/5580/896/9021/5588/5590/3553/9365/858/5468	60
GO:0002703	regulation of leukocyte mediated immunity	57/1983	209/18862	7.77E-12	2.93E-10	1.64E-10	4436/7292/3329/3952/170506/57126/9984/640/4843/2208/2529/3718/3596/9437/3565/57506/8723/10666/9466/23586/7189/2241/2625/117157/3916/6850/148022/1398/4067/604/2624/5272/5880/10125/3606/2242/5777/3689/3566/409/9846/3162/7099/695/5590/718/8807/3553/7098/563/3684/7305/3575/84106/3383/3569/722	57
GO:0050817	coagulation	80/1983	347/18862	8.07E-12	3.03E-10	1.69E-10	2191/23657/2161/5270/3065/5889/7534/1606/3066/7001/3673/9158/2778/57126/10603/640/5478/5912/2623/1793/3172/6714/5578/3690/5663/959/7006/6915/5595/4627/5359/3818/140628/928/7294/5336/953/5294/23533/2625/7414/221037/5329/6850/2767/5894/3611/5579/558/4067/2316/5295/3717/5583/2624/3937/10398/84959/5580/5777/2/2534/350/10938/409/1465/2776/7099/30846/2627/710/5588/2621/2207/10019/7035/23414/6403/948/3569	80
GO:2001233	regulation of apoptotic signaling pathway	80/1983	348/18862	9.43E-12	3.51E-10	1.96E-10	4318/672/10105/9368/83596/3065/7164/2017/1687/3148/8626/26574/7001/5062/5716/90427/5499/3685/7417/5979/54929/84231/292/2950/7157/8326/6198/10134/581/2138/7015/51079/2668/5478/598/2623/84893/9479/11124/596/51741/2056/6714/1613/3565/79370/5663/9774/5925/2260/6789/5601/10771/4690/207/7314/2876/246330/1495/5329/3301/5894/10413/8737/3958/4170/1540/57630/6280/6934/5580/2534/409/6279/3574/3162/259230/7078/3553/3383	80
GO:0034329	cell junction assembly	92/1983	425/18862	9.61E-12	3.56E-10	1.99E-10	3852/3861/7070/1894/6624/3728/4323/2049/1000/6712/27286/2017/1365/7422/9076/5457/1739/999/22883/5062/5747/56288/8443/2045/3673/9074/8394/80823/119/1501/1399/865/87/2596/10686/84552/5786/596/2566/6714/2895/5578/6548/1613/5795/4035/1845/8829/928/2185/88/204851/667/9475/5906/56940/8321/5908/7414/5789/4641/1495/9647/1009/55607/2066/2889/2561/3611/2316/2697/5583/3678/26052/10015/2702/7082/9693/10391/4208/1948/9748/7097/6385/55679/3553/7010/5175/7122/10395/23767/2823	92
GO:0007596	blood coagulation	79/1983	342/18862	9.84E-12	3.62E-10	2.02E-10	2191/23657/2161/5270/3065/5889/7534/1606/3066/7001/3673/9158/2778/57126/10603/640/5478/5912/2623/1793/3172/6714/5578/3690/959/7006/6915/5595/4627/5359/3818/140628/928/7294/5336/953/5294/23533/2625/7414/221037/5329/6850/2767/5894/3611/5579/558/4067/2316/5295/3717/5583/2624/3937/10398/84959/5580/5777/2/2534/350/10938/409/1465/2776/7099/30846/2627/710/5588/2621/2207/10019/7035/23414/6403/948/3569	79
GO:0038093	Fc receptor signaling pathway	62/1983	239/18862	1.00E-11	3.66E-10	2.05E-10	5704/5710/6464/5062/5747/5716/3326/5713/5700/5707/5296/3320/84433/3984/8976/5609/1793/6714/5795/9861/7006/4214/8454/5595/9491/5601/26060/4651/4690/5906/5336/7189/2241/6416/147179/7456/5602/4641/27040/6850/961/2212/5699/5530/2889/1398/4067/5295/3937/5580/919/4790/2534/9844/3815/9846/2206/695/5588/2205/2207/3055	62
GO:0099173	postsynapse organization	48/1983	161/18862	1.12E-11	4.06E-10	2.27E-10	23657/9118/7804/2049/547/1000/3706/10397/8851/6712/2017/9093/1739/23613/2045/80823/5063/8326/8898/816/170506/2339/1501/6405/1399/3480/87/2596/2668/3643/10152/10013/8976/8831/2895/2904/8997/91752/8828/7074/5789/9456/5621/55607/5764/3675/26052/2534	48
GO:0006470	protein dephosphorylation	76/1983	325/18862	1.29E-11	4.65E-10	2.60E-10	1033/5794/993/7184/92609/1846/5531/1852/22843/1739/995/11266/3326/54704/5499/192111/5528/29085/79660/8898/2138/11221/5478/134/5504/5521/5786/596/6305/2475/84867/5795/26469/8556/818/1845/9863/4690/1849/4659/7803/5782/80824/9475/9989/56940/5159/5775/23523/5789/26191/5525/5514/9647/1847/5530/5764/3958/8493/116154/84919/3717/84959/5580/1827/5777/1408/5783/945/1843/1848/221692/9104/10231/10395/5787	76
GO:0044839	cell cycle G2/M phase transition	68/1983	276/18862	1.29E-11	4.65E-10	2.60E-10	22974/891/2305/3161/6790/983/890/4751/990/1111/9212/7283/11200/55722/672/1019/10733/993/5704/6502/7164/4331/5885/5889/115106/5710/60561/22809/995/5716/5713/5700/5707/3320/7157/1022/7465/121441/1017/9702/9133/23236/4683/8655/80279/9024/8636/23476/2103/9861/8454/84446/9491/4303/5108/4659/6604/902/4660/1263/5699/8493/5087/7846/10763/1030/5569/1026	68
GO:0042100	B cell proliferation	35/1983	96/18862	1.30E-11	4.66E-10	2.60E-10	973/930/952/3329/836/100/84433/1380/581/1493/640/5074/54106/596/7293/3596/3565/959/3635/148022/4067/23228/1880/604/57162/5580/10125/196/4208/1026/3574/7099/695/7305/3575	35
GO:0010810	regulation of cell-substrate adhesion	58/1983	218/18862	1.54E-11	5.46E-10	3.05E-10	4321/4192/6695/7070/3728/4323/10562/7422/5747/1021/8751/1399/7471/5786/596/1793/4763/4771/6714/6548/6239/1613/5795/4035/6789/1845/8829/2185/9475/5921/56940/7414/9647/5764/3611/1398/3675/2316/7402/30008/5295/8322/604/3717/3678/5880/10391/9748/4739/6385/6237/5590/55679/3491/81848/7010/10395/948	58
GO:0071383	cellular response to steroid hormone stimulus	55/1983	201/18862	1.57E-11	5.53E-10	3.09E-10	54541/1789/672/64754/3065/10498/8644/8626/11331/5469/2950/1956/6597/6198/865/23019/4654/1616/10013/8928/6714/5465/9612/10002/2099/5458/6257/2103/51341/9667/2322/9604/3275/7110/2033/9611/490/55325/6258/6256/3301/2308/10413/9101/133522/3717/2908/1407/687/5241/1408/7035/3383/4306/358	55
GO:0043393	regulation of protein binding	54/1983	196/18862	1.79E-11	6.30E-10	3.52E-10	6790/4318/9212/4221/10856/8600/3326/5499/119/9026/581/5901/2011/7015/79139/54552/8751/489/488/6872/6714/5465/2035/5663/4035/5595/6789/8829/8536/2033/207/10014/7074/6604/9759/148022/118/6737/3676/1398/23228/56998/10763/6934/84959/5580/9693/409/1026/1440/7122/284/6590/154	54
GO:0007599	hemostasis	79/1983	346/18862	1.82E-11	6.36E-10	3.56E-10	2191/23657/2161/5270/3065/5889/7534/1606/3066/7001/3673/9158/2778/57126/10603/640/5478/5912/2623/1793/3172/6714/5578/3690/959/7006/6915/5595/4627/5359/3818/140628/928/7294/5336/953/5294/23533/2625/7414/221037/5329/6850/2767/5894/3611/5579/558/4067/2316/5295/3717/5583/2624/3937/10398/84959/5580/5777/2/2534/350/10938/409/1465/2776/7099/30846/2627/710/5588/2621/2207/10019/7035/23414/6403/948/3569	79
GO:0009612	response to mechanical stimulus	55/1983	202/18862	1.94E-11	6.71E-10	3.75E-10	891/4192/1111/664/3728/4316/4323/5270/6662/1000/8195/5747/578/3673/4878/1956/6198/1432/3596/6714/6548/6546/4214/7273/5595/2934/207/2185/9531/22927/6416/7507/3759/9759/5894/5764/10628/7100/4792/2697/51284/2113/7508/4790/9020/2534/4615/3815/7099/51311/3553/7098/5468/358/2354	55
GO:0038128	ERBB2 signaling pathway	19/1983	32/18862	2.15E-11	7.41E-10	4.14E-10	2886/6464/5753/1950/3320/1956/145957/6714/5578/9542/26469/11140/5782/4145/2066/685/2069/2549/5295	19
GO:1902105	regulation of leukocyte differentiation	68/1983	279/18862	2.18E-11	7.49E-10	4.19E-10	4192/7292/4323/3559/2175/2648/8600/5457/100/7001/1021/246778/84433/1493/8808/11221/2778/865/54106/22985/3718/2475/5578/5458/3565/5925/9655/150372/3707/3635/5914/537/10193/6886/7189/7535/2625/6850/914/8737/133522/57630/558/4067/5295/942/604/56998/3600/2624/84959/3976/3606/2242/5777/54209/3566/3574/7099/695/2621/5590/7098/9770/7305/3575/760/7704	68
GO:1901654	response to ketone	53/1983	193/18862	3.15E-11	1.08E-09	6.01E-10	6696/1728/54541/1789/1373/768/7292/1019/64754/8644/952/9076/1956/23367/3767/6198/988/8751/3208/7054/2560/2056/6714/1446/6915/207/9475/490/112/2308/10413/9101/5764/4478/8648/1536/10628/5737/196/2908/687/1026/1080/7097/1843/5732/6586/5350/3383/5468/9314/358/2354	53
GO:0001659	temperature homeostasis	49/1983	171/18862	3.33E-11	1.13E-09	6.31E-10	3226/9536/7422/8600/7090/11096/192111/3952/4849/8792/3480/2778/8841/1149/283455/6009/134/3596/4923/7253/155/3565/5925/7067/10912/2876/6774/7376/6850/2308/8864/133522/6588/6778/23228/10891/2697/3600/3717/2171/3606/3566/153/4883/7099/3553/948/154/1910	49
GO:0022409	positive regulation of cell-cell adhesion	67/1983	276/18862	3.70E-11	1.25E-09	6.98E-10	4192/100133941/7070/7292/3559/3654/3329/9093/8600/100/5062/5063/3952/84433/1493/8808/11221/865/1445/2529/3718/2056/6714/30835/3565/959/9655/3707/5914/4690/207/3716/9466/7189/7535/2625/5329/26191/6850/961/10326/3676/8764/140885/4067/5295/942/604/3600/2113/7082/3606/5777/2534/3689/3566/3574/5588/5590/3553/3575/1326/3383/6403/7704/6401/3569	67
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	33/1983	90/18862	4.18E-11	1.39E-09	7.79E-10	6662/5747/1950/3952/3480/3643/2056/6714/2057/2260/2322/4916/5008/2321/5159/5294/23533/5863/2066/4067/2549/5295/3717/3606/5777/2534/653361/3815/2247/7010/1440/6403/284	33
GO:0090559	regulation of membrane permeability	33/1983	90/18862	4.18E-11	1.39E-09	7.79E-10	664/10105/1365/7534/1869/8626/90427/7417/578/9026/292/7157/23593/8326/2931/581/10971/1267/7755/7161/6993/598/596/2475/6548/815/6687/665/3002/64112/23368/10015/54922	33
GO:0050870	positive regulation of T cell activation	56/1983	212/18862	4.66E-11	1.55E-09	8.64E-10	4192/100133941/7070/7292/3559/3329/9093/8600/100/5062/5063/3952/84433/1493/8808/11221/865/1445/3718/2056/6714/30835/3565/959/9655/3707/5914/4690/207/9466/7189/7535/2625/26191/6850/961/10326/8764/140885/4067/5295/942/604/3600/3606/5777/2534/3566/3574/5588/5590/3553/3575/1326/7704/3569	56
GO:0051052	regulation of DNA metabolic process	79/1983	353/18862	5.20E-11	1.71E-09	9.58E-10	2305/10635/4751/7291/1111/81620/9212/4436/672/7292/8914/5888/3005/4221/2956/5531/3326/5570/10728/4862/23381/54929/5063/3320/545/1956/7157/2931/1676/2068/581/2521/2138/170506/54552/4683/165918/9984/4880/7334/7486/83933/1149/8505/84893/5893/29947/56252/5609/6714/3565/8658/23293/7874/5595/4255/207/2185/9466/5159/2625/5514/54737/26354/10891/2697/604/659/5580/409/1026/1843/2247/5588/9104/3575/5468/9314/3569	79
GO:1901987	regulation of cell cycle phase transition	98/1983	478/18862	5.38E-11	1.77E-09	9.88E-10	22974/54443/891/3161/6790/983/4751/990/1111/81620/10926/9212/7283/11200/55722/672/1019/10733/993/5704/10498/5885/7517/5889/115106/328/5710/1869/1031/60561/22809/1739/3276/995/11331/5716/5713/5700/5707/1820/1021/9587/3320/1956/7157/996/4849/7465/2068/121441/581/1017/5933/9702/7015/23236/4683/23019/8655/2071/29883/80279/1874/8636/596/6872/23476/9861/246184/8556/5925/8454/84446/9491/4303/85456/26060/3275/2033/207/5108/6604/10393/1263/5934/5699/5087/7846/896/7508/1030/5777/5569/1026/1843/5325/57520/9314	98
GO:0045576	mast cell activation	26/1983	60/18862	6.20E-11	2.02E-09	1.13E-09	10397/640/3596/3565/5729/8723/5359/10666/2241/5294/27040/6850/85480/4067/2624/3937/5880/2242/3566/3815/9846/3162/695/146722/5730/6283	26
GO:0071453	cellular response to oxygen levels	59/1983	231/18862	6.23E-11	2.02E-09	1.13E-09	891/890/7291/1789/83990/664/768/26355/5704/10397/3654/7422/5710/1869/1788/11331/5716/5713/6839/5700/5707/7157/7015/4654/596/2168/2056/2475/6714/6548/846/5458/9861/6546/7316/6547/1387/9491/10533/665/2033/537/207/7314/9475/6095/1263/5699/2308/5764/9114/1902/1536/10891/3162/2627/3383/5468/358	59
GO:0048872	homeostasis of number of cells	62/1983	249/18862	6.45E-11	2.08E-09	1.16E-09	54892/23657/6662/1000/3559/6772/836/9093/7422/100/3148/3276/7001/578/5469/1021/5423/6223/84433/27240/2068/581/9133/1432/80279/2623/22985/596/3718/2056/2176/6208/51341/5925/3216/2322/7067/3707/10000/3635/207/669/6886/6774/2625/118/558/4067/5926/1880/604/3717/2624/2113/4208/3815/3574/3162/10019/9770/3575/3569	62
GO:0002886	regulation of myeloid leukocyte mediated immunity	24/1983	52/18862	6.62E-11	2.12E-09	1.19E-09	170506/57126/640/3596/3565/57506/8723/23586/2241/6850/148022/4067/2624/5880/2242/3689/3566/9846/3162/695/718/3684/7305/84106	24
GO:2000379	positive regulation of reactive oxygen species metabolic process	35/1983	101/18862	6.82E-11	2.17E-09	1.22E-09	50507/8644/3326/2950/3320/1956/7157/3952/7755/57126/1432/3643/2902/4137/2475/207/10193/2185/5159/9759/6850/148022/8737/3717/5580/3689/1026/7099/3553/3684/7305/3383/9314/185/948	35
GO:0071478	cellular response to radiation	52/1983	191/18862	6.84E-11	2.17E-09	1.22E-09	4312/10635/4318/1111/4314/9212/1894/11200/5888/92815/50507/993/2342/10856/5481/8450/90427/3265/578/54929/545/7157/581/170506/2339/1432/7486/5148/6872/2779/208/4313/842/1387/404672/85456/10010/2033/9397/7507/2625/10413/5764/5295/5580/7508/1407/1026/1408/1410/4311/358	52
GO:0042692	muscle cell differentiation	80/1983	362/18862	7.56E-11	2.39E-09	1.34E-09	891/3856/4323/6662/1000/27101/64754/1786/2648/836/7422/5999/6895/9643/4703/54910/688/57486/2931/1013/1496/1432/6300/4654/488/7471/90410/150572/596/9149/2475/5915/5465/6548/3565/6546/10818/5925/7273/4627/150094/4303/8536/207/10014/928/88/6604/2876/287/6416/5159/6095/9759/1495/5239/9456/2254/9043/5530/963/4205/2069/30008/6497/10938/3566/4208/409/1948/663/1465/3815/30846/2627/825/23345/858/58494/1910	80
GO:0001503	ossification	86/1983	401/18862	7.62E-11	2.39E-09	1.34E-09	6696/4318/4192/7291/2091/4323/6662/10736/4221/8600/8626/5747/27044/4488/1021/7166/1956/8326/3952/197/7477/2068/8792/170506/2778/865/860/1432/4880/4077/7059/525/9260/4325/2623/596/51741/4209/6238/4763/6569/846/4313/6546/5595/7067/537/207/2185/22800/55973/6096/490/7189/117581/8321/9759/8817/1009/4882/10413/5764/133522/5087/5587/6497/56998/659/23601/1050/4208/2719/3726/7424/1959/3491/7010/9770/54/79633/9365/7704/5468/1901/3569/154	86
GO:1901216	positive regulation of neuron death	33/1983	92/18862	8.27E-11	2.59E-09	1.45E-09	1728/4605/54541/429/7965/8851/836/2045/997/5063/6733/7157/2931/581/1616/134/4137/4763/2475/2904/4296/6416/9759/5621/4217/4170/23368/2534/3689/1948/7099/3684/7305	33
GO:0097305	response to alcohol	59/1983	233/18862	9.05E-11	2.82E-09	1.57E-09	1728/672/3728/7292/1019/5888/7804/8644/2806/1365/9076/3066/1788/5999/999/578/5423/2950/6354/23367/3952/6198/8751/4880/3351/7284/116443/7054/2902/3596/5465/1446/2904/6915/55929/2934/207/2185/490/8431/2625/1495/112/113/1536/5737/196/2534/687/1026/6279/1080/5732/6586/1440/3383/5468/9314/2354	59
GO:0050852	T cell receptor signaling pathway	54/1983	204/18862	9.45E-11	2.93E-09	1.64E-09	7070/5704/5710/100/5062/5716/8892/5713/5700/5707/5296/3265/5063/29085/84433/1493/1399/55072/8890/5074/7334/1445/5795/9861/5663/7006/8454/9491/1845/3635/53347/4690/10666/2533/7294/5336/7189/7535/2625/27040/5621/26191/7430/5699/3958/5295/3937/919/4790/5777/2534/55824/5588/84106	54
GO:0021782	glial cell development	37/1983	112/18862	9.65E-11	2.97E-09	1.66E-09	4192/429/10397/8892/56288/118738/3766/1021/2950/1956/5454/2068/8890/5453/83933/388585/4137/53616/4763/208/5663/23405/4035/79885/2934/207/11076/4067/1902/6280/6497/3459/54209/6279/7099/7097/3569	37
GO:1902107	positive regulation of leukocyte differentiation	45/1983	154/18862	1.03E-10	3.13E-09	1.75E-09	4192/7292/4323/3559/8600/5457/100/8808/11221/2778/865/22985/5578/5458/3565/5925/9655/3707/3635/5914/537/7189/7535/2625/6850/8737/133522/558/942/604/56998/3600/3976/3606/2242/54209/3566/3574/695/2621/5590/7305/3575/760/7704	45
GO:1903708	positive regulation of hemopoiesis	45/1983	154/18862	1.03E-10	3.13E-09	1.75E-09	4192/7292/4323/3559/8600/5457/100/8808/11221/2778/865/22985/5578/5458/3565/5925/9655/3707/3635/5914/537/7189/7535/2625/6850/8737/133522/558/942/604/56998/3600/3976/3606/2242/54209/3566/3574/695/2621/5590/7305/3575/760/7704	45
GO:0010038	response to metal ion	78/1983	352/18862	1.14E-10	3.46E-09	1.93E-09	891/3861/4318/1728/1373/1894/664/429/1019/10105/27101/10397/9536/4331/8644/836/9076/10016/1788/999/682/5499/1956/955/2931/7015/3208/2664/7054/1616/1740/148281/596/4137/6569/846/85365/7273/5595/310/817/2934/5601/673/3707/5359/5009/207/2185/7323/4520/553115/9456/5621/118/5530/10235/4205/113/1536/10628/10891/4502/1050/653361/311/4208/3726/3815/6279/3162/1843/5350/825/3383/760/358/2354	78
GO:0007173	epidermal growth factor receptor signaling pathway	39/1983	123/18862	1.23E-10	3.71E-09	2.07E-09	4318/6662/23624/2886/7429/6464/5747/5753/1950/9026/1956/58533/27131/5148/134/6714/5795/5663/9655/1845/673/51196/207/1796/2185/5782/5286/2241/5329/8412/685/2069/2549/5295/53358/653361/10253/9770/2202	39
GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	38/1983	118/18862	1.27E-10	3.80E-09	2.13E-09	7164/11235/7422/8600/222643/8877/3276/54910/3265/3952/7477/23236/7188/54106/9479/4294/10913/4296/2185/10912/7189/56940/10392/4217/2324/4215/8737/57630/4067/344558/10125/4615/653361/7099/3553/7098/9770/4616	38
GO:0032526	response to retinoic acid	35/1983	103/18862	1.27E-10	3.80E-09	2.13E-09	2707/429/6662/9536/952/3066/11331/5753/5979/54929/3952/7477/51079/8463/6257/27/4058/5914/2185/6096/5159/6258/6256/10413/4067/8648/8322/2697/7472/1843/2627/7075/5468/9314/358	35
GO:0071156	regulation of cell cycle arrest	36/1983	108/18862	1.29E-10	3.83E-09	2.14E-09	891/2305/6790/983/2191/11200/672/1019/10498/8851/5457/1869/4760/3276/995/3326/1820/7157/8326/4849/581/1017/23019/7161/29883/1874/7709/208/4303/85456/2033/1263/5934/1026/2627/5325	36
GO:0045930	negative regulation of mitotic cell cycle	73/1983	321/18862	1.29E-10	3.83E-09	2.14E-09	891/6790/983/990/2191/1111/81620/9212/4436/54962/11200/672/1019/9368/5704/10498/5885/7517/5710/1869/1031/60561/1739/3276/995/5716/5713/5700/5707/1820/1021/9587/1956/7157/9656/54998/4849/7465/581/1017/5933/4683/23019/598/29883/80279/1874/596/9861/8556/5925/8454/84446/9491/4303/9863/85456/3275/2033/694/1263/5514/5934/5699/604/1028/7508/1030/7077/1026/1843/5325/9314	73
GO:0046902	regulation of mitochondrial membrane permeability	29/1983	75/18862	1.42E-10	4.17E-09	2.33E-09	664/10105/7534/1869/8626/90427/7417/578/9026/292/7157/23593/8326/2931/581/10971/1267/7755/7161/6993/598/596/6548/815/6687/665/3002/64112/23368	29
GO:0090132	epithelium migration	79/1983	360/18862	1.42E-10	4.17E-09	2.33E-09	54443/6273/4318/2191/3868/3728/6662/27286/7429/11235/7422/10016/5747/5646/1950/83481/3673/1460/11221/2253/10013/1793/498/2249/4763/2475/6714/5578/6239/3565/3690/6915/2260/4627/8828/10000/8829/2752/207/10014/2185/9475/2876/5336/5286/5294/2625/8503/7114/8817/9647/2324/4215/5764/3675/9404/5587/51466/161742/7026/2624/54345/2113/659/6776/3164/350/3689/4208/1948/7424/3815/3162/2247/6237/7010/284/5468/9314	79
GO:0046849	bone remodeling	32/1983	89/18862	1.48E-10	4.33E-09	2.42E-09	6696/4192/952/8600/7166/1956/3952/8792/3351/1445/4763/6714/5578/3690/3635/537/2185/7189/6850/5764/133522/1436/2697/5880/84959/3574/9770/54/760/1901/3569/154	32
GO:0002262	myeloid cell homeostasis	43/1983	145/18862	1.58E-10	4.58E-09	2.56E-09	54892/23657/6772/836/7422/3148/3276/578/5469/1021/6223/2068/581/1432/80279/2623/22985/3718/2056/2176/6208/51341/5925/3216/7067/3707/3635/669/6886/6774/2625/118/558/4067/5926/604/3717/2624/2113/3815/3162/10019/3569	43
GO:0031570	DNA integrity checkpoint	45/1983	156/18862	1.64E-10	4.75E-09	2.66E-09	891/6790/983/990/1111/81620/83990/4436/54962/11200/672/8914/10498/1869/60561/3276/995/1820/545/7157/9656/4849/581/1017/988/4683/23019/8563/9984/1432/29883/80279/1874/84446/4303/85456/2033/1263/5514/5934/7508/29935/1407/1026/5325	45
GO:0002699	positive regulation of immune effector process	56/1983	219/18862	1.81E-10	5.21E-09	2.91E-09	8140/4436/7292/3329/6223/170506/57126/640/4843/54106/2208/7293/3596/3565/5795/57506/9655/8723/5914/10666/51744/2867/23586/5906/7189/2241/2625/117157/26191/3916/6850/148022/8764/2889/4067/942/2624/5880/10125/3606/2242/3689/3566/9846/3162/7099/695/5590/718/8807/3553/563/3684/7305/948/3569	56
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	19/1983	35/18862	1.84E-10	5.26E-09	2.94E-09	3654/3329/51135/81793/54106/7316/4214/7314/7189/7100/7096/11213/4615/7099/7097/695/51311/146722/948	19
GO:0032355	response to estradiol	39/1983	125/18862	2.11E-10	6.00E-09	3.35E-09	890/1728/1789/81930/3015/952/836/10856/5457/1788/3673/2950/1956/3952/3767/2678/8202/4654/7054/9612/6569/2099/5458/1588/1446/5159/6774/5764/8648/10628/5737/10891/7026/2697/2113/1410/1843/7035/8835	39
GO:0010631	epithelial cell migration	78/1983	357/18862	2.32E-10	6.56E-09	3.67E-09	54443/6273/4318/2191/3868/3728/6662/27286/7429/11235/7422/10016/5747/5646/1950/83481/3673/1460/11221/10013/1793/498/2249/4763/2475/6714/5578/6239/3565/3690/6915/2260/4627/8828/10000/8829/2752/207/10014/2185/9475/2876/5336/5286/5294/2625/8503/7114/8817/9647/2324/4215/5764/3675/9404/5587/51466/161742/7026/2624/54345/2113/659/6776/3164/350/3689/4208/1948/7424/3815/3162/2247/6237/7010/284/5468/9314	78
GO:0016049	cell growth	95/1983	470/18862	2.38E-10	6.71E-09	3.75E-09	6696/6790/1382/53335/6695/2786/5645/4323/5270/6662/8851/2017/56924/952/7422/5999/1031/8877/22883/54910/5716/3326/2045/5931/3320/1956/7157/10505/3897/2931/6597/8153/6405/8751/1399/51447/51079/2664/3984/9175/10298/9686/1002/10013/596/84260/4137/2475/3172/5465/6548/5458/5795/4035/5925/817/8828/51196/10718/8829/3275/29946/207/694/2185/10479/7074/6416/64061/7414/322/6595/9043/3676/50618/10235/214/9706/6280/2697/604/659/1154/1026/6279/1410/6098/57556/5588/5590/6586/8835/5468/185/23767	95
GO:0042770	signal transduction in response to DNA damage	40/1983	131/18862	2.58E-10	7.23E-09	4.04E-09	891/2305/6790/983/7291/1111/11200/672/10397/10498/9521/1869/60561/3276/995/5716/1820/545/7157/4849/581/1017/988/4683/23019/1432/29883/51147/1874/7471/27330/842/85456/2033/1263/5934/8493/161742/1026/5325	40
GO:0048863	stem cell differentiation	61/1983	251/18862	2.64E-10	7.37E-09	4.12E-09	7291/6662/1000/5704/4902/54888/9221/5710/10016/8626/54910/5716/5713/5700/5707/5979/3875/8092/7157/10505/2068/170506/6405/865/7161/22823/2668/3214/8463/388585/9698/2623/29947/2099/2103/9861/5595/9491/4303/8828/5008/8829/4300/6886/2625/8321/553115/5699/10413/5764/2066/2624/54345/3976/2/4208/3815/2627/57556/1910/2823	61
GO:0042113	B cell activation	73/1983	326/18862	2.73E-10	7.55E-09	4.22E-09	9156/4436/973/7292/4323/930/54900/2956/952/3329/836/100/11331/578/7157/8326/84433/1380/581/1493/4683/165918/9984/640/5074/974/55846/54106/596/3718/7293/3596/3565/5795/51341/959/2874/2322/150372/3635/2033/8935/10014/2185/9466/5336/7535/9759/6850/148022/3676/5579/4067/23228/5295/1880/942/604/57162/5580/10125/196/5777/4208/1026/3815/3574/7099/1316/695/7305/3575/3569	73
GO:0031099	regeneration	51/1983	192/18862	2.73E-10	7.55E-09	4.22E-09	891/6696/6790/890/4192/7070/1019/1719/9076/6895/578/83481/688/5469/2950/1956/8326/8751/11221/2596/4654/7471/596/8428/7006/4035/2322/2934/928/5782/4548/7294/5906/2876/8431/1495/5530/10413/5764/2066/558/2316/3717/1026/3162/2621/825/9104/5468/9314/3569	51
GO:0032956	regulation of actin cytoskeleton organization	77/1983	352/18862	2.85E-10	7.83E-09	4.38E-09	4192/1894/6624/50507/8851/6712/2017/7429/5756/5999/22843/1739/4703/8195/5062/64223/3265/119/9026/5063/6710/29085/8153/133746/1496/51429/3984/10152/8976/4771/2475/6548/1613/4035/27/4916/2934/10174/8829/4690/120/2185/88/9475/5921/2241/5159/7114/4641/9647/961/55114/118/55607/6709/2059/1398/1436/2316/1902/51466/5295/5880/397/5580/6711/7082/2242/10391/6385/7010/3055/1440/27289/3383/10395/1901	77
GO:0090130	tissue migration	79/1983	365/18862	2.85E-10	7.83E-09	4.38E-09	54443/6273/4318/2191/3868/3728/6662/27286/7429/11235/7422/10016/5747/5646/1950/83481/3673/1460/11221/2253/10013/1793/498/2249/4763/2475/6714/5578/6239/3565/3690/6915/2260/4627/8828/10000/8829/2752/207/10014/2185/9475/2876/5336/5286/5294/2625/8503/7114/8817/9647/2324/4215/5764/3675/9404/5587/51466/161742/7026/2624/54345/2113/659/6776/3164/350/3689/4208/1948/7424/3815/3162/2247/6237/7010/284/5468/9314	79
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	46/1983	164/18862	2.90E-10	7.91E-09	4.42E-09	7291/3066/2950/3952/54106/1149/6693/3565/5795/5663/23405/57506/5914/9466/23586/6774/10392/26191/6850/148022/914/961/8737/140885/558/5295/942/3717/10125/7096/11213/3459/50856/5777/4615/54209/409/945/7099/7097/2621/7098/7305/284/948/3569	46
