"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Thyroid hormone signaling pathway	KEGG PATHWAY	hsa04919	7	119	1.57E-06	2.16E-05	TP53|PIK3CA|KAT2B|FOXO1|PIK3R3|MED17|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04919/hsa:8503%09red/hsa:5290%09red/hsa:8850%09red/hsa:9440%09red/hsa:7157%09red/hsa:1387%09red/hsa:2308%09red
Programmed Cell Death	Reactome	R-HSA-5357801	8	175	1.70E-06	2.31E-05	TICAM1|TP53|ADD1|PSMD4|BIRC2|BAX|CD14|HMGB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357801
SUMOylation of transcription cofactors	Reactome	R-HSA-3899300	5	43	2.32E-06	3.06E-05	UBE2I|DDX5|CBX4|CREBBP|TOPORS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3899300
DNA Repair	Reactome	R-HSA-73894	10	331	3.17E-06	4.12E-05	UBE2I|RBBP8|TP53|COPS2|RAD51C|VCP|RAD51AP1|RAD51|EYA4|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73894
"TICAM1, RIP1-mediated IKK complex recruitment "	Reactome	R-HSA-168927	4	20	3.64E-06	4.61E-05	TLR3|IKBKG|BIRC2|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168927
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	Reactome	R-HSA-6803204	4	20	3.64E-06	4.61E-05	TP53|BAX|CREBBP|TRIAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803204
Longevity regulating pathway	KEGG PATHWAY	hsa04211	6	89	4.26E-06	5.33E-05	EHMT2|TP53|PIK3CA|BAX|FOXO1|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:10919%09red/hsa:2308%09red
ZBP1(DAI) mediated induction of type I IFNs	Reactome	R-HSA-1606322	4	21	4.32E-06	5.33E-05	IRF3|TLR3|IKBKG|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606322
Toll receptor signaling pathway	PANTHER	P00054	5	50	4.60E-06	5.61E-05	IRF3|TLR3|CD14|IKBKE|TICAM1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00054
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	Reactome	R-HSA-975138	6	92	5.10E-06	6.14E-05	TICAM1|AGER|CD14|IKBKG|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975138
Signaling by Interleukins	Reactome	R-HSA-449147	13	619	5.29E-06	6.28E-05	SERPINB2|TP53|TXLNA|PSMD4|AGER|IL16|FOXO1|TNF|PIK3R3|IKBKG|PIK3CA|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Breast cancer	KEGG PATHWAY	hsa05224	7	147	5.95E-06	6.99E-05	E2F3|PIK3CA|RB1|PTEN|PIK3R3|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05224/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red
Gastric cancer	KEGG PATHWAY	hsa05226	7	149	6.48E-06	7.52E-05	E2F3|PIK3CA|CDX2|RB1|PIK3R3|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05226/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:1871%09red/hsa:1045%09red
Diseases associated with the TLR signaling cascade	Reactome	R-HSA-5602358	4	24	6.91E-06	7.74E-05	TLR3|CD14|IKBKG|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602358
IKK complex recruitment mediated by RIP1	Reactome	R-HSA-937041	4	24	6.91E-06	7.74E-05	TICAM1|CD14|BIRC2|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937041
Diseases of Immune System	Reactome	R-HSA-5260271	4	24	6.91E-06	7.74E-05	TLR3|CD14|IKBKG|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5260271
Endocrine resistance	KEGG PATHWAY	hsa01522	6	98	7.20E-06	7.97E-05	E2F3|PIK3CA|RB1|PIK3R3|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa01522/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:1871%09red
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	hsa04933	6	100	8.03E-06	8.79E-05	PIK3CA|AGER|BAX|FOXO1|TNF|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04933/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:177%09red/hsa:7124%09red/hsa:2308%09red
Diseases of signal transduction	Reactome	R-HSA-5663202	10	374	8.96E-06	9.62E-05	PSMD4|ADAM17|KAT2B|CDC37|VCP|PTEN|FOXO1|PIK3R3|PIK3CA|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
Endometrial cancer	KEGG PATHWAY	hsa05213	5	58	9.04E-06	9.62E-05	PIK3CA|PIK3R3|TP53|BAX|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa05213/hsa:5290%09red/hsa:5728%09red/hsa:8503%09red/hsa:581%09red/hsa:7157%09red
Hypoxia response via HIF activation	PANTHER	P00030	4	26	9.19E-06	9.62E-05	PIK3CA|PIK3R3|CREBBP|PTEN	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00030
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	Reactome	R-HSA-5693554	4	26	9.19E-06	9.62E-05	RAD51AP1|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693554
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	7	166	1.27E-05	0.000131779	UBE2I|RBBP8|TP53|RAD51AP1|RAD51|EYA4|RAD51C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532
Cytosolic DNA-sensing pathway	KEGG PATHWAY	hsa04623	5	63	1.32E-05	0.000134913	IRF3|MAVS|IRF7|IKBKG|IKBKE	http://www.genome.jp/kegg-bin/show_pathway?hsa04623/hsa:57506%09red/hsa:3665%09red/hsa:8517%09red/hsa:9641%09red/hsa:3661%09red
TNF signaling pathway	KEGG PATHWAY	hsa04668	6	112	1.49E-05	0.000150572	PIK3CA|BIRC2|TNF|PIK3R3|IKBKG|MAP3K14	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:8517%09red/hsa:8503%09red/hsa:7124%09red/hsa:5290%09red/hsa:329%09red/hsa:9020%09red
PIP3 activates AKT signaling	Reactome	R-HSA-1257604	8	247	1.93E-05	0.000193721	TP53|FRK|PSMD4|PTEN|FOXO1|PIK3R3|PIK3CA|CBX4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1257604
Renal cell carcinoma	KEGG PATHWAY	hsa05211	5	69	1.99E-05	0.000197768	PIK3CA|ETS1|PIK3R3|CREBBP|HLF	http://www.genome.jp/kegg-bin/show_pathway?hsa05211/hsa:5290%09red/hsa:1387%09red/hsa:2113%09red/hsa:8503%09red/hsa:2034%09red
Sphingolipid signaling pathway	KEGG PATHWAY	hsa04071	6	119	2.06E-05	0.000202555	TP53|PIK3CA|BAX|PTEN|TNF|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04071/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:7124%09red
TAK1 activates NFkB by phosphorylation and activation of IKKs complex	Reactome	R-HSA-445989	4	33	2.16E-05	0.000206117	S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445989
Resolution of D-loop Structures through Holliday Junction Intermediates	Reactome	R-HSA-5693568	4	33	2.16E-05	0.000206117	RAD51AP1|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693568
Oncogene Induced Senescence	Reactome	R-HSA-2559585	4	33	2.16E-05	0.000206117	E2F3|ETS1|TP53|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559585
Yersinia infection	KEGG PATHWAY	hsa05135	6	121	2.26E-05	0.000212922	IRF3|TICAM1|PIK3CA|TNF|PIK3R3|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05135/hsa:8517%09red/hsa:8503%09red/hsa:3661%09red/hsa:5290%09red/hsa:7124%09red/hsa:148022%09red
Regulation of FOXO transcriptional activity by acetylation	Reactome	R-HSA-9617629	3	10	2.34E-05	0.00021882	FOXO1|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9617629
Negative regulators of DDX58/IFIH1 signaling	Reactome	R-HSA-936440	4	34	2.41E-05	0.000220829	IRF3|MAVS|RNF216|IKBKE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936440
Resolution of D-Loop Structures	Reactome	R-HSA-5693537	4	34	2.41E-05	0.000220829	RAD51AP1|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693537
Platinum drug resistance	KEGG PATHWAY	hsa01524	5	73	2.57E-05	0.000233823	PIK3CA|PIK3R3|TP53|BAX|BIRC2	http://www.genome.jp/kegg-bin/show_pathway?hsa01524/hsa:5290%09red/hsa:329%09red/hsa:8503%09red/hsa:581%09red/hsa:7157%09red
Insulin/IGF pathway-protein kinase B signaling cascade	PANTHER	P00033	4	35	2.67E-05	0.000240637	PIK3CA|FOXO1|PIK3R3|PTEN	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00033
"Cell Cycle, Mitotic"	Reactome	R-HSA-69278	11	525	2.91E-05	0.000259502	MAD2L1|VRK1|TP53|PSMD4|RB1|FOXM1|CDC14A|E2F3|RANBP2|CCNH|CLASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69278
Regulation of gene expression by Hypoxia-inducible Factor	Reactome	R-HSA-1234158	3	11	2.97E-05	0.000262313	CITED2|CREBBP|HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234158
Osteoclast differentiation	KEGG PATHWAY	hsa04380	6	128	3.05E-05	0.0002654	PIK3CA|FHL2|TNF|PIK3R3|IKBKG|MAP3K14	http://www.genome.jp/kegg-bin/show_pathway?hsa04380/hsa:8517%09red/hsa:8503%09red/hsa:5290%09red/hsa:7124%09red/hsa:2274%09red/hsa:9020%09red
Signaling by Nuclear Receptors	Reactome	R-HSA-9006931	8	264	3.06E-05	0.0002654	CRABP2|FKBP5|PIK3CA|KAT2B|DDX5|CBFB|PIK3R3|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006931
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Reactome	R-HSA-8939236	6	129	3.18E-05	0.000273706	TCF3|PSMD4|LMO2|CBFB|TCF12|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939236
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	Reactome	R-HSA-8864260	4	38	3.60E-05	0.000306895	UBE2I|CITED2|TFAP2C|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8864260
Activation of the TFAP2 (AP-2) family of transcription factors	Reactome	R-HSA-8866907	3	12	3.70E-05	0.000312492	CITED2|TFAP2C|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866907
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	9	359	4.13E-05	0.000345971	RBBP8|TP53|BAX|TRIAP1|PTEN|EHMT2|PLAGL1|CCNH|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
Advanced glycosylation endproduct receptor signaling	Reactome	R-HSA-879415	3	13	4.54E-05	0.000376748	S100A12|AGER|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-879415
Homologous recombination	KEGG PATHWAY	hsa03440	4	41	4.74E-05	0.000390505	RAD54L|RBBP8|RAD51C|RAD51	http://www.genome.jp/kegg-bin/show_pathway?hsa03440/hsa:5889%09red/hsa:5888%09red/hsa:8438%09red/hsa:5932%09red
TNF signaling	Reactome	R-HSA-75893	4	42	5.18E-05	0.000419064	TNF|IKBKG|BIRC2|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75893
Homologous DNA Pairing and Strand Exchange	Reactome	R-HSA-5693579	4	42	5.18E-05	0.000419064	RAD51AP1|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693579
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	8	288	5.55E-05	0.000445379	TP53|FRK|PSMD4|PTEN|FOXO1|PIK3R3|PIK3CA|CBX4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	7	212	5.74E-05	0.00045711	IRF3|NFATC4|PIK3CA|BAX|TNF|PIK3R3|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:8517%09red/hsa:8503%09red/hsa:3661%09red/hsa:5290%09red/hsa:4776%09red/hsa:581%09red/hsa:7124%09red
TP53 Regulates Transcription of Cell Death Genes	Reactome	R-HSA-5633008	4	44	6.13E-05	0.00048406	TP53|BAX|CREBBP|TRIAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633008
PD-L1 expression and PD-1 checkpoint pathway in cancer	KEGG PATHWAY	hsa05235	5	89	6.32E-05	0.000494964	PTEN|TICAM1|PIK3R3|IKBKG|PIK3CA	http://www.genome.jp/kegg-bin/show_pathway?hsa05235/hsa:5290%09red/hsa:5728%09red/hsa:148022%09red/hsa:8503%09red/hsa:8517%09red
Deubiquitination	Reactome	R-HSA-5688426	8	296	6.69E-05	0.000519186	TP53|PSMD4|KAT2B|BIRC2|VCP|PTEN|IKBKG|MAVS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5688426
ESR-mediated signaling	Reactome	R-HSA-8939211	7	221	7.39E-05	0.000569664	FKBP5|PIK3CA|KAT2B|DDX5|CBFB|PIK3R3|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939211
Transcriptional regulation by RUNX3	Reactome	R-HSA-8878159	5	93	7.71E-05	0.000581915	PSMD4|CBFB|TP53|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878159
FOXO-mediated transcription of cell death genes	Reactome	R-HSA-9614657	3	16	7.78E-05	0.000581915	CITED2|FOXO1|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614657
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	Reactome	R-HSA-210744	3	16	7.78E-05	0.000581915	ONECUT1|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210744
PI3 kinase pathway	PANTHER	P00048	4	47	7.80E-05	0.000581915	PIK3CA|FOXO1|PIK3R3|PTEN	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00048
Signaling by EGFR	Reactome	R-HSA-177929	4	48	8.42E-05	0.000619258	PTPN3|PIK3CA|SH3GL1|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-177929
Toll Like Receptor TLR6:TLR2 Cascade	Reactome	R-HSA-168188	5	95	8.49E-05	0.000619258	CD14|S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168188
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	Reactome	R-HSA-166058	5	95	8.49E-05	0.000619258	CD14|S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166058
SUMOylation of transcription factors	Reactome	R-HSA-3232118	3	17	9.12E-05	0.000655353	UBE2I|TFAP2C|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232118
RIP-mediated NFkB activation via ZBP1	Reactome	R-HSA-1810476	3	17	9.12E-05	0.000655353	TLR3|IKBKG|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1810476
Toll Like Receptor 2 (TLR2) Cascade	Reactome	R-HSA-181438	5	98	9.77E-05	0.000691465	CD14|S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-181438
Toll Like Receptor TLR1:TLR2 Cascade	Reactome	R-HSA-168179	5	98	9.77E-05	0.000691465	CD14|S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168179
Potassium Channels	Reactome	R-HSA-1296071	5	99	0.000102221	0.00071853	KCNAB1|KCNA2|KCNA3|KCNJ15|KCNK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296071
TNFR2 non-canonical NF-kB pathway	Reactome	R-HSA-5668541	5	100	0.000106952	0.000746336	PSMD4|TNF|MAP3K14|BIRC2|EDAR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5668541
Interleukin-1 signaling	Reactome	R-HSA-9020702	5	101	0.000111848	0.000774893	PSMD4|S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020702
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	5	103	0.000122157	0.000834305	TICAM1|TNF|PIK3R3|IKBKG|PIK3CA	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:5290%09red/hsa:7124%09red/hsa:148022%09red/hsa:8503%09red/hsa:8517%09red
T cell receptor signaling pathway	KEGG PATHWAY	hsa04660	5	103	0.000122157	0.000834305	PIK3CA|TNF|PIK3R3|MAP3K14|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04660/hsa:5290%09red/hsa:7124%09red/hsa:8517%09red/hsa:8503%09red/hsa:9020%09red
Signaling by ERBB4	Reactome	R-HSA-1236394	4	55	0.00013812	0.000936686	PIK3CA|S100B|GFAP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236394
Insulin resistance	KEGG PATHWAY	hsa04931	5	108	0.000151118	0.001017671	PIK3CA|FOXO1|TNF|PIK3R3|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa04931/hsa:5290%09red/hsa:7124%09red/hsa:5728%09red/hsa:8503%09red/hsa:2308%09red
CCKR signaling map	PANTHER	P06959	6	175	0.000161078	0.001077208	BIRC2|BAX|PTEN|FOXO1|MAP3K14|SERPINB2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P06959
CD28 dependent PI3K/Akt signaling	Reactome	R-HSA-389357	3	22	0.00018102	0.001202222	PIK3CA|PIK3R3|MAP3K14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389357
RUNX2 regulates osteoblast differentiation	Reactome	R-HSA-8940973	3	23	0.000203968	0.001345353	ZNF521|CBFB|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8940973
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	9	458	0.000248618	0.001628701	PIK3CA|BAX|CDC37|PIK3R3|ADAM17|PTPN3|GFAP|SH3GL1|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
FOXO-mediated transcription	Reactome	R-HSA-9614085	4	65	0.000253508	0.001649516	CITED2|FOXO1|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614085
HDR through Homologous Recombination (HRR)	Reactome	R-HSA-5685942	4	67	0.000282978	0.001816717	RAD51AP1|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685942
Central carbon metabolism in cancer	KEGG PATHWAY	hsa05230	4	69	0.000314828	0.00200781	PIK3CA|PIK3R3|TP53|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:5290%09red/hsa:5728%09red/hsa:8503%09red/hsa:7157%09red
Neutrophil degranulation	Reactome	R-HSA-6798695	9	478	0.000337579	0.002138741	MVP|CD55|FRK|PGM1|VCP|S100A11|CD14|MNDA|S100A12	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6798695
SUMOylation of DNA damage response and repair proteins	Reactome	R-HSA-3108214	4	71	0.000349168	0.002197703	UBE2I|CBX4|EID3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108214
p53 signaling pathway	KEGG PATHWAY	hsa04115	4	72	0.000367306	0.002280353	PTEN|PPM1D|TP53|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:5728%09red/hsa:8493%09red/hsa:581%09red/hsa:7157%09red
FoxO signaling pathway	KEGG PATHWAY	hsa04068	5	132	0.000369403	0.002280353	PIK3CA|FOXO1|PIK3R3|CREBBP|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:5290%09red/hsa:1387%09red/hsa:5728%09red/hsa:8503%09red/hsa:2308%09red
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	Reactome	R-HSA-5693567	5	132	0.000369403	0.002280353	UBE2I|RAD51AP1|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693567
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	Reactome	R-HSA-3134973	2	5	0.000400972	0.002459468	IRF3|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134973
Cellular response to hypoxia	Reactome	R-HSA-1234174	4	74	0.000405587	0.002472027	CITED2|HLF|CREBBP|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234174
Axon guidance mediated by netrin	PANTHER	P00009	3	30	0.000418415	0.002518336	PIK3CA|NFATC4|PIK3R3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00009
TNFR1-induced NFkappaB signaling pathway	Reactome	R-HSA-5357956	3	30	0.000418415	0.002518336	TNF|BIRC2|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357956
PTEN Regulation	Reactome	R-HSA-6807070	5	137	0.000435309	0.00260374	FRK|PSMD4|CBX4|TP53|PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807070
Pertussis	KEGG PATHWAY	hsa05133	4	76	0.000446635	0.002622012	IRF3|TICAM1|CD14|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05133/hsa:929%09red/hsa:7124%09red/hsa:148022%09red/hsa:3661%09red
Homology Directed Repair	Reactome	R-HSA-5693538	5	138	0.000449488	0.002622012	UBE2I|RAD51AP1|RBBP8|RAD51C|RAD51	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693538
Interleukin-1 family signaling	Reactome	R-HSA-446652	5	138	0.000449488	0.002622012	PSMD4|S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446652
RUNX2 regulates bone development	Reactome	R-HSA-8941326	3	31	0.000457423	0.002622012	ZNF521|CBFB|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941326
CD28 co-stimulation	Reactome	R-HSA-389356	3	31	0.000457423	0.002622012	PIK3CA|PIK3R3|MAP3K14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389356
SUMOylation of SUMOylation proteins	Reactome	R-HSA-4085377	3	31	0.000457423	0.002622012	UBE2I|TOPORS|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4085377
Nuclear signaling by ERBB4	Reactome	R-HSA-1251985	3	31	0.000457423	0.002622012	S100B|GFAP|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1251985
Fluid shear stress and atherosclerosis	KEGG PATHWAY	hsa05418	5	139	0.000464013	0.002644048	PIK3CA|TNF|PIK3R3|TP53|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05418/hsa:5290%09red/hsa:7124%09red/hsa:8517%09red/hsa:8503%09red/hsa:7157%09red
Signaling pathways regulating pluripotency of stem cells	KEGG PATHWAY	hsa04550	5	140	0.000478888	0.002696895	PIK3CA|ONECUT1|PIK3R3|ID2|TCF3	http://www.genome.jp/kegg-bin/show_pathway?hsa04550/hsa:5290%09red/hsa:6929%09red/hsa:8503%09red/hsa:3175%09red/hsa:3398%09red
Death Receptor Signalling	Reactome	R-HSA-73887	5	140	0.000478888	0.002696895	TNF|IKBKG|BIRC2|LINGO1|ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73887
Regulation of TNFR1 signaling	Reactome	R-HSA-5357905	3	32	0.000498688	0.002792074	TNF|BIRC2|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357905
EGFR tyrosine kinase inhibitor resistance	KEGG PATHWAY	hsa01521	4	79	0.000513639	0.002859158	PIK3CA|PIK3R3|BAX|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa01521/hsa:5290%09red/hsa:5728%09red/hsa:8503%09red/hsa:581%09red
TLR3-mediated TICAM1-dependent programmed cell death	Reactome	R-HSA-9013957	2	6	0.000533077	0.002933448	TLR3|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013957
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	Reactome	R-HSA-8939246	2	6	0.000533077	0.002933448	CBFB|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939246
Adaptive Immune System	Reactome	R-HSA-1280218	11	748	0.000593263	0.003246095	UBE4A|PSMD4|FBXO11|PTEN|CD14|PIK3R3|PIK3CA|FBXO7|MAP3K14|TRIP12|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218
Transcriptional regulation of white adipocyte differentiation	Reactome	R-HSA-381340	4	83	0.000613712	0.003339007	TNF|CREBBP|EBF1|MED17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381340
