##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Apoptosis - multiple species	KEGG PATHWAY	hsa04215	4	33	0.00864409881132	0.0191896807998	BCL2L1|BIRC5|CASP3|CASP9	http://www.genome.jp/kegg-bin/show_pathway?hsa04215/hsa:332%09red/hsa:836%09red/hsa:598%09red/hsa:842%09red
Gluconeogenesis	Reactome	R-HSA-70263	4	33	0.00864409881132	0.0191896807998	GOT2|NLK|ALDOB|GAPDH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70263
@@gluconeogenesis	BioCyc	PWY66-399	3	24	0.0209717939406	0.0393445194014	NLK|ALDOB|GAPDH	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-399
Formation of the HIV-1 Early Elongation Complex	Reactome	R-HSA-167158	4	33	0.00864409881132	0.0191896807998	MNAT1|ERCC3|POLR2K|POLR2J	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167158
Signaling by FGFR3	Reactome	R-HSA-5654741	4	33	0.00864409881132	0.0191896807998	FRS3|SPRY2|FGF2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654741
@@Signaling by FGFR3 in disease	Reactome	R-HSA-5655332	2	18	0.0707768350178	0.107233927775	FGF2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655332
Signaling by NOTCH2	Reactome	R-HSA-1980145	4	33	0.00864409881132	0.0191896807998	MDK|PSEN1|MIB1|GZMB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980145
TAK1 activates NFkB by phosphorylation and activation of IKKs complex	Reactome	R-HSA-445989	4	33	0.00864409881132	0.0191896807998	S100A12|NFKB1|NFKBIA|UBE2N	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445989
Formation of the Early Elongation Complex	Reactome	R-HSA-113418	4	33	0.00864409881132	0.0191896807998	MNAT1|ERCC3|POLR2K|POLR2J	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113418
Regulation of RUNX3 expression and activity	Reactome	R-HSA-8941858	5	53	0.00893925904651	0.0197948787966	PSMD4|SRC|RPN2|PSMD6|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941858
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	Reactome	R-HSA-8854050	5	53	0.00893925904651	0.0197948787966	PSMD4|RPN2|PSMD6|AURKA|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8854050
Phosphatidylinositol signaling system	KEGG PATHWAY	hsa04070	7	99	0.00908523919409	0.020092796001	PRKCA|PRKCB|PIK3C2B|SACM1L|PIK3R1|DGKA|IP6K2	http://www.genome.jp/kegg-bin/show_pathway?hsa04070/hsa:5579%09red/hsa:5578%09red/hsa:22908%09red/hsa:51447%09red/hsa:5287%09red/hsa:1606%09red/hsa:5295%09red
Nitrogen metabolism	KEGG PATHWAY	hsa00910	3	17	0.00915549599938	0.0201214655506	CA2|CA9|CA4	http://www.genome.jp/kegg-bin/show_pathway?hsa00910/hsa:768%09red/hsa:760%09red/hsa:762%09red
PI-3K cascade:FGFR4	Reactome	R-HSA-5654720	3	17	0.00915549599938	0.0201214655506	FGF6|FGF2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654720
Platelet sensitization by LDL	Reactome	R-HSA-432142	3	17	0.00915549599938	0.0201214655506	MAPK14|PECAM1|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432142
Norepinephrine Neurotransmitter Release Cycle	Reactome	R-HSA-181430	3	17	0.00915549599938	0.0201214655506	MAOA|UNC13B|PPFIA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-181430
SHC-mediated cascade:FGFR2	Reactome	R-HSA-5654699	3	17	0.00915549599938	0.0201214655506	FGF6|FGF3|FGF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654699
G2 Phase	Reactome	R-HSA-68911	2	5	0.00943810765598	0.0205369480098	CCNA2|E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68911
Alternative complement activation	Reactome	R-HSA-173736	2	5	0.00943810765598	0.0205369480098	C3|CFP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-173736
Diseases of Mismatch Repair (MMR)	Reactome	R-HSA-5423599	2	5	0.00943810765598	0.0205369480098	MSH2|MSH6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5423599
FGFR1b ligand binding and activation	Reactome	R-HSA-190370	2	5	0.00943810765598	0.0205369480098	FGF3|FGF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190370
Disinhibition of SNARE formation	Reactome	R-HSA-114516	2	5	0.00943810765598	0.0205369480098	PRKCA|PRKCB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114516
RUNX1 regulates expression of components of tight junctions	Reactome	R-HSA-8935964	2	5	0.00943810765598	0.0205369480098	TJP1|CLDN5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8935964
G2/M DNA replication checkpoint	Reactome	R-HSA-69478	2	5	0.00943810765598	0.0205369480098	CDK1|CCNB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69478
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation	Reactome	R-HSA-8869496	2	5	0.00943810765598	0.0205369480098	HSPD1|MYBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8869496
p38 MAPK pathway	PANTHER	P05918	4	34	0.00949603394396	0.0206186912137	MAPK14|MEF2C|RPS6KA4|MAPK12	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05918
ECM proteoglycans	Reactome	R-HSA-3000178	6	76	0.00949915785416	0.0206186912137	ITGAX|ITGB3|TNXB|COL4A6|COL4A3|COL6A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000178
Viral protein interaction with cytokine and cytokine receptor	KEGG PATHWAY	hsa04061	7	100	0.00954183537093	0.0206348065411	IL18|IL2RB|CCL13|IL18RAP|CSF1R|IL6|TNFRSF14	http://www.genome.jp/kegg-bin/show_pathway?hsa04061/hsa:3569%09red/hsa:8807%09red/hsa:1436%09red/hsa:8764%09red/hsa:3560%09red/hsa:3606%09red/hsa:6357%09red
TNFR2 non-canonical NF-kB pathway	Reactome	R-HSA-5668541	7	100	0.00954183537093	0.0206348065411	TNFSF11|PSMB10|PSMD4|PSMD6|RPN2|TNFRSF14|MAP3K14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5668541
Visual phototransduction	Reactome	R-HSA-2187338	7	100	0.00954183537093	0.0206348065411	LRP2|PRKCA|SDC4|GNAT1|GPC3|PRKCQ|AKR1C3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2187338
Degradation of AXIN	Reactome	R-HSA-4641257	5	54	0.00959418836155	0.0206970451632	TNKS|PSMD4|RPN2|PSMD6|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641257
Formation of TC-NER Pre-Incision Complex	Reactome	R-HSA-6781823	5	54	0.00959418836155	0.0206970451632	GPS1|MNAT1|ERCC3|POLR2K|POLR2J	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6781823
Cadherin signaling pathway	PANTHER	P00012	9	153	0.0099751900574	0.0214925567372	CDH11|SRC|FZD4|ERBB4|WNT2|FYN|TCF7L2|LYN|CDH3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00012
Signaling by TGF-beta family members	Reactome	R-HSA-9006936	7	101	0.0100149678838	0.0215518181422	CDKN2B|E2F5|CGN|PRKCZ|BMPR2|SKI|NCOR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006936
Stabilization of p53	Reactome	R-HSA-69541	5	55	0.0102813538672	0.0220979894625	PSMD4|RPN2|PSMD6|CHEK2|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69541
GABA-B receptor II signaling	PANTHER	P05731	4	35	0.0104007112576	0.0222999376903	GNAO1|GNG4|ADCY7|GNGT2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05731
Prion diseases	KEGG PATHWAY	hsa05020	4	35	0.0104007112576	0.0222999376903	IL6|MAP2K2|IL1B|FYN	http://www.genome.jp/kegg-bin/show_pathway?hsa05020/hsa:3569%09red/hsa:5605%09red/hsa:2534%09red/hsa:3553%09red
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	Reactome	R-HSA-190840	3	18	0.0105090851403	0.0224774098738	TUBA1B|TUBA1A|GJA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190840
G beta:gamma signalling through BTK	Reactome	R-HSA-8964315	3	18	0.0105090851403	0.0224774098738	GNG4|GNGT2|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8964315
Degradation of DVL	Reactome	R-HSA-4641258	5	56	0.011001468987	0.0234733651776	PSMD4|RPN2|PSMD6|HECW1|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641258
GABA receptor activation	Reactome	R-HSA-977443	5	56	0.011001468987	0.0234733651776	GABRB2|ADCY7|GNG4|KCNJ15|GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977443
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Reactome	R-HSA-8939236	8	129	0.0111261539027	0.0236818500038	RPN2|PSMB10|PSMD4|PSMD6|TP73|MNAT1|GATA2|YAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939236
Formation of the cornified envelope	Reactome	R-HSA-6809371	8	129	0.0111261539027	0.0236818500038	KRT10|DSC3|KRT16|KRT14|KRT5|KRT6A|KRT9|PI3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6809371
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	Reactome	R-HSA-6781827	6	79	0.0112315852765	0.0238773168832	GPS1|ERCC3|POLE2|MNAT1|POLR2K|POLR2J	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6781827
Calmodulin induced events	Reactome	R-HSA-111933	4	36	0.0113592886504	0.0240904720654	PRKCA|ADCY7|CAMK2A|PRKCD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111933
CaM pathway	Reactome	R-HSA-111997	4	36	0.0113592886504	0.0240904720654	PRKCA|ADCY7|CAMK2A|PRKCD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111997
Purine metabolism	KEGG PATHWAY	hsa00230	8	130	0.0115902761948	0.0245475711262	NPR2|GUCY2C|ADA|PDE3B|GUCY1A2|RRM2B|ADCY7|GUCY1B3	http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:2984%09red/hsa:5140%09red/hsa:2983%09red/hsa:50484%09red/hsa:2977%09red/hsa:100%09red/hsa:4882%09red/hsa:113%09red
Metabolism of RNA	Reactome	R-HSA-8953854	25	667	0.011602781341	0.0245475711262	RPN2|PNRC2|PSMB10|PSMD4|RPS18|MAPK14|TXNL4A|MNAT1|YWHAZ|RPS14|ERCC3|RPL22|CNOT7|GNL3|PSMD6|PRKCA|PRKCD|THOC1|BRF1|CRNKL1|POLR2K|POLR2J|NSUN2|NCL|YBX1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Reactome	R-HSA-2894862	5	57	0.0117552306093	0.0246621086618	PSEN1|HDAC2|NCOR2|KAT2A|MIB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894862
Signaling by NOTCH1 PEST Domain Mutants in Cancer	Reactome	R-HSA-2644602	5	57	0.0117552306093	0.0246621086618	PSEN1|HDAC2|NCOR2|KAT2A|MIB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644602
Metabolism of polyamines	Reactome	R-HSA-351202	5	57	0.0117552306093	0.0246621086618	NQO1|PSMD4|RPN2|PSMD6|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-351202
Constitutive Signaling by NOTCH1 PEST Domain Mutants	Reactome	R-HSA-2644606	5	57	0.0117552306093	0.0246621086618	PSEN1|HDAC2|NCOR2|KAT2A|MIB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644606
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Reactome	R-HSA-2894858	5	57	0.0117552306093	0.0246621086618	PSEN1|HDAC2|NCOR2|KAT2A|MIB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894858
Complement cascade	Reactome	R-HSA-166658	5	57	0.0117552306093	0.0246621086618	C3|C4BPA|SERPING1|CFP|C3AR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166658
Signaling by NOTCH1 in Cancer	Reactome	R-HSA-2644603	5	57	0.0117552306093	0.0246621086618	PSEN1|HDAC2|NCOR2|KAT2A|MIB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644603
Axon guidance mediated by semaphorins	PANTHER	P00007	3	19	0.0119723307506	0.0248797784592	FYN|RAC2|FES	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00007
RHO GTPases Activate ROCKs	Reactome	R-HSA-5627117	3	19	0.0119723307506	0.0248797784592	MYH10|LIMK1|MYL9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5627117
Signaling by Hippo	Reactome	R-HSA-2028269	3	19	0.0119723307506	0.0248797784592	TJP1|CASP3|YAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2028269
Transport of connexons to the plasma membrane	Reactome	R-HSA-190872	3	19	0.0119723307506	0.0248797784592	TUBA1B|TUBA1A|GJA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190872
Other semaphorin interactions	Reactome	R-HSA-416700	3	19	0.0119723307506	0.0248797784592	TYROBP|SEMA6A|TREM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416700
Signaling by FGFR2 IIIa TM	Reactome	R-HSA-8851708	3	19	0.0119723307506	0.0248797784592	FGF2|POLR2K|POLR2J	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8851708
FRS-mediated FGFR4 signaling	Reactome	R-HSA-5654712	3	19	0.0119723307506	0.0248797784592	FGF6|FGF2|FRS3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654712
Downstream signaling of activated FGFR3	Reactome	R-HSA-5654708	3	19	0.0119723307506	0.0248797784592	FRS3|FGF2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654708
NoRC negatively regulates rRNA expression	Reactome	R-HSA-427413	7	105	0.0120794133215	0.0250726356886	DNMT3B|HDAC2|ERCC3|SAP18|MNAT1|UBTF|POLR2K	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427413
Primary immunodeficiency	KEGG PATHWAY	hsa05340	4	37	0.0123728652677	0.0254110725794	IL7R|CD79A|BTK|ADA	http://www.genome.jp/kegg-bin/show_pathway?hsa05340/hsa:100%09red/hsa:695%09red/hsa:973%09red/hsa:3575%09red
RUNX1 regulates transcription of genes involved in BCR signaling	Reactome	R-HSA-8939245	2	6	0.0124016453306	0.0254110725794	PAX5|BLK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939245
Phosphorylation of Emi1	Reactome	R-HSA-176417	2	6	0.0124016453306	0.0254110725794	CDK1|CCNB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176417
STAT5 Activation	Reactome	R-HSA-9645135	2	6	0.0124016453306	0.0254110725794	STAT5A|GAB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9645135
Activated NTRK3 signals through PI3K	Reactome	R-HSA-9603381	2	6	0.0124016453306	0.0254110725794	SRC|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9603381
CLEC7A/inflammasome pathway	Reactome	R-HSA-5660668	2	6	0.0124016453306	0.0254110725794	NFKB1|IL1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5660668
TLR3-mediated TICAM1-dependent programmed cell death	Reactome	R-HSA-9013957	2	6	0.0124016453306	0.0254110725794	RIPK1|TLR3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013957
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	Reactome	R-HSA-8939246	2	6	0.0124016453306	0.0254110725794	LGALS3|PRKCB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939246
Activation of caspases through apoptosome-mediated cleavage	Reactome	R-HSA-111459	2	6	0.0124016453306	0.0254110725794	CASP3|CASP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111459
selenocysteine biosynthesis	BioCyc	PWY-6281	2	6	0.0124016453306	0.0254110725794	SARS2|SLA	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6281
GDP-mannose biosynthesis	BioCyc	PWY-5659	2	6	0.0124016453306	0.0254110725794	NLK|PMM1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-5659
Degradation of beta-catenin by the destruction complex	Reactome	R-HSA-195253	6	81	0.0125035308703	0.0255899769328	RPN2|PSMB10|PSMD4|PSMD6|TCF7L2|TLE2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195253
NIK-->noncanonical NF-kB signaling	Reactome	R-HSA-5676590	5	58	0.0125433183783	0.0256415216208	PSMD4|RPN2|PSMD6|MAP3K14|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5676590
TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	6	82	0.0131759595632	0.0269034709221	YWHAZ|DDIT4|AKT2|RRM2B|MTOR|NLK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5628897
Degradation of GLI1 by the proteasome	Reactome	R-HSA-5610780	5	59	0.0133663940255	0.0271974367424	PSMD4|RPN2|PSMD6|NUMB|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610780
Dectin-1 mediated noncanonical NF-kB signaling	Reactome	R-HSA-5607761	5	59	0.0133663940255	0.0271974367424	PSMD4|RPN2|PSMD6|MAP3K14|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5607761
NRAGE signals death through JNK	Reactome	R-HSA-193648	5	59	0.0133663940255	0.0271974367424	ARHGEF6|KALRN|ARHGEF12|FGD1|ECT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193648
Association of TriC/CCT with target proteins during biosynthesis	Reactome	R-HSA-390471	4	38	0.0134424808808	0.0272890132101	CCNE2|KIF13A|DCAF7|FBXW4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390471
Ca-dependent events	Reactome	R-HSA-111996	4	38	0.0134424808808	0.0272890132101	PRKCA|ADCY7|CAMK2A|PRKCD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111996
TICAM1, RIP1-mediated IKK complex recruitment 	Reactome	R-HSA-168927	3	20	0.0135465830875	0.0273737628327	RIPK1|TLR3|UBE2N	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168927
G beta:gamma signalling through CDC42	Reactome	R-HSA-8964616	3	20	0.0135465830875	0.0273737628327	ARHGEF6|GNG4|GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8964616
Inflammasomes	Reactome	R-HSA-622312	3	20	0.0135465830875	0.0273737628327	BCL2L1|NFKB1|TXNIP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-622312
Signal transduction by L1	Reactome	R-HSA-445144	3	20	0.0135465830875	0.0273737628327	MAP2K2|ITGB3|ITGA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445144
Negative epigenetic regulation of rRNA expression	Reactome	R-HSA-5250941	7	108	0.0138172900064	0.0278566719303	DNMT3B|HDAC2|ERCC3|SAP18|MNAT1|UBTF|POLR2K	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250941
Post-translational protein phosphorylation	Reactome	R-HSA-8957275	7	108	0.0138172900064	0.0278566719303	CYR61|SPARCL1|IL6|GPC3|C3|CST3|GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8957275
Defective CFTR causes cystic fibrosis	Reactome	R-HSA-5678895	5	60	0.0142251007419	0.028645959751	PSMD4|RPN2|PSMD6|CFTR|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5678895
GABA B receptor activation	Reactome	R-HSA-977444	4	39	0.0145691154289	0.0292715866055	GNG4|ADCY7|GNGT2|KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977444
Activation of GABAB receptors	Reactome	R-HSA-991365	4	39	0.0145691154289	0.0292715866055	GNG4|ADCY7|GNGT2|KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-991365
Hedgehog 'on' state	Reactome	R-HSA-5632684	6	84	0.0145959243936	0.029291935126	RPN2|PSMB10|PSMD4|PSMD6|ARRB2|NUMB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5632684
Late Phase of HIV Life Cycle	Reactome	R-HSA-162599	8	136	0.0146794745766	0.0294259787176	ERCC3|VPS37B|PDCD6IP|POLR2K|TAF15|MNAT1|PPIA|POLR2J	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162599
RNA Polymerase I Transcription	Reactome	R-HSA-73864	7	110	0.0150708693579	0.0301417387157	HDAC2|ERCC3|KAT2A|PTRF|MNAT1|UBTF|POLR2K	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73864
Mitotic Spindle Checkpoint	Reactome	R-HSA-69618	7	110	0.0150708693579	0.0301417387157	DYNLL1|NUF2|BIRC5|KIF18A|AURKB|CDCA8|DLC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69618
p53 pathway by glucose deprivation	PANTHER	P04397	3	21	0.0152329306009	0.0303276940307	AKT2|TP73|RPS6KB2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04397
Interleukin-37 signaling	Reactome	R-HSA-9008059	3	21	0.0152329306009	0.0303276940307	PTPN13|PTPN6|PTPN5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9008059
Nitric oxide stimulates guanylate cyclase	Reactome	R-HSA-392154	3	21	0.0152329306009	0.0303276940307	NOS2|GUCY1A2|GUCY1B3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392154
PCNA-Dependent Long Patch Base Excision Repair	Reactome	R-HSA-5651801	3	21	0.0152329306009	0.0303276940307	APEX1|FEN1|POLE2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5651801
Activation of NIMA Kinases NEK9, NEK6, NEK7	Reactome	R-HSA-2980767	2	7	0.0157141703196	0.0310394635334	CDK1|CCNB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980767
DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	Reactome	R-HSA-3134963	2	7	0.0157141703196	0.0310394635334	NFKB1|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134963
Erythropoietin activates Phospholipase C gamma (PLCG)	Reactome	R-HSA-9027277	2	7	0.0157141703196	0.0310394635334	LYN|JAK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027277
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 	Reactome	R-HSA-111464	2	7	0.0157141703196	0.0310394635334	CASP3|CASP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111464
SMAC (DIABLO) binds to IAPs 	Reactome	R-HSA-111463	2	7	0.0157141703196	0.0310394635334	CASP3|CASP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111463
IkBA variant leads to EDA-ID	Reactome	R-HSA-5603029	2	7	0.0157141703196	0.0310394635334	NFKB1|NFKBIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603029
SMAC, XIAP-regulated apoptotic response	Reactome	R-HSA-111469	2	7	0.0157141703196	0.0310394635334	CASP3|CASP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111469
MET promotes cell motility	Reactome	R-HSA-8875878	4	40	0.015753688713	0.0310476738272	SRC|ITGA3|RAPGEF1|CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875878
Graft-versus-host disease	KEGG PATHWAY	hsa05332	4	41	0.0169970602325	0.0333428850141	IL6|IL1B|GZMB|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa05332/hsa:3569%09red/hsa:3553%09red/hsa:3002%09red/hsa:942%09red
Basal cell carcinoma	KEGG PATHWAY	hsa05217	5	63	0.017021149063	0.0333428850141	WNT2|GADD45B|FZD4|CDKN1A|TCF7L2	http://www.genome.jp/kegg-bin/show_pathway?hsa05217/hsa:6934%09red/hsa:1026%09red/hsa:7472%09red/hsa:4616%09red/hsa:8322%09red
Arachidonic acid metabolism	KEGG PATHWAY	hsa00590	5	63	0.017021149063	0.0333428850141	PTGDS|GGT1|HPGDS|GPX7|AKR1C3	http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:2678%09red/hsa:5730%09red/hsa:8644%09red/hsa:27306%09red/hsa:2882%09red
@@Arachidonic acid metabolism	Reactome	R-HSA-2142753	4	59	0.0500583385461	0.0807926861093	PTGDS|GGT1|HPGDS|AKR1C3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142753
Asymmetric localization of PCP proteins	Reactome	R-HSA-4608870	5	63	0.017021149063	0.0333428850141	PSMD4|RPN2|PSMD6|FZD4|PSMB10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4608870
NOTCH2 Activation and Transmission of Signal to the Nucleus	Reactome	R-HSA-2979096	3	22	0.0170322140419	0.0333428850141	MDK|PSEN1|MIB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2979096
