From	To	Species	Gene Name
406988	mir205	Homo sapiens	microRNA 205(MIR205)
23287	AGTPBP1	Homo sapiens	ATP/GTP binding protein 1(AGTPBP1)
23288	IQCE	Homo sapiens	IQ motif containing E(IQCE)
471	ATIC	Homo sapiens	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)
84206	MEX3B	Homo sapiens	mex-3 RNA binding family member B(MEX3B)
475	ATOX1	Homo sapiens	antioxidant 1 copper chaperone(ATOX1)
477	ATP1A2	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)
23284	ADGRL3	Homo sapiens	adhesion G protein-coupled receptor L3(ADGRL3)
152579	SCFD2	Homo sapiens	sec1 family domain containing 2(SCFD2)
151246	SGO2	Homo sapiens	shugoshin 2(SGO2)
7436	VLDLR	Homo sapiens	very low density lipoprotein receptor(VLDLR)
7439	BEST1	Homo sapiens	bestrophin 1(BEST1)
8767	RIPK2	Homo sapiens	receptor interacting serine/threonine kinase 2(RIPK2)
151242	PPP1R1C	Homo sapiens	protein phosphatase 1 regulatory inhibitor subunit 1C(PPP1R1C)
6120	RPE	Homo sapiens	ribulose-5-phosphate-3-epimerase(RPE)
126282	TNFAIP8L1	Homo sapiens	TNF alpha induced protein 8 like 1(TNFAIP8L1)
7450	VWF	Homo sapiens	von Willebrand factor(VWF)
8784	TNFRSF18	Homo sapiens	TNF receptor superfamily member 18(TNFRSF18)
7453	WARS	Homo sapiens	tryptophanyl-tRNA synthetase(WARS)
8787	RGS9	Homo sapiens	regulator of G-protein signaling 9(RGS9)
7454	WAS	Homo sapiens	Wiskott-Aldrich syndrome(WAS)
8788	DLK1	Homo sapiens	delta like non-canonical Notch ligand 1(DLK1)
8785	MATN4	Homo sapiens	matrilin 4(MATN4)
7456	WIPF1	Homo sapiens	WAS/WASL interacting protein family member 1(WIPF1)
8786	RGS11	Homo sapiens	regulator of G-protein signaling 11(RGS11)
23299	BICD2	Homo sapiens	BICD cargo adaptor 2(BICD2)
254263	CNIH2	Homo sapiens	cornichon family AMPA receptor auxiliary protein 2(CNIH2)
481	ATP1B1	Homo sapiens	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
482	ATP1B2	Homo sapiens	ATPase Na+/K+ transporting subunit beta 2(ATP1B2)
23293	SMG6	Homo sapiens	SMG6, nonsense mediated mRNA decay factor(SMG6)
23294	ANKS1A	Homo sapiens	ankyrin repeat and sterile alpha motif domain containing 1A(ANKS1A)
23295	MGRN1	Homo sapiens	mahogunin ring finger 1(MGRN1)
6119	RPA3	Homo sapiens	replication protein A3(RPA3)
8778	SIGLEC5	Homo sapiens	sialic acid binding Ig like lectin 5(SIGLEC5)
6118	RPA2	Homo sapiens	replication protein A2(RPA2)
7462	LAT2	Homo sapiens	linker for activation of T-cells family member 2(LAT2)
7461	CLIP2	Homo sapiens	CAP-Gly domain containing linker protein 2(CLIP2)
7464	CORO2A	Homo sapiens	coronin 2A(CORO2A)
8792	TNFRSF11A	Homo sapiens	TNF receptor superfamily member 11a(TNFRSF11A)
11281	pou6f2	Homo sapiens	POU class 6 homeobox 2(POU6F2)
6132	RPL8	Homo sapiens	ribosomal protein L8(RPL8)
8793	TNFRSF10D	Homo sapiens	TNF receptor superfamily member 10d(TNFRSF10D)
7466	WFS1	Homo sapiens	wolframin ER transmembrane glycoprotein(WFS1)
8799	PEX11B	Homo sapiens	peroxisomal biogenesis factor 11 beta(PEX11B)
11282	MGAT4B	Homo sapiens	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B(MGAT4B)
7468	whsc1	Homo sapiens	Wolf-Hirschhorn syndrome candidate 1(WHSC1)
8796	scel	Homo sapiens	sciellin(SCEL)
11285	B4GALT7	Homo sapiens	beta-1,4-galactosyltransferase 7(B4GALT7)
6136	RPL12	Homo sapiens	ribosomal protein L12(RPL12)
11284	PNKP	Homo sapiens	polynucleotide kinase 3'-phosphatase(PNKP)
490	ATP2B1	Homo sapiens	ATPase plasma membrane Ca2+ transporting 1(ATP2B1)
23268	dnmbp	Homo sapiens	dynamin binding protein(DNMBP)
23269	MGA	Homo sapiens	MGA, MAX dimerization protein(MGA)
493	ATP2B4	Homo sapiens	ATPase plasma membrane Ca2+ transporting 4(ATP2B4)
126272	EID2B	Homo sapiens	EP300 interacting inhibitor of differentiation 2B(EID2B)
254225	RNF169	Homo sapiens	ring finger protein 169(RNF169)
84225	ZMYND15	Homo sapiens	zinc finger MYND-type containing 15(ZMYND15)
59269	HIVEP3	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 3(HIVEP3)
6141	RPL18	Homo sapiens	ribosomal protein L18(RPL18)
7472	WNT2	Homo sapiens	Wnt family member 2(WNT2)
7474	WNT5A	Homo sapiens	Wnt family member 5A(WNT5A)
6146	RPL22	Homo sapiens	ribosomal protein L22(RPL22)
7477	WNT7B	Homo sapiens	Wnt family member 7B(WNT7B)
7476	WNT7A	Homo sapiens	Wnt family member 7A(WNT7A)
23277	CLUH	Homo sapiens	clustered mitochondria homolog(CLUH)
59277	NTN4	Homo sapiens	netrin 4(NTN4)
59272	ACE2	Homo sapiens	angiotensin I converting enzyme 2(ACE2)
84219	WDR24	Homo sapiens	WD repeat domain 24(WDR24)
23271	CAMSAP2	Homo sapiens	calmodulin regulated spectrin associated protein family member 2(CAMSAP2)
23272	FAM208A	Homo sapiens	family with sequence similarity 208 member A(FAM208A)
84216	TMEM117	Homo sapiens	transmembrane protein 117(TMEM117)
23274	CLEC16A	Homo sapiens	C-type lectin domain family 16 member A(CLEC16A)
84215	znf541	Homo sapiens	zinc finger protein 541(ZNF541)
7483	WNT9A	Homo sapiens	Wnt family member 9A(WNT9A)
11261	CHP1	Homo sapiens	calcineurin like EF-hand protein 1(CHP1)
11260	XPOT	Homo sapiens	exportin for tRNA(XPOT)
23243	ANKRD28	Homo sapiens	ankyrin repeat domain 28(ANKRD28)
23244	PDS5A	Homo sapiens	PDS5 cohesin associated factor A(PDS5A)
23245	ASTN2	Homo sapiens	astrotactin 2(ASTN2)
7480	WNT10B	Homo sapiens	Wnt family member 10B(WNT10B)
23248	RPRD2	Homo sapiens	regulation of nuclear pre-mRNA domain containing 2(RPRD2)
7482	WNT2B	Homo sapiens	Wnt family member 2B(WNT2B)
59285	cacng6	Homo sapiens	calcium voltage-gated channel auxiliary subunit gamma 6(CACNG6)
6150	MRPL23	Homo sapiens	mitochondrial ribosomal protein L23(MRPL23)
23242	COBL	Homo sapiens	cordon-bleu WH2 repeat protein(COBL)
84245	mri1	Homo sapiens	methylthioribose-1-phosphate isomerase 1(MRI1)
11267	SNF8	Homo sapiens	SNF8, ESCRT-II complex subunit(SNF8)
11266	DUSP12	Homo sapiens	dual specificity phosphatase 12(DUSP12)
11269	DDX19B	Homo sapiens	DEAD-box helicase 19B(DDX19B)
7494	XBP1	Homo sapiens	X-box binding protein 1(XBP1)
6167	RPL37	Homo sapiens	ribosomal protein L37(RPL37)
7498	XDH	Homo sapiens	xanthine dehydrogenase(XDH)
11274	USP18	Homo sapiens	ubiquitin specific peptidase 18(USP18)
23254	KAZN	Homo sapiens	kazrin, periplakin interacting protein(KAZN)
23256	SCFD1	Homo sapiens	sec1 family domain containing 1(SCFD1)
23258	DENND5A	Homo sapiens	DENN domain containing 5A(DENND5A)
23259	DDHD2	Homo sapiens	DDHD domain containing 2(DDHD2)
6161	RPL32	Homo sapiens	ribosomal protein L32(RPL32)
23251	KIAA1024	Homo sapiens	KIAA1024(KIAA1024)
11276	SYNRG	Homo sapiens	synergin gamma(SYNRG)
84231	TRAF7	Homo sapiens	TNF receptor associated factor 7(TRAF7)
6175	RPLP0	Homo sapiens	ribosomal protein lateral stalk subunit P0(RPLP0)
23229	ARHGEF9	Homo sapiens	Cdc42 guanine nucleotide exchange factor 9(ARHGEF9)
49856	WRAP73	Homo sapiens	WD repeat containing, antisense to TP73(WRAP73)
49854	ZBTB21	Homo sapiens	zinc finger and BTB domain containing 21(ZBTB21)
11240	PADI2	Homo sapiens	peptidyl arginine deiminase 2(PADI2)
23221	RHOBTB2	Homo sapiens	Rho related BTB domain containing 2(RHOBTB2)
23225	NUP210	Homo sapiens	nucleoporin 210(NUP210)
6170	RPL39	Homo sapiens	ribosomal protein L39(RPL39)
6173	RPL36A	Homo sapiens	ribosomal protein L36a(RPL36A)
23228	PLCL2	Homo sapiens	phospholipase C like 2(PLCL2)
55700	MAP7D1	Homo sapiens	MAP7 domain containing 1(MAP7D1)
84268	RPAIN	Homo sapiens	RPA interacting protein(RPAIN)
11243	PMF1	Homo sapiens	polyamine modulated factor 1(PMF1)
140578	CHODL	Homo sapiens	chondrolectin(CHODL)
55702	CCDC94	Homo sapiens	coiled-coil domain containing 94(CCDC94)
11244	ZHX1	Homo sapiens	zinc fingers and homeoboxes 1(ZHX1)
84261	FBXW9	Homo sapiens	F-box and WD repeat domain containing 9(FBXW9)
11247	NXPH4	Homo sapiens	neurexophilin 4(NXPH4)
55706	NDC1	Homo sapiens	NDC1 transmembrane nucleoporin(NDC1)
84262	PSMG3	Homo sapiens	proteasome assembly chaperone 3(PSMG3)
122704	mrpl52	Homo sapiens	mitochondrial ribosomal protein L52(MRPL52)
11248	NXPH3	Homo sapiens	neurexophilin 3(NXPH3)
6185	RPN2	Homo sapiens	ribophorin II(RPN2)
25895	METTL21B	Homo sapiens	methyltransferase like 21B(METTL21B)
23233	EXOC6B	Homo sapiens	exocyst complex component 6B(EXOC6B)
23235	SIK2	Homo sapiens	salt inducible kinase 2(SIK2)
6182	MRPL12	Homo sapiens	mitochondrial ribosomal protein L12(MRPL12)
23237	ARC	Homo sapiens	activity regulated cytoskeleton associated protein(ARC)
6184	RPN1	Homo sapiens	ribophorin I(RPN1)
6183	MRPS12	Homo sapiens	mitochondrial ribosomal protein S12(MRPS12)
23239	PHLPP1	Homo sapiens	PH domain and leucine rich repeat protein phosphatase 1(PHLPP1)
3903	LAIR1	Homo sapiens	leukocyte associated immunoglobulin like receptor 1(LAIR1)
3904	LAIR2	Homo sapiens	leukocyte associated immunoglobulin like receptor 2(LAIR2)
84258	syt3	Homo sapiens	synaptotagmin 3(SYT3)
55711	FAR2	Homo sapiens	fatty acyl-CoA reductase 2(FAR2)
3908	LAMA2	Homo sapiens	laminin subunit alpha 2(LAMA2)
25893	TRIM58	Homo sapiens	tripartite motif containing 58(TRIM58)
84259	DCUN1D5	Homo sapiens	defective in cullin neddylation 1 domain containing 5(DCUN1D5)
3909	LAMA3	Homo sapiens	laminin subunit alpha 3(LAMA3)
84254	CAMKK1	Homo sapiens	calcium/calmodulin dependent protein kinase kinase 1(CAMKK1)
11254	SLC6A14	Homo sapiens	solute carrier family 6 member 14(SLC6A14)
84253	GARNL3	Homo sapiens	GTPase activating Rap/RanGAP domain like 3(GARNL3)
11253	MAN1B1	Homo sapiens	mannosidase alpha class 1B member 1(MAN1B1)
11258	DCTN3	Homo sapiens	dynactin subunit 3(DCTN3)
84251	SGIP1	Homo sapiens	SH3 domain GRB2 like endophilin interacting protein 1(SGIP1)
6196	RPS6KA2	Homo sapiens	ribosomal protein S6 kinase A2(RPS6KA2)
6199	RPS6KB2	Homo sapiens	ribosomal protein S6 kinase B2(RPS6KB2)
3913	LAMB2	Homo sapiens	laminin subunit beta 2(LAMB2)
120103	SLC36A4	Homo sapiens	solute carrier family 36 member 4(SLC36A4)
390916	NUDT19	Homo sapiens	nudix hydrolase 19(NUDT19)
65082	VPS33A	Homo sapiens	VPS33A, CORVET/HOPS core subunit(VPS33A)
122769	LRR1	Homo sapiens	leucine rich repeat protein 1(LRR1)
65083	NOL6	Homo sapiens	nucleolar protein 6(NOL6)
3912	LAMB1	Homo sapiens	laminin subunit beta 1(LAMB1)
3925	STMN1	Homo sapiens	stathmin 1(STMN1)
3927	LASP1	Homo sapiens	LIM and SH3 protein 1(LASP1)
390927	ZNF793	Homo sapiens	zinc finger protein 793(ZNF793)
3920	LAMP2	Homo sapiens	lysosomal associated membrane protein 2(LAMP2)
65095	KRI1	Homo sapiens	KRI1 homolog(KRI1)
65094	JMJD4	Homo sapiens	jumonji domain containing 4(JMJD4)
158747	MOSPD2	Homo sapiens	motile sperm domain containing 2(MOSPD2)
90060	CCDC120	Homo sapiens	coiled-coil domain containing 120(CCDC120)
146754	DNAH2	Homo sapiens	dynein axonemal heavy chain 2(DNAH2)
3936	LCP1	Homo sapiens	lymphocyte cytosolic protein 1(LCP1)
3937	LCP2	Homo sapiens	lymphocyte cytosolic protein 2(LCP2)
3938	LCT	Homo sapiens	lactase(LCT)
3939	LDHA	Homo sapiens	lactate dehydrogenase A(LDHA)
3930	LBR	Homo sapiens	lamin B receptor(LBR)
50855	PARD6A	Homo sapiens	par-6 family cell polarity regulator alpha(PARD6A)
3931	LCAT	Homo sapiens	lecithin-cholesterol acyltransferase(LCAT)
50856	CLEC4A	Homo sapiens	C-type lectin domain family 4 member A(CLEC4A)
3934	LCN2	Homo sapiens	lipocalin 2(LCN2)
50859	SPOCK3	Homo sapiens	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3(SPOCK3)
3948	ldhc	Homo sapiens	lactate dehydrogenase C(LDHC)
144100	PLEKHA7	Homo sapiens	pleckstrin homology domain containing A7(PLEKHA7)
3949	LDLR	Homo sapiens	low density lipoprotein receptor(LDLR)
50861	STMN3	Homo sapiens	stathmin 3(STMN3)
2619	GAS1	Homo sapiens	growth arrest specific 1(GAS1)
2618	GART	Homo sapiens	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase(GART)
50865	HEBP1	Homo sapiens	heme binding protein 1(HEBP1)
2617	GARS	Homo sapiens	glycyl-tRNA synthetase(GARS)
2615	LRRC32	Homo sapiens	leucine rich repeat containing 32(LRRC32)
2624	GATA2	Homo sapiens	GATA binding protein 2(GATA2)
3959	LGALS3BP	Homo sapiens	galectin 3 binding protein(LGALS3BP)
2621	GAS6	Homo sapiens	growth arrest specific 6(GAS6)
199223	ttc21a	Homo sapiens	tetratricopeptide repeat domain 21A(TTC21A)
3952	LEP	Homo sapiens	leptin(LEP)
3953	LEPR	Homo sapiens	leptin receptor(LEPR)
3954	LETM1	Homo sapiens	leucine zipper and EF-hand containing transmembrane protein 1(LETM1)
2627	GATA6	Homo sapiens	GATA binding protein 6(GATA6)
3955	LFNG	Homo sapiens	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(LFNG)
90075	ZNF30	Homo sapiens	zinc finger protein 30(ZNF30)
134728	IRAK1BP1	Homo sapiens	interleukin 1 receptor associated kinase 1 binding protein 1(IRAK1BP1)
1305	COL13A1	Homo sapiens	collagen type XIII alpha 1 chain(COL13A1)
2636	GBX1	Homo sapiens	gastrulation brain homeobox 1(GBX1)
2634	GBP2	Homo sapiens	guanylate binding protein 2(GBP2)
1302	COL11A2	Homo sapiens	collagen type XI alpha 2 chain(COL11A2)
2633	gbp1	Homo sapiens	guanylate binding protein 1(GBP1)
1301	COL11A1	Homo sapiens	collagen type XI alpha 1 chain(COL11A1)
1300	COL10A1	Homo sapiens	collagen type X alpha 1 chain(COL10A1)
2631	GBAS	Homo sapiens	glioblastoma amplified sequence(GBAS)
3960	LGALS4	Homo sapiens	galectin 4(LGALS4)
1308	COL17A1	Homo sapiens	collagen type XVII alpha 1 chain(COL17A1)
2639	GCDH	Homo sapiens	glutaryl-CoA dehydrogenase(GCDH)
3965	lgals9	Homo sapiens	galectin 9(LGALS9)
1307	COL16A1	Homo sapiens	collagen type XVI alpha 1 chain(COL16A1)
1306	COL15A1	Homo sapiens	collagen type XV alpha 1 chain(COL15A1)
3980	LIG3	Homo sapiens	DNA ligase 3(LIG3)
3981	LIG4	Homo sapiens	DNA ligase 4(LIG4)
2650	GCNT1	Homo sapiens	glucosaminyl (N-acetyl) transferase 1, core 2(GCNT1)
1316	KLF6	Homo sapiens	Kruppel like factor 6(KLF6)
1315	COPB1	Homo sapiens	coatomer protein complex subunit beta 1(COPB1)
2646	GCKR	Homo sapiens	glucokinase regulator(GCKR)
2643	GCH1	Homo sapiens	GTP cyclohydrolase 1(GCH1)
1311	COMP	Homo sapiens	cartilage oligomeric matrix protein(COMP)
646627	LYPD8	Homo sapiens	LY6/PLAUR domain containing 8(LYPD8)
3975	LHX1	Homo sapiens	LIM homeobox 1(LHX1)
1318	SLC31A2	Homo sapiens	solute carrier family 31 member 2(SLC31A2)
3977	LIFR	Homo sapiens	leukemia inhibitory factor receptor alpha(LIFR)
1317	SLC31A1	Homo sapiens	solute carrier family 31 member 1(SLC31A1)
2648	KAT2A	Homo sapiens	lysine acetyltransferase 2A(KAT2A)
3978	LIG1	Homo sapiens	DNA ligase 1(LIG1)
375323	LHFPL4	Homo sapiens	lipoma HMGIC fusion partner-like 4(LHFPL4)
3990	LIPC	Homo sapiens	lipase C, hepatic type(LIPC)
133418	EMB	Homo sapiens	embigin(EMB)
1327	Cox4I1	Homo sapiens	cytochrome c oxidase subunit 4I1(COX4I1)
1326	MAP3K8	Homo sapiens	mitogen-activated protein kinase kinase kinase 8(MAP3K8)
120114	FAT3	Homo sapiens	FAT atypical cadherin 3(FAT3)
1325	CORT	Homo sapiens	cortistatin(CORT)
146722	CD300LF	Homo sapiens	CD300 molecule like family member f(CD300LF)
406902	mir10a	Homo sapiens	microRNA 10a(MIR10A)
3983	ABLIM1	Homo sapiens	actin binding LIM protein 1(ABLIM1)
3984	LIMK1	Homo sapiens	LIM domain kinase 1(LIMK1)
3985	LIMK2	Homo sapiens	LIM domain kinase 2(LIMK2)
1329	Cox5b	Homo sapiens	cytochrome c oxidase subunit 5B(COX5B)
65243	ZFP69B	Homo sapiens	ZFP69 zinc finger protein B(ZFP69B)
1340	Cox6b1	Homo sapiens	cytochrome c oxidase subunit 6B1(COX6B1)
2671	GFER	Homo sapiens	growth factor, augmenter of liver regeneration(GFER)
2670	GFAP	Homo sapiens	glial fibrillary acidic protein(GFAP)
79890	rin3	Homo sapiens	Ras and Rab interactor 3(RIN3)
79892	MCMBP	Homo sapiens	minichromosome maintenance complex binding protein(MCMBP)
120071	LARGE2	Homo sapiens	LARGE xylosyl- and glucuronyltransferase 2(LARGE2)
79891	ZNF671	Homo sapiens	zinc finger protein 671(ZNF671)
54596	L1TD1	Homo sapiens	LINE1 type transposase domain containing 1(L1TD1)
79894	ZNF672	Homo sapiens	zinc finger protein 672(ZNF672)
1337	Cox6a1	Homo sapiens	cytochrome c oxidase subunit 6A1(COX6A1)
2668	GDNF	Homo sapiens	glial cell derived neurotrophic factor(GDNF)
2662	GDF10	Homo sapiens	growth differentiation factor 10(GDF10)
79899	PRR5L	Homo sapiens	proline rich 5 like(PRR5L)
3993	LLGL2	Homo sapiens	LLGL2, scribble cell polarity complex component(LLGL2)
3995	FADS3	Homo sapiens	fatty acid desaturase 3(FADS3)
92856	IMP4	Homo sapiens	IMP4 homolog, U3 small nucleolar ribonucleoprotein(IMP4)
133396	IL31RA	Homo sapiens	interleukin 31 receptor A(IL31RA)
3996	LLGL1	Homo sapiens	LLGL1, scribble cell polarity complex component(LLGL1)
1339	COX6A2	Homo sapiens	cytochrome c oxidase subunit 6A2(COX6A2)
65258	MPPE1	Homo sapiens	metallophosphoesterase 1(MPPE1)
1352	COX10	Homo sapiens	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor(COX10)
2683	B4GALT1	Homo sapiens	beta-1,4-galactosyltransferase 1(B4GALT1)
1351	COX8A	Homo sapiens	cytochrome c oxidase subunit 8A(COX8A)
1350	COX7C	Homo sapiens	cytochrome c oxidase subunit 7C(COX7C)
2681	GGTA1P	Homo sapiens	glycoprotein, alpha-galactosyltransferase 1 pseudogene(GGTA1P)
1346	Cox7a1	Homo sapiens	cytochrome c oxidase subunit 7A1(COX7A1)
2677	GGCX	Homo sapiens	gamma-glutamyl carboxylase(GGCX)
145376	PPP1R36	Homo sapiens	protein phosphatase 1 regulatory subunit 36(PPP1R36)
1345	COX6C	Homo sapiens	cytochrome c oxidase subunit 6C(COX6C)
2676	GFRA3	Homo sapiens	GDNF family receptor alpha 3(GFRA3)
79887	PLBD1	Homo sapiens	phospholipase B domain containing 1(PLBD1)
2675	GFRA2	Homo sapiens	GDNF family receptor alpha 2(GFRA2)
2674	GFRA1	Homo sapiens	GDNF family receptor alpha 1(GFRA1)
2673	GFPT1	Homo sapiens	glutamine--fructose-6-phosphate transaminase 1(GFPT1)
219927	MRPL21	Homo sapiens	mitochondrial ribosomal protein L21(MRPL21)
65251	ZNF649	Homo sapiens	zinc finger protein 649(ZNF649)
65250	c5orf42	Homo sapiens	chromosome 5 open reading frame 42(C5orf42)
65263	PYCRL	Homo sapiens	pyrroline-5-carboxylate reductase-like(PYCRL)
65266	WNK4	Homo sapiens	WNK lysine deficient protein kinase 4(WNK4)
65268	WNK2	Homo sapiens	WNK lysine deficient protein kinase 2(WNK2)
65267	WNK3	Homo sapiens	WNK lysine deficient protein kinase 3(WNK3)
90226	ucn2	Homo sapiens	urocortin 2(UCN2)
1362	CPD	Homo sapiens	carboxypeptidase D(CPD)
1361	cpb2	Homo sapiens	carboxypeptidase B2(CPB2)
2690	GHR	Homo sapiens	growth hormone receptor(GHR)
1359	CPA3	Homo sapiens	carboxypeptidase A3(CPA3)
145389	SLC38A6	Homo sapiens	solute carrier family 38 member 6(SLC38A6)
2689	gh2	Homo sapiens	growth hormone 2(GH2)
1356	CP	Homo sapiens	ceruloplasmin(CP)
2687	GGT5	Homo sapiens	gamma-glutamyltransferase 5(GGT5)
2686	GGT7	Homo sapiens	gamma-glutamyltransferase 7(GGT7)
91543	RSAD2	Homo sapiens	radical S-adenosyl methionine domain containing 2(RSAD2)
1373	CPS1	Homo sapiens	carbamoyl-phosphate synthase 1(CPS1)
1371	CPOX	Homo sapiens	coproporphyrinogen oxidase(CPOX)
1368	CPM	Homo sapiens	carboxypeptidase M(CPM)
1366	CLDN7	Homo sapiens	claudin 7(CLDN7)
2697	GJA1	Homo sapiens	gap junction protein alpha 1(GJA1)
1365	CLDN3	Homo sapiens	claudin 3(CLDN3)
2696	GIPR	Homo sapiens	gastric inhibitory polypeptide receptor(GIPR)
1364	CLDN4	Homo sapiens	claudin 4(CLDN4)
220929	ZNF438	Homo sapiens	zinc finger protein 438(ZNF438)
157313	CDCA2	Homo sapiens	cell division cycle associated 2(CDCA2)
1384	CRAT	Homo sapiens	carnitine O-acetyltransferase(CRAT)
1382	CRABP2	Homo sapiens	cellular retinoic acid binding protein 2(CRABP2)
116844	LRG1	Homo sapiens	leucine rich alpha-2-glycoprotein 1(LRG1)
1381	CRABP1	Homo sapiens	cellular retinoic acid binding protein 1(CRABP1)
1380	CR2	Homo sapiens	complement C3d receptor 2(CR2)
1376	cpt2	Homo sapiens	carnitine palmitoyltransferase 2(CPT2)
90233	ZNF551	Homo sapiens	zinc finger protein 551(ZNF551)
159963	SLC5A12	Homo sapiens	solute carrier family 5 member 12(SLC5A12)
219972	MPEG1	Homo sapiens	macrophage expressed 1(MPEG1)
219970	GLYATL2	Homo sapiens	glycine-N-acyltransferase like 2(GLYATL2)
1396	CRIP1	Homo sapiens	cysteine rich protein 1(CRIP1)
116832	RPL39L	Homo sapiens	ribosomal protein L39 like(RPL39L)
1393	CRHBP	Homo sapiens	corticotropin releasing hormone binding protein(CRHBP)
1390	CREM	Homo sapiens	cAMP responsive element modulator(CREM)
259197	NCR3	Homo sapiens	natural cytotoxicity triggering receptor 3(NCR3)
1389	CREBL2	Homo sapiens	cAMP responsive element binding protein like 2(CREBL2)
1388	ATF6B	Homo sapiens	activating transcription factor 6 beta(ATF6B)
1387	CREBBP	Homo sapiens	CREB binding protein(CREBBP)
116840	CNTROB	Homo sapiens	centrobin, centriole duplication and spindle assembly protein(CNTROB)
170302	ARX	Homo sapiens	aristaless related homeobox(ARX)
28231	SLCO4A1	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
28232	SLCO3A1	Homo sapiens	solute carrier organic anion transporter family member 3A1(SLCO3A1)
284119	PTRF	Homo sapiens	polymerase I and transcript release factor(PTRF)
1398	CRK	Homo sapiens	CRK proto-oncogene, adaptor protein(CRK)
399473	SPRED3	Homo sapiens	sprouty related EVH1 domain containing 3(SPRED3)
284114	TMEM102	Homo sapiens	transmembrane protein 102(TMEM102)
259173	ALS2CL	Homo sapiens	ALS2 C-terminal like(ALS2CL)
286753	TUSC5	Homo sapiens	tumor suppressor candidate 5(TUSC5)
146691	TOM1L2	Homo sapiens	target of myb1 like 2 membrane trafficking protein(TOM1L2)
220963	SLC16A9	Homo sapiens	solute carrier family 16 member 9(SLC16A9)
440193	CCDC88C	Homo sapiens	coiled-coil domain containing 88C(CCDC88C)
501	ALDH7A1	Homo sapiens	aldehyde dehydrogenase 7 family member A1(ALDH7A1)
284106	CISD3	Homo sapiens	CDGSH iron sulfur domain 3(CISD3)
90249	UNC5A	Homo sapiens	unc-5 netrin receptor A(UNC5A)
509	ATP5C1	Homo sapiens	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1(ATP5C1)
284184	ndufaf8	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 8(NDUFAF8)
10130	PDIA6	Homo sapiens	protein disulfide isomerase family A member 6(PDIA6)
220992	ZNF485	Homo sapiens	zinc finger protein 485(ZNF485)
23446	SLC44A1	Homo sapiens	solute carrier family 44 member 1(SLC44A1)
8808	IL1RL2	Homo sapiens	interleukin 1 receptor like 2(IL1RL2)
8809	IL18R1	Homo sapiens	interleukin 18 receptor 1(IL18R1)
54512	EXOSC4	Homo sapiens	exosome component 4(EXOSC4)
79810	PTCD2	Homo sapiens	pentatricopeptide repeat domain 2(PTCD2)
54511	HMGCLL1	Homo sapiens	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1(HMGCLL1)
54510	PCDH18	Homo sapiens	protocadherin 18(PCDH18)
55841	WWC3	Homo sapiens	WWC family member 3(WWC3)
79812	MMRN2	Homo sapiens	multimerin 2(MMRN2)
79811	SLTM	Homo sapiens	SAFB like transcription modulator(SLTM)
8802	SUCLG1	Homo sapiens	succinate-CoA ligase alpha subunit(SUCLG1)
79814	AGMAT	Homo sapiens	agmatinase(AGMAT)
10131	TRAP1	Homo sapiens	TNF receptor associated protein 1(TRAP1)
128866	CHMP4B	Homo sapiens	charged multivesicular body protein 4B(CHMP4B)
516	ATP5G1	Homo sapiens	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9)(ATP5G1)
10134	BCAP31	Homo sapiens	B-cell receptor-associated protein 31(BCAP31)
55844	PPP2R2D	Homo sapiens	protein phosphatase 2 regulatory subunit Bdelta(PPP2R2D)
10133	OPTN	Homo sapiens	optineurin(OPTN)
518	ATP5G3	Homo sapiens	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)(ATP5G3)
128869	PIGU	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class U(PIGU)
79818	ZNF552	Homo sapiens	zinc finger protein 552(ZNF552)
400916	CHCHD10	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 10(CHCHD10)
8807	IL18RAP	Homo sapiens	interleukin 18 receptor accessory protein(IL18RAP)
10135	NAMPT	Homo sapiens	nicotinamide phosphoribosyltransferase(NAMPT)
256949	KANK3	Homo sapiens	KN motif and ankyrin repeat domains 3(KANK3)
79817	MOB3B	Homo sapiens	MOB kinase activator 3B(MOB3B)
54517	PUS7	Homo sapiens	pseudouridylate synthase 7 (putative)(PUS7)
55848	PLGRKT	Homo sapiens	plasminogen receptor with a C-terminal lysine(PLGRKT)
8805	TRIM24	Homo sapiens	tripartite motif containing 24(TRIM24)
