##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	Reactome	R-HSA-9634638	4	24	0.00450013681583	0.0105143383547	AKT1|AKT3|UHMK1|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9634638
activated TAK1 mediates p38 MAPK activation	Reactome	R-HSA-450302	4	24	0.00450013681583	0.0105143383547	RIPK2|IKBKG|TRAF6|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450302
D-myo-inositol (1,4,5)-trisphosphate biosynthesis	BioCyc	PWY-6351	4	24	0.00450013681583	0.0105143383547	PLCG2|PIP5KL1|PIP4K2C|PIP5K1B	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6351
Activation of gene expression by SREBF (SREBP)	Reactome	R-HSA-2426168	5	40	0.00463463148984	0.010814140143	SP1|NCOA1|RXRA|CREBBP|NFYB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2426168
Calcium signaling pathway	KEGG PATHWAY	hsa04020	12	193	0.0047085006746	0.0109718724108	AVPR1B|SPHK2|AVPR1A|ADCY3|ADCY8|CAMK2B|CACNA1G|ITPKA|PLCG2|ADRB2|GRM5|P2RX4	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:5336%09red/hsa:552%09red/hsa:56848%09red/hsa:154%09red/hsa:3706%09red/hsa:816%09red/hsa:5025%09red/hsa:114%09red/hsa:553%09red/hsa:109%09red/hsa:8913%09red/hsa:2915%09red
Regulation of expression of SLITs and ROBOs	Reactome	R-HSA-9010553	11	169	0.00484796315622	0.0112818291534	RPN2|PSMD9|PSMD4|LHX2|PSMD13|ETF1|PSMA1|PSMC1|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9010553
Interferon Signaling	Reactome	R-HSA-913531	12	194	0.0048920807496	0.0113693775721	MT2A|TRIM25|TRIM31|IRF8|NEDD4|OASL|CAMK2B|PIAS1|TPR|ICAM1|TYK2|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-913531
Homologous recombination	KEGG PATHWAY	hsa03440	5	41	0.00509738232192	0.0118307945137	BRCA1|BRIP1|BRE|UIMC1|TOPBP1	http://www.genome.jp/kegg-bin/show_pathway?hsa03440/hsa:672%09red/hsa:51720%09red/hsa:9577%09red/hsa:11073%09red/hsa:83990%09red
Downregulation of TGF-beta receptor signaling	Reactome	R-HSA-2173788	4	25	0.00512087614263	0.0118695804631	NEDD4L|TGFBR2|PMEPA1|PPP1CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173788
Activation of the TFAP2 (AP-2) family of transcription factors	Reactome	R-HSA-8866907	3	12	0.00526953752174	0.0120860952333	CITED2|TFAP2C|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866907
p38MAPK events	Reactome	R-HSA-171007	3	12	0.00526953752174	0.0120860952333	RALGDS|RALA|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-171007
Purine ribonucleoside monophosphate biosynthesis	Reactome	R-HSA-73817	3	12	0.00526953752174	0.0120860952333	PAICS|GARS|IMPDH2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73817
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	Reactome	R-HSA-933543	3	12	0.00526953752174	0.0120860952333	TRIM25|MAVS|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933543
Prolonged ERK activation events	Reactome	R-HSA-169893	3	12	0.00526953752174	0.0120860952333	CRK|MAPK1|RAP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-169893
Physiological factors	Reactome	R-HSA-5578768	3	12	0.00526953752174	0.0120860952333	KAT2B|CNP|NPPA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5578768
Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	Reactome	R-HSA-9027276	3	12	0.00526953752174	0.0120860952333	PIK3CA|IRS2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027276
TP53 Regulates Transcription of Caspase Activators and Caspases	Reactome	R-HSA-6803207	3	12	0.00526953752174	0.0120860952333	TP63|TP53|TP73	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803207
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	Reactome	R-HSA-381676	5	42	0.00559190559811	0.0127752412489	AKAP5|PRKAR2B|ADCY8|GNG11|RAP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381676
DAG and IP3 signaling	Reactome	R-HSA-1489509	5	42	0.00559190559811	0.0127752412489	ADCY8|PRKAR2B|PRKCE|CAMK2B|ADCY3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1489509
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	Reactome	R-HSA-6814122	5	42	0.00559190559811	0.0127752412489	PDCL|CCT5|CCT6A|CCT7|GNG11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6814122
WNT ligand biogenesis and trafficking	Reactome	R-HSA-3238698	4	26	0.00579642753545	0.0132080054519	SNX3|WNT2|WNT7A|WNT4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3238698
Caspase activation via extrinsic apoptotic signalling pathway	Reactome	R-HSA-5357769	4	26	0.00579642753545	0.0132080054519	APPL1|CD14|TLR4|FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357769
Vasopressin regulates renal water homeostasis via Aquaporins	Reactome	R-HSA-432040	5	43	0.00611931377578	0.0139256165249	AVPR2|PRKAR2B|ADCY8|GNG11|ADCY3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432040
Positive epigenetic regulation of rRNA expression	Reactome	R-HSA-5250913	8	104	0.00620538105926	0.0141031387711	HDAC1|DDX21|CHD4|H2AFX|RBBP7|KAT2B|RBBP4|TBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250913
Signal regulatory protein family interactions	Reactome	R-HSA-391160	3	13	0.00636919595966	0.0143820553928	TYROBP|SKAP2|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391160
p75NTR recruits signalling complexes	Reactome	R-HSA-209543	3	13	0.00636919595966	0.0143820553928	RIPK2|MYD88|TRAF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-209543
Golgi Cisternae Pericentriolar Stack Reorganization	Reactome	R-HSA-162658	3	13	0.00636919595966	0.0143820553928	CCNB2|MAPK1|GORASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162658
Advanced glycosylation endproduct receptor signaling	Reactome	R-HSA-879415	3	13	0.00636919595966	0.0143820553928	MAPK1|HMGB1|PRKCSH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-879415
Trafficking and processing of endosomal TLR	Reactome	R-HSA-1679131	3	13	0.00636919595966	0.0143820553928	TLR3|TLR8|TLR9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1679131
BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	4	27	0.00652881364402	0.0146856348034	NCOA1|NPAS2|CREBBP|RXRA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1368108
Dectin-2 family	Reactome	R-HSA-5621480	4	27	0.00652881364402	0.0146856348034	PLCG2|MUC1|FYN|CLEC4A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5621480
Effects of PIP2 hydrolysis	Reactome	R-HSA-114508	4	27	0.00652881364402	0.0146856348034	RASGRP2|PRKCH|DGKA|PRKCE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114508
Cargo recognition for clathrin-mediated endocytosis	Reactome	R-HSA-8856825	8	105	0.0065393301301	0.0146904078661	IL7R|GPS1|COPS2|AVPR2|ADRB2|CLTA|ARRB1|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856825
Platelet degranulation 	Reactome	R-HSA-114608	9	128	0.00655493673388	0.014706588826	HABP4|TGFB2|CYB5R1|TMSB4X|PCDH7|LGALS3BP|SRGN|PPIA|GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114608
Phagosome	KEGG PATHWAY	hsa04145	10	152	0.00658842459058	0.0147627951773	FCAR|MRC1|NCF1|TUBA8|OLR1|TUBA1A|ATP6V1E1|CD14|TLR4|MBL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04145/hsa:4360%09red/hsa:7099%09red/hsa:4973%09red/hsa:4153%09red/hsa:51807%09red/hsa:529%09red/hsa:7846%09red/hsa:653361%09red/hsa:929%09red/hsa:2204%09red
Ubiquitin proteasome pathway	PANTHER	P00060	5	44	0.00668070532496	0.0149504275175	PSMD4|RPN2|PSMC4|UBE2D3|PSMD13	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00060
Alzheimer disease-amyloid secretase pathway	PANTHER	P00003	6	63	0.00671405698479	0.0150058744871	PRKCH|PRKCE|MAPK1|MAPK11|ADAM17|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00003
Metabolism of amino acids and derivatives	Reactome	R-HSA-71291	18	367	0.00692287002926	0.0154528348867	RPN2|IARS|PSMD9|GLS2|DLST|SLC6A8|AIMP2|PSMD13|PSMC5|RARS|PSMA1|PCBD1|PSMD4|PSMC1|EPRS|PSMC4|EEF1E1|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71291
Purine metabolism	KEGG PATHWAY	hsa00230	9	130	0.00718602990222	0.0160198118839	ADCY3|AK1|NME3|ADCY8|IMPDH2|PDE3B|PAICS|PDE4D|GARS	http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:5144%09red/hsa:5140%09red/hsa:4832%09red/hsa:3615%09red/hsa:2618%09red/hsa:10606%09red/hsa:114%09red/hsa:203%09red/hsa:109%09red
Thermogenesis	KEGG PATHWAY	hsa04714	13	231	0.00726781616535	0.0161815245412	NDUFA7|RPS6KA2|SMARCB1|ADCY3|TSC2|CREB5|ADCY8|PPARGC1A|PPARG|MAPK11|ACSL3|SMARCA4|NPPA	http://www.genome.jp/kegg-bin/show_pathway?hsa04714/hsa:9586%09red/hsa:4701%09red/hsa:5600%09red/hsa:7249%09red/hsa:4878%09red/hsa:6196%09red/hsa:10891%09red/hsa:6597%09red/hsa:114%09red/hsa:109%09red/hsa:6598%09red/hsa:5468%09red/hsa:2181%09red
Ionotropic glutamate receptor pathway	PANTHER	P00037	5	45	0.00727716298251	0.0161817474198	STX11|GRIN2B|SHANK3|CAMK2B|GRM2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00037
De novo purine biosynthesis	PANTHER	P02738	4	28	0.0073199798089	0.016256300337	AK1|GARS|IMPDH2|NME3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02738
Constitutive Signaling by EGFRvIII	Reactome	R-HSA-5637810	3	14	0.00759541107471	0.0166149617259	PIK3CA|SHC1|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637810
Signaling by EGFRvIII in Cancer	Reactome	R-HSA-5637812	3	14	0.00759541107471	0.0166149617259	PIK3CA|SHC1|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5637812
AKT phosphorylates targets in the cytosol	Reactome	R-HSA-198323	3	14	0.00759541107471	0.0166149617259	AKT1|AKT3|TSC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198323
AMER1 mutants destabilize the destruction complex	Reactome	R-HSA-4839748	3	14	0.00759541107471	0.0166149617259	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839748
truncated APC mutants destabilize the destruction complex	Reactome	R-HSA-4839744	3	14	0.00759541107471	0.0166149617259	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839744
AXIN mutants destabilize the destruction complex, activating WNT signaling	Reactome	R-HSA-4839735	3	14	0.00759541107471	0.0166149617259	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839735
Truncations of AMER1 destabilize the destruction complex	Reactome	R-HSA-5467348	3	14	0.00759541107471	0.0166149617259	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5467348
RUNX3 regulates NOTCH signaling	Reactome	R-HSA-8941856	3	14	0.00759541107471	0.0166149617259	RUNX3|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941856
APC truncation mutants have impaired AXIN binding	Reactome	R-HSA-5467337	3	14	0.00759541107471	0.0166149617259	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5467337
YAP1- and WWTR1 (TAZ)-stimulated gene expression	Reactome	R-HSA-2032785	3	14	0.00759541107471	0.0166149617259	CTGF|KAT2B|NPPA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2032785
AXIN missense mutants destabilize the destruction complex	Reactome	R-HSA-5467340	3	14	0.00759541107471	0.0166149617259	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5467340
TRAF3-dependent IRF activation pathway	Reactome	R-HSA-918233	3	14	0.00759541107471	0.0166149617259	TRIM25|MAVS|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-918233
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	PANTHER	P00032	4	29	0.0081717910411	0.0178090091182	IGF1R|MAPK1|RPS6KA2|IRS2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00032
TRAF6 mediated IRF7 activation	Reactome	R-HSA-933541	4	29	0.0081717910411	0.0178090091182	TRIM25|MAVS|CREBBP|TRAF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933541
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	Reactome	R-HSA-442742	4	29	0.0081717910411	0.0178090091182	GRIN2B|RPS6KA2|MAPK1|CAMK2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-442742
Response to elevated platelet cytosolic Ca2+	Reactome	R-HSA-76005	9	133	0.00821846966404	0.0178884600896	HABP4|TGFB2|CYB5R1|TMSB4X|PCDH7|LGALS3BP|SRGN|PPIA|GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76005
Interleukin-12 signaling	Reactome	R-HSA-9020591	5	47	0.00857951895888	0.0186279878139	MSN|HSPA9|RALA|PPIA|TYK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020591
Regulation of Complement cascade	Reactome	R-HSA-977606	5	47	0.00857951895888	0.0186279878139	CR2|CD81|CD59|CD19|CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977606
Negative regulation of TCF-dependent signaling by WNT ligand antagonists	Reactome	R-HSA-3772470	3	15	0.00895135261455	0.0191736439112	SFRP2|SFRP1|WNT4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3772470
S33 mutants of beta-catenin aren't phosphorylated	Reactome	R-HSA-5358747	3	15	0.00895135261455	0.0191736439112	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358747
p130Cas linkage to MAPK signaling for integrins	Reactome	R-HSA-372708	3	15	0.00895135261455	0.0191736439112	SRC|RAP1A|CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-372708
phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex	Reactome	R-HSA-4839743	3	15	0.00895135261455	0.0191736439112	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839743
Activation of BAD and translocation to mitochondria 	Reactome	R-HSA-111447	3	15	0.00895135261455	0.0191736439112	SFN|AKT1|AKT3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111447
T41 mutants of beta-catenin aren't phosphorylated	Reactome	R-HSA-5358752	3	15	0.00895135261455	0.0191736439112	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358752
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	Reactome	R-HSA-8866910	3	15	0.00895135261455	0.0191736439112	TFAP2C|YY1|KIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866910
Misspliced GSK3beta mutants stabilize beta-catenin	Reactome	R-HSA-5339716	3	15	0.00895135261455	0.0191736439112	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5339716
S37 mutants of beta-catenin aren't phosphorylated	Reactome	R-HSA-5358749	3	15	0.00895135261455	0.0191736439112	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358749
S45 mutants of beta-catenin aren't phosphorylated	Reactome	R-HSA-5358751	3	15	0.00895135261455	0.0191736439112	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358751
D-myo-inositol (1,3,4)-trisphosphate biosynthesis	BioCyc	PWY-6364	3	15	0.00895135261455	0.0191736439112	ITPKA|INPP5K|TEP1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6364
Transport to the Golgi and subsequent modification	Reactome	R-HSA-948021	11	185	0.00898732686974	0.0192271662861	SCFD1|TUBA8|CD55|TRAPPC3|CD59|ANK2|TRAPPC6A|CSNK1D|SPTBN4|DLC1|TUBA1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-948021
Pentose phosphate pathway	KEGG PATHWAY	hsa00030	4	30	0.00908602943323	0.0194145928061	G6PD|PGLS|RGN|ALDOB	http://www.genome.jp/kegg-bin/show_pathway?hsa00030/hsa:9104%09red/hsa:2539%09red/hsa:229%09red/hsa:25796%09red
@@pentose phosphate pathway	BioCyc	PENTOSE-P-PWY	2	10	0.033287400874	0.0601786689354	G6PD|PGLS	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PENTOSE-P-PWY
@@Pentose phosphate pathway	Reactome	R-HSA-71336	2	15	0.0633401365268	0.104669725139	G6PD|PGLS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71336
GABAergic synapse	KEGG PATHWAY	hsa04727	7	89	0.0091333672042	0.0194919422041	SRC|SLC38A2|TRAK2|ADCY3|ADCY8|GNG11|GLS2	http://www.genome.jp/kegg-bin/show_pathway?hsa04727/hsa:27165%09red/hsa:2791%09red/hsa:114%09red/hsa:6714%09red/hsa:109%09red/hsa:66008%09red/hsa:54407%09red
Alzheimer disease-presenilin pathway	PANTHER	P00004	8	112	0.00927145075053	0.0197625320505	TCF4|FZD9|ADAM17|WNT4|DVL1|WNT2|TRPC1|WNT7A	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00004
G alpha (z) signalling events	Reactome	R-HSA-418597	5	48	0.00928748943506	0.0197726356586	PRKCH|ADCY8|PRKCE|GNG11|ADCY3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418597
TGF-beta receptor signaling activates SMADs	Reactome	R-HSA-2173789	4	31	0.0100643919745	0.0213746188778	NEDD4L|TGFBR2|PMEPA1|PPP1CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173789
Interaction between L1 and Ankyrins	Reactome	R-HSA-445095	4	31	0.0100643919745	0.0213746188778	NRCAM|ANK2|SPTBN4|KCNQ3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445095
Morphine addiction	KEGG PATHWAY	hsa05032	7	91	0.0101720581863	0.0215770931224	ADCY3|GRK5|ADCY8|GNG11|PDE3B|ARRB1|PDE4D	http://www.genome.jp/kegg-bin/show_pathway?hsa05032/hsa:5144%09red/hsa:5140%09red/hsa:408%09red/hsa:2869%09red/hsa:2791%09red/hsa:114%09red/hsa:109%09red
MECP2 regulates neuronal receptors and channels	Reactome	R-HSA-9022699	3	16	0.0104397190151	0.0219849678416	HDAC1|GRIN2B|SIN3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9022699
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	Reactome	R-HSA-975163	3	16	0.0104397190151	0.0219849678416	CD14|TLR4|TRAF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975163
NRIF signals cell death from the nucleus	Reactome	R-HSA-205043	3	16	0.0104397190151	0.0219849678416	MAPK8|ITGB3BP|TRAF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-205043
MAP3K8 (TPL2)-dependent MAPK1/3 activation	Reactome	R-HSA-5684264	3	16	0.0104397190151	0.0219849678416	NFKB1|MAP3K8|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684264
TRAF6-mediated induction of TAK1 complex within TLR4 complex	Reactome	R-HSA-937072	3	16	0.0104397190151	0.0219849678416	CD14|TLR4|TRAF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937072
Caspase activation via Death Receptors in the presence of ligand	Reactome	R-HSA-140534	3	16	0.0104397190151	0.0219849678416	FAS|CD14|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140534
G-protein beta:gamma signalling	Reactome	R-HSA-397795	4	32	0.0111084887434	0.023309179018	AKT1|AKT3|GNG11|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-397795
Endosomal Sorting Complex Required For Transport (ESCRT)	Reactome	R-HSA-917729	4	32	0.0111084887434	0.023309179018	CHMP4B|CHMP4C|VTA1|VPS4B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-917729
Generation of second messenger molecules	Reactome	R-HSA-202433	4	32	0.0111084887434	0.023309179018	LCP2|GRAP2|ITK|ZAP70	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202433
Pre-NOTCH Transcription and Translation	Reactome	R-HSA-1912408	7	93	0.01129417654	0.0236704298742	E2F3|E2F1|JUN|H2AFX|KAT2B|TP53|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1912408
MET activates PI3K/AKT signaling	Reactome	R-HSA-8851907	2	5	0.0114796020508	0.0239158376059	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8851907
Activation of NOXA and translocation to mitochondria	Reactome	R-HSA-111448	2	5	0.0114796020508	0.0239158376059	TP53|E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111448
PTK6 Regulates Proteins Involved in RNA Processing	Reactome	R-HSA-8849468	2	5	0.0114796020508	0.0239158376059	KHDRBS1|KHDRBS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8849468
CD22 mediated BCR regulation	Reactome	R-HSA-5690714	2	5	0.0114796020508	0.0239158376059	PTPN6|CD79A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5690714
RUNX3 Regulates Immune Response and Cell Migration	Reactome	R-HSA-8949275	2	5	0.0114796020508	0.0239158376059	RUNX3|CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8949275
Dopamine receptor mediated signaling pathway	PANTHER	P05912	5	51	0.0116505432654	0.0242143120124	SLC6A3|MAOA|PRKAR2B|GNG11|PPP1CA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05912
Apoptotic execution phase	Reactome	R-HSA-75153	5	51	0.0116505432654	0.0242143120124	HMGB1|DFFB|BIRC2|SATB1|CLSPN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75153
Carbon metabolism	KEGG PATHWAY	hsa01200	8	117	0.0116887027789	0.024264804108	DLST|G6PD|PGLS|SUCLG1|PGAM1|ALDOB|SHMT2|RGN	http://www.genome.jp/kegg-bin/show_pathway?hsa01200/hsa:8802%09red/hsa:2539%09red/hsa:1743%09red/hsa:229%09red/hsa:25796%09red/hsa:6472%09red/hsa:9104%09red/hsa:441531%09red
IL-6-type cytokine receptor ligand interactions	Reactome	R-HSA-6788467	3	17	0.0120627642992	0.0249525266237	TYK2|LIFR|IL31RA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6788467
PKA activation in glucagon signalling	Reactome	R-HSA-164378	3	17	0.0120627642992	0.0249525266237	PRKAR2B|ADCY8|ADCY3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-164378
Beta-catenin phosphorylation cascade	Reactome	R-HSA-196299	3	17	0.0120627642992	0.0249525266237	PPP2CA|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196299
Glucagon signaling in metabolic regulation	Reactome	R-HSA-163359	4	33	0.012219841454	0.0252178331893	PRKAR2B|ADCY8|GNG11|ADCY3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163359
Signaling by FGFR3	Reactome	R-HSA-5654741	4	33	0.012219841454	0.0252178331893	PPP2CA|PIK3CA|MAPK1|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654741
@@Signaling by FGFR3 in disease	Reactome	R-HSA-5655332	2	18	0.0843954129714	0.134509993351	PIK3CA|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655332
Metabolism of nucleotides	Reactome	R-HSA-15869	7	95	0.012503264552	0.025748499151	NME3|AK1|IMPDH2|PAICS|TK1|GARS|CAD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-15869
Signaling by PTK6	Reactome	R-HSA-8848021	5	52	0.0125211273015	0.025748499151	CRK|AKT1|KHDRBS1|ARAP1|KHDRBS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8848021
