gene	p
ZBTB33	2.75e-07
NEK8	0.044942
SSSCA1	7.26e-05
LLGL1	0.00069046
HSF4	1.38e-05
TRAIP	8.01e-05
FHL3	0.0029099
SIRT3	2.32e-06
OSGEP	9.15e-05
EIF2B3	0.00013183
CHMP4B	0.0011677
CHD4	0.027839
UROS	1.02e-05
VPS26B	3.54e-06
ZMYND8	0.00088916
DLG5	0.0032039
KPNA6	0.0024494
XPOT	0.0052244
SIVA1	0.0028479
PIP5KL1	0.00020228
HIST3H2A	6.27e-05
IRF3	0.0037293
SNF8	2e-06
SERBP1	0.0054567
MAD2L1BP	0.00075822
BET1L	1.28e-06
CNP	4.33e-06
SMARCB1	0.0005615
SYT1	0.0069504
PON1	0.00059282
SENP8	0.0020819
KIF20B	0.0040455
ZW10	0.00015824
SAP30L	6.55e-05
SPCS2	0.032718
GCM1	4.14e-06
UTP14A	5.68e-05
TFDP1	0.019639
PSMB8	0.009681
WNT7B	2.28e-07
CFHR4	0.0014982
AFG3L2	0.00051385
CBX8	0.00019579
PSMA1	0.00014677
KCNJ1	0.0050607
GNAS	0.00085849
ARFGAP3	0.022085
E4F1	0.00014081
NFATC2IP	1.7e-05
PSMC5	4.32e-05
XRCC4	0.032845
CBFB	0.014269
RAB13	0.00072834
TFB1M	1.22e-06
RAD51C	0.0035699
ANO8	1.19e-05
HOXB8	0.00040383
LBR	0.0050341
RABGEF1	0.04032
ERCC2	1.13e-05
UBE2K	0.00026565
CLPB	0.00056676
TARS	4e-06
TRAF5	0.0023622
ESRRG	0.02824
ACVR2B	0.0010394
BRE	0.00024555
KCNQ3	0.0010928
SNX6	8.87e-05
DYNLL2	0.003251
CHAF1A	7.45e-06
SUV39H1	0.0025189
FOXP3	3.09e-05
AATF	0.00011919
CLCN5	0.00033036
UBE2A	0.0041786
UBN1	0.0040479
ARF5	0.00020139
RAVER1	0.023617
COPB2	2.62e-08
AP3S1	1.95e-05
NAGA	0.00020569
IGSF8	0.0038018
DBN1	0.020268
DFFB	0.01936
PPP2R5C	0.00020065
ANKZF1	0.0035232
WDR4	0.00061985
STK36	0.029341
SNTA1	0.00012897
PUF60	0.0017789
FIBP	9.85e-05
KIAA1217	0.0026583
RNPS1	3.31e-05
THOP1	0.0015112
PLXNB2	0.00036633
CPNE1	0.0066058
TALDO1	0.003059
PGAM1	0.0001504
EMD	0.00039596
CAD	2.08e-06
UXT	0.00019731
TRIM11	9.52e-05
APLP1	0.0030187
ZNF607	0.0037342
UBQLN4	0.003228
ENO3	0.0004608
ACIN1	0.0031492
RPN1	0.00025601
ATP7A	0.036309
LIMK1	0.0041717
DSCC1	3.09e-05
ARHGEF10L	0.009035
ZNF408	0.0044528
CSNK1D	0.0020844
THBS3	0.036155
TRIM31	0.00044306
ARTN	0.0010191
FKBP4	0.00013127
CD70	7.85e-06
FOXL1	0.00036841
FLNB	0.0039251
AKT1	0.018301
EHMT2	0.00014401
PCGF1	0.020835
ZFPL1	2.82e-05
TCEB3	0.045931
FBXL18	7.56e-05
ABCB4	2.16e-05
POLA1	0.029151
NAP1L4	0.00047167
ZNF598	0.0049974
PGLS	0.0035649
SH3GL1	0.0013237
SATB2	0.0085375
HOXB3	0.024433
DDX27	0.0012534
NADK	0.048381
EFNB3	0.001625
DNAJC5	0.020428
LASP1	0.00033197
VTA1	0.044248
TOPBP1	0.015876
FGFRL1	0.00035287
PRPF4	0.0049719
PRPF3	0.01928
CLNS1A	0.0097999
ZBTB25	0.020777
SUB1	0.014736
PSD	1.09e-06
SNX9	0.04264
NDE1	0.0048843
CARD11	5.24e-05
ASH1L	0.0057848
RNF2	0.00049496
SMAP1	0.032262
SPOCK3	0.025417
MEAF6	0.01556
EAPP	0.0094952
CCDC88B	0.00094219
TAF4	3.75e-06
POLE	0.0032985
APBA2	0.025407
PPP1CA	0.016136
PFDN2	0.0068577
GUCY2D	0.00073994
SDCCAG3	7.19e-05
RNF7	0.0054119
RAB10	0.0034681
IRAK4	0.0001287
AKT1S1	0.041235
MED19	0.0004018
GNL3L	0.0027506
TRIM54	5.24e-06
FAM103A1	0.0010812
RAD17	0.0039382
ARL6IP1	0.0096768
GDA	0.018986
TFAM	0.042513
PBX2	0.0026623
SLC9A2	0.008354
USP39	1.06e-05
STX18	7.02e-05
NPAS2	0.0099268
TIMM8A	2.85e-07
ZBTB48	0.018187
ADIPOR1	0.037836
GOLGA2	0.0030692
NAE1	0.014641
UPF3B	0.00041786
IBTK	0.00063033
TRMT6	0.029444
TP63	0.026715
ESRRA	2.17e-05
KCTD5	0.035352
PUM1	0.0010088
COG4	0.016409
TP73	0.0016498
PICK1	0.0019455
SCNN1A	0.00023734
HSP90AA1	0.0032098
VPS33A	0.0015266
GTF3C1	0.0048016
PDIA3	0.033341
KARS	0.00019826
TBL3	0.0001972
LRRC41	0.0050265
PHACTR4	0.0056701
UBE2O	1.87e-07
PPARD	0.00065225
ERCC4	0.0034506
SNRPF	0.011243
PPM1J	2.41e-05
GLMN	0.047631
DOCK3	0.0070378
NAGPA	0.003285
PRPF6	0.037496
CASR	0.012054
DHX16	1.64e-05
DAPP1	0.049556
RPIA	0.0040792
VPS33B	0.0019042
INTS1	0.0015991
FATE1	6.08e-05
STX4	0.0011294
WNT4	0.0051272
RAB3B	0.0026759
SUMO4	0.00029562
AVPR1B	0.0024225
HTATSF1	0.022531
DCAF11	0.013881
COPS7B	0.0023735
GEMIN7	0.001273
TAF8	0.00058428
DUSP10	0.040421
HOXD4	0.0025515
GOPC	0.01516
MAN1A2	0.00365
TIMM13	4.97e-05
PNKP	0.011341
MRPS12	2.64e-06
QTRT1	0.018628
AFTPH	0.00022948
HMGN2	0.00020049
NAA38	0.0203
ADAP1	0.016132
GLG1	0.014589
CNTNAP2	0.00028889
IPO7	0.022508
POU2F3	0.010833
U2AF2	0.00091986
DFFA	0.019858
RRP1B	5.78e-06
SIRT6	6.19e-06
FXR1	0.015993
RTKN	0.0016132
TCF3	4.8e-05
CCS	0.0060927
PITPNM1	0.0074591
HAUS7	0.011042
NSD1	0.0016194
XBP1	0.00076804
POLR2B	0.00026774
HPS4	0.00033125
DEAF1	1.7e-05
FCHO1	0.0016947
APP	0.016311
CADM4	0.001321
ZFPM1	0.0056913
STK16	0.00037635
INPPL1	0.013439
CXCR5	4.36e-05
YWHAG	0.019802
RBBP4	0.042845
KHDRBS1	0.018117
HSPBP1	0.0097601
ZNF622	0.001892
ATF7IP	0.0057228
SCYL1	1.07e-06
TFEB	0.021649
ATF5	7.13e-06
RAB3IL1	0.048377
IFNAR2	0.026591
PRDX1	0.025163
APBA1	1.34e-05
LDLRAP1	0.020209
TTC1	0.004063
CAMK2B	0.0094235
PYGB	0.021321
PHB	0.0041373
NUDT14	0.0014597
INO80B	0.0048631
SLC38A3	0.00043217
RRBP1	0.029249
NAV1	0.025107
POLD4	0.01649
NPPA	0.00010837
TSNAX	0.0041041
BCL2L11	0.013745
TLR10	0.038037
CCT7	0.0010288
RGS20	0.0018053
SSRP1	0.013175
RET	0.020357
ACAN	0.0055532
RUVBL2	0.017948
LRP3	0.00079819
LIG3	0.0022693
RFFL	0.00011613
SMG7	0.015647
IL27RA	0.045395
CRYBB1	5.4e-05
TIA1	0.039448
ZNF76	0.00054515
GINS4	3.28e-05
THOC1	0.0083886
DBP	0.010709
RBCK1	0.0061778
UBE2J2	1.76e-05
MDH1	0.044248
PHKA2	0.048282
MTOR	3.29e-06
NDUFV2	0.039374
CREB3	0.0011754
NUP88	4.61e-05
KRI1	0.0051241
WDR74	0.0045101
DYNLT1	0.0086319
WDR3	0.00027526
PLOD3	0.016036
GTPBP3	0.00012443
IGBP1	0.006025
ALG10	0.0099497
CD1B	0.04962
CBFA2T2	0.014267
ZNF764	0.0091695
ALDOB	0.00018776
ENTPD2	0.0011508
HIST1H3E	0.0034304
SCFD1	0.00024556
CSNK2A1	0.044883
NCS1	0.007513
OGG1	0.00027769
EIF2B5	0.0003921
SIX5	0.00042309
MESDC2	0.0012545
ANXA13	0.047313
GTF2E1	0.035401
SLC39A2	0.013897
GEMIN4	0.0052059
LTA	9.94e-05
DVL1	0.044712
STAU1	0.0031916
PWP2	5.83e-05
NOXO1	0.0011891
TSSK1B	0.0069479
KISS1	0.0037046
POLR2F	4.04e-05
CAST	0.026992
TXNRD2	0.0010309
GNG4	0.0048843
NRBP1	0.010027
PPP2R5D	0.00019824
LEP	0.0054462
COPE	0.0035065
MAP1A	0.0011666
TRO	0.0018541
UBE2I	0.0073702
MYBPC2	0.014204
EMG1	0.046331
TMEM102	0.0044818
CYB5R1	0.00027422
MON1A	0.013148
SH3BP4	0.0068801
NKAP	0.027085
LHX2	0.0074779
DVL2	3.93e-05
PPFIA2	0.0084715
GNB3	3.72e-05
ERP29	0.046845
NUP37	0.017474
TCEA1	0.036073
PABPC1	2.37e-06
MAGOHB	0.0034966
RPS6KA4	1.34e-05
KLC2	0.049926
NOS1AP	0.011814
PDE9A	0.034529
TRMT61A	0.00019223
DRG1	0.0013879
CD63	2.82e-05
ARCN1	0.011488
GRM4	0.00062452
PDLIM7	0.022692
TEX11	0.0002553
KLK4	0.00036592
MAPK8IP2	0.00030753
DAXX	0.032713
DTNB	0.00011201
GAP43	0.011783
RGS7	0.0074246
CUL9	0.00016516
TLK1	0.0082397
HCFC1	0.046265
NMUR2	0.0001595
GRIP2	0.0092894
TAZ	0.016366
NBR1	0.027306
HEBP2	0.0068527
MAPK6	0.0056479
OPTC	0.025843
BMP8B	0.0011948
TRIP11	0.010641
TLR9	0.010916
DDX54	0.00031899
PARP10	0.0015077
TSC2	0.023658
SSTR5	0.00096464
ZNF558	0.015551
RAB40C	0.0085634
UBE4A	0.034138
BMP7	0.015307
TRIM32	0.020731
ATP5J2	0.00059465
CDX2	0.024277
HTR1D	0.0034951
HDAC6	0.021709
EPHB1	0.045153
RELL2	0.013465
GPT	0.00050718
ST8SIA2	0.0021233
RND2	0.0086848
NR1I2	0.02598
DAP3	0.042758
LAMA1	0.03539
ATP5C1	0.014292
SDC3	0.033942
CTBP1	0.046331
MYPOP	0.010253
CBY1	0.0007209
ATP6V1D	0.019286
GLP1R	0.00022797
LRP5	0.035968
CLTCL1	0.0075469
STMN3	0.02817
SLC4A3	0.041145
ACSL6	0.022229
TG	0.033756
IKBKG	0.03089
ZNF384	0.00010931
VAC14	0.02824
MC4R	0.0010826
BCL2L10	2.96e-05
UQCRC1	0.01296
PSMD13	0.012178
CDSN	0.0023736
DGKQ	0.004647
TXLNA	0.0075308
CHRNB2	0.0005274
GSC	0.034529
XRCC1	0.0066569
RPLP0	4.35e-06
HPS1	0.021768
ANAPC7	0.0069283
PPP1R8	0.010449
ZNF646	0.0029887
RPRD1B	0.00029005
HGS	0.047794
SRCIN1	3.3e-05
HNF4A	0.0054341
GJA8	0.00037654
MTCP1	0.042303
RPL8	0.0031518
OPRD1	0.00045818
C19orf57	0.013876
RGMA	0.0092027
PSMA4	0.033798
GNA12	0.0073321
TRPC4AP	0.02347
TUBGCP4	0.017113
APBA3	0.004557
S100A13	0.0014938
MYOD1	0.0037062
EIF4G2	0.021244
TYK2	0.045224
UBLCP1	0.032485
NTSR2	0.00038301
MPHOSPH10	0.012027
INHA	0.0018029
CNGB1	0.0017706
CDK20	0.0050842
GTF2A1	0.0015061
NDUFA6	0.023504
CARD14	4.13e-05
PLD2	0.025912
RNF5	0.00031654
SLC30A3	0.01823
POP4	0.042799
CAMK2N2	0.00088889
TAF1	0.026303
ELOF1	0.0031554
PDAP1	0.035868
MEX3B	0.043398
ZBED1	0.048273
MLXIPL	0.0092384
CDH2	0.037606
DGCR2	0.027042
LSM1	0.04464
STUB1	0.035828
HMGB2	0.010358
ALK	0.0063338
GRIPAP1	0.032101
RNF216	0.0009162
NRP1	0.04732
GRIN2C	9.51e-06
BRF2	0.01968
IL27	0.041729
E2F4	0.0094533
EPHA1	0.0003291
LOXL4	0.022531
PSMA3	0.039761
MRPL38	0.042845
SF3B3	0.004878
RNF4	0.0027219
SPTBN4	0.00082435
AP2A2	0.034084
CCDC120	1.58e-05
RIMS2	0.02295
SEMA3B	0.0012418
CLP1	0.0025166
GUCA1A	0.039106
OXT	0.033033
SCMH1	0.0072309
FGF6	0.015793
FBF1	0.012026
HNF1A	0.00039864
HOXA11	0.019622
CDC34	0.018988
TRAFD1	0.0115
CD2BP2	0.048932
LTBR	0.00019455
FGF17	0.039153
PDCD1	0.0016594
KCNH1	0.03658
STK38	0.0055307
FGF23	8.26e-05
TUBA8	0.0017058
NCSTN	0.00068403
CASP2	0.0072113
NEDD8	0.035208
EDAR	0.042231
WNK4	0.0024721
PARD6A	0.010884
NFATC4	0.032312
YLPM1	0.015288
GSK3A	0.00722
PHC2	0.016034
CHRNA2	0.0048944
NQO2	0.036352
SH3BP5L	0.013115
DLGAP4	0.045502
ITGB8	0.02801
PRLR	0.0083507
EIF2B4	0.0322
UPK1A	0.0068622
SRC	0.035208
GABRR1	0.0075123
PPIA	0.013487
CORT	0.040941
SPHK2	0.032807
TERT	0.0016361
RANBP1	0.0015334
PDCD11	0.028028
EDC3	0.0033686
ZNF8	0.013585
FZR1	0.0017931
PIGQ	0.012011
UBA1	0.0027503
ELSPBP1	0.006911
SCNN1D	0.035598
CNPY4	0.0012214
CCKAR	0.019354
CDC14B	0.0016729
POLH	0.021839
PAFAH1B2	0.046089
PTBP1	0.047273
SH2B1	0.047356
KCNA2	0.002785
MATN4	0.011287
F7	0.0018709
DLG2	0.031689
XRCC6	0.015781
PDZD3	0.0011923
PDIA2	0.0088605
CACNA1H	0.02136
ZSCAN4	0.014383
ERCC6	0.039895
SRRM1	0.046084
RAP2A	0.02697
PTMA	0.0039634
SRGAP3	0.0087657
IL31RA	0.00080996
HOXD13	0.0024099
RALY	0.04437
FANCD2	0.00080647
SALL1	0.033519
MYBPH	0.010114
FKBP6	0.002161
PIP4K2B	0.041875
SLC9A5	7.64e-05
DOCK7	0.042292
AURKAIP1	0.024
CCT4	0.0067244
CAMKK1	0.0070778
POU3F4	0.020888
IGLL1	0.020192
CACNA1B	0.00010188
SOX10	0.039069
ABCG4	0.0012233
RNF31	0.035749
SNUPN	0.037921
CTCF	0.01556
CCNB2	0.0078027
UPK2	0.02963
ZBTB32	0.020045
PGAM5	0.010938
EFTUD2	0.0044843
CACNA1G	0.0048072
ST8SIA3	0.0024689
RPL12	0.0083952
CDH18	0.0037013
MMP2	0.0048984
BLK	0.026922
WRNIP1	0.031977
IKZF2	0.0024299
LIN37	0.031375
POU3F1	0.044948
SLC27A5	0.0053709
IGHMBP2	0.037387
SLC15A1	0.021
GDNF	0.00097162
IMMT	0.037806
POFUT1	0.00095643
FUT7	0.044784
CRYBA2	0.0013215
EYA3	0.020738
PACSIN1	0.012178
VIPR2	0.0075459
BAZ1B	0.014623
TRAPPC2	0.033021
STXBP4	0.020817
MATN1	0.00020701
NDUFA7	0.027156
GRM5	0.0024206
EPHA8	0.02567
LHX1	0.013375
IRF4	0.0047859
VPS11	0.035868
ELAC2	0.011584
CCNK	0.0046404
TPM2	0.035853
LHX9	0.023625
RPL22	0.00043197
ZNF557	0.048154
INHBE	0.025991
CLSPN	5.77e-06
ARL3	0.0043738
VCP	0.039202
PTPRN	0.0006198
CYTH3	0.035617
PAX8	0.0068801
CEBPE	0.017468
GDF11	0.032335
SCN8A	0.00046585
SAMM50	0.026824
KCTD17	0.014085
KIF5A	0.0036261
ADCY2	0.0040508
MMP17	0.023526
DOCK1	0.03476
RPS14	0.0025074
DLGAP3	0.022856
FANCB	0.014543
HTR2C	0.023454
ZNF484	0.039753
TRH	0.04064
STMN4	0.014446
KSR2	0.017285
NKX2-5	0.015992
ACTL6B	0.013289
SF3B2	0.018378
SIX3	0.017243
GABRR2	0.039159
SMYD1	0.029401
KSR1	0.016671
RLN3	0.0069501
IL9R	0.032036
ONECUT1	0.030313
HIST1H2BB	0.0076062
KCNIP3	0.019172
DIXDC1	0.013317
JAK3	0.0045108
TGFBRAP1	0.044745
SPN	0.018678
ERGIC3	0.028361
RHO	0.035322
PARD6G	0.045775
CLTA	0.034866
HTR1A	0.035214
CCDC136	0.044117
COL9A1	0.0051332
GRIK5	0.034688
C1orf61	0.003424
EXOSC1	0.049256
SLIT1	0.022329
ANP32C	0.0050367
KCNG1	0.017338
OPCML	0.038004
PSG1	0.045979
BRF1	0.049099
CEP250	0.012547
APOC2	0.022531
CCKBR	0.021121
GRM2	0.027861
GFAP	0.048341
FOXH1	0.040428
UNC5A	0.018799
HPS6	0.0059252
SUCLG1	0.021551
GJA3	0.022354
SLC34A1	0.025324
AHSG	0.028782
GRIN3A	0.049007
UPP2	0.030208
KCNV1	0.03658
GRIN2B	0.037789
ELAVL4	0.021973
TSHR	0.044743
SLC12A1	0.0079778
GRIA4	0.026076
ANGPTL3	0.047663
RFX4	0.0056782
PAPPA2	0.029387
MBL2	0.011217
SYCP3	0.0017107
KCNA4	0.040506
ITSN1	0.039095
TACR1	0.020056
ADD2	0.026965
HCRTR2	0.014534
TMSB4X	0.004801
RAG1	0.0027259
SIGLEC6	0.042687
STX8	0.02488
PARP14	0.036626
CREBBP	0.040555
RAPGEF5	0.044248
UBC	0.0091545
PRCP	0.03035
BCL6B	0.030486
RNF123	0.035027
RPS15	9.79e-05
SMG6	0.0056894
AKAP5	0.02398
FEM1A	0.010825
SNTG2	0.0002553
KALRN	0.020888
TLK2	0.028994
CHRM4	0.026287
FBXL12	0.00061165
THRA	0.0074531
CHD6	0.039508
HDAC7	0.014575
SOX5	0.019896
CTRL	0.044597
CHAT	0.020082
MLLT1	0.02971
GORASP1	0.0002691
FXR2	0.02874
GFI1B	0.036641
B2M	0.035083
MAPK7	0.031188
RIC8B	0.018606
GNG5	0.041762
PKNOX1	0.026319
NCR3	0.017363
SFRP1	0.028574
IL5RA	0.0056159
TNNT2	0.0008813
MYL6	0.021457
RFX3	0.0078316
ARG1	0.00012806
ATG7	0.034193
SAP30BP	0.011578
RASGRP4	0.004569
PTPN5	0.0017899
KCNIP1	0.019127
MTF1	0.022377
HABP4	0.021271
OAZ1	0.0058944
MYOZ2	0.00018084
FGF12	0.0056308
PELI3	0.034134
NTN1	0.042723
GRAP	0.012961
HAUS2	0.047179
LRRC4C	0.0014123
MMP25	0.017801
MYOM1	0.038165
CDH6	0.018634
TBXA2R	0.00021838
MPO	0.00020328
IK	0.03639
UBE2G2	0.022194
TRAF3IP2	0.018737
URM1	0.00060802
AKAP8	0.0021386
ADRA1A	7.18e-05
HBZ	0.021918
ARPC2	0.023301
DTNA	0.0020666
PRKG1	0.033061
RANBP3	0.0028982
CNOT4	0.04714
RABGGTA	0.022879
SLU7	0.04828
DYDC1	0.0029883
PELI2	0.03179
MAP3K12	0.025991
TNFRSF8	0.0013856
CNR1	0.0083416
HDAC5	0.0018188
PFKFB2	0.035322
TRAF6	0.0026993
RFC1	0.040399
PDE10A	0.032665
MPRIP	0.0070029
NCK2	0.047775
ANTXR2	0.01383
FCGR2A	0.045979
ITGAX	0.031212
SNX17	0.024012
CFTR	0.034385
CRHBP	0.035322
NCAM1	0.00040063
AP1M1	0.035032
MAP6	0.00023751
RP1	1.44e-06
KIF1B	0.026992
PTPRT	0.024137
RUFY2	0.00023011
SLC8A1	0.031187
STBD1	0.0053609
LAMA3	6.46e-06
EPB42	0.0096569
MAP3K11	2.58e-05
EPM2A	0.012442
LEPR	0.018573
CTNNBL1	0.011739
FGFR1	0.035934
STAT5B	0.0055921
APOA1	0.00462
NFATC3	0.015348
FOXO4	0.010649
MIS12	0.015553
PEBP1	0.041537
FMNL1	0.031043
UPF2	0.034554
AGRP	0.0048334
CAND2	0.0012317
NDUFAF3	0.0095083
WAS	0.021682
KLC1	0.024227
TUB	0.00041021
EXOC6B	0.0020058
GRAP2	0.0039402
SSH1	0.014405
LAT2	0.0011798
NTRK2	0.018778
CALCOCO2	0.032262
CLIP1	0.017808
BNIP3L	0.030566
ATP6V1E1	0.0068605
DBI	0.019152
GNAZ	0.010825
TBP	0.0059831
ADCY8	0.018577
IKBKAP	0.0046538
EIF2S1	0.026965
FUNDC2	0.0002103
RBP1	0.042145
ARL2	0.011022
MED17	0.023258
PRKD1	0.025414
PPP2R5A	0.0025488
GIT2	0.006688
ARL11	0.0091933
ZNF439	0.039767
MAPK11	0.0035048
FLNC	0.0040598
MS4A3	0.00011835
LSM6	0.0135
WDR91	0.037547
S1PR5	0.00010694
ITGA2B	0.00097829
PFDN5	0.0023979
NTRK3	0.00012149
NXF1	0.037622
HNRNPH3	0.0021822
EDN3	0.018608
BEST1	0.0017956
TSGA10	0.018043
RNF41	0.0026828
CDC14A	1.47e-05
FCHSD2	0.00079996
FER	0.014691
FIS1	0.017698
WWP1	0.028882
UIMC1	0.0011031
CAV3	0.0010123
PPP4R2	0.048835
CAMTA2	0.0015411
NCOA4	0.0085067
WBP2	0.031454
PRPH2	0.0032711
RALA	0.024587
B4GALT1	0.0090739
TRPC3	3.7e-11
SF3A1	0.0049168
ZFYVE9	0.0042929
TPPP	0.00014081
RNF10	0.000421
NRCAM	0.01727
CTDSP2	0.0089164
RAB3IP	0.040239
RELA	0.0045445
PIAS2	0.0088792
ZC3H7A	0.031688
TLN1	0.0098309
HOXA7	0.0030024
PIK3CD	0.0057796
SPEF1	0.020242
HDHD2	0.010724
NUP98	0.040971
PER2	0.008645
KAT5	0.0043997
CACNA1C	0.00029626
ANXA2	0.00022886
RIPK1	0.00038766
MOAP1	0.034918
VPS36	0.00049416
ELAVL1	0.0024791
SRF	6.89e-05
KIR2DL4	2.63e-05
CDK9	2.75e-05
SEC62	0.006192
ZDHHC17	0.00042621
CD40	0.044239
CLEC4M	0.00019216
PEX5	0.00023117
PRKCE	0.0046477
MYOT	4.54e-05
GFRA1	0.001108
CBLL1	0.032981
ACTN2	6.87e-09
ERP44	1.51e-05
CDKN2D	1.35e-05
SIGLEC11	1.13e-05
RNF34	0.0056659
DCTN3	0.00034245
LYAR	0.0058658
TMF1	0.034457
PRKD3	0.016614
XPO4	0.0013342
NCOR1	0.002312
GNG2	0.0043536
EPC1	0.00017398
RANBP10	3.07e-06
BIRC2	0.0019713
CD81	0.00072264
DNAI1	0.00081142
CLUAP1	0.026021
ACSL3	0.0057686
SRGAP1	0.00091986
IFITM2	0.00066624
SGTB	0.0029721
ZBTB43	0.018517
PAN3	0.014863
NFATC2	0.0086574
RPS27	0.01885
HDLBP	0.010452
SNX3	0.0032086
UFSP2	0.0020023
ICAM5	0.0029686
GGA2	0.0074246
AZI2	0.0075445
PSMD9	3.21e-07
ROCK2	0.0081789
PLXND1	0.018015
RAB8A	7.23e-05
MYH9	0.012824
LIMK2	0.0022681
TNF	0.0016229
PTPN6	0.0097504
RAF1	0.012018
ZNF148	0.020338
RP2	0.0048654
FLT3LG	0.0012062
DLL4	0.0010503
GATA5	0.0031209
SIN3B	0.0066966
SP100	3.96e-05
SYT4	0.001539
NDRG1	0.04038
PHLDB2	4.73e-05
AKAP11	0.0065045
MCOLN1	0.01296
PTEN	0.017004
CHRM3	0.034856
SNAI1	0.010164
CYBB	0.022693
CMA1	0.048409
SLC25A4	0.0001687
GTF2H1	0.039178
MAPK10	0.0068397
RAPGEF3	8.79e-05
FEZ2	0.032335
ZNF510	0.0087415
JPH2	0.00011845
RABGAP1	0.01697
PTGDR	6.24e-08
NOS1	1e-08
COL13A1	0.00025062
ASGR1	3.31e-05
CSDE1	0.0086027
MTM1	0.047333
AVPR2	1.18e-10
WNT7A	4.05e-06
ANP32A	0.0016442
DUSP22	0.0070432
PEA15	0.026861
HMGB1	0.00047675
SH2D2A	0.047359
PRPF38A	0.00015602
ZBTB2	0.02144
RPS6KA5	0.018022
DGKH	0.0054384
COPS2	0.019612
NASP	0.02618
APOL1	0.013375
MED4	0.016182
ATXN2	0.00094042
BRD4	0.00041852
MTMR12	0.00068201
TPM3	7.43e-05
SMAD2	0.00040143
MID1	0.033745
SIN3A	0.0011087
PDGFA	0.0044267
LANCL1	0.01345
CCNH	0.040182
CPS1	1.04e-05
MAGEH1	0.0093607
STAG1	0.041513
AVPR1A	0.033809
RB1	0.020374
TBC1D1	0.00083454
PCBP1	0.01535
PIM1	0.035648
CDC37	0.012324
PAFAH1B1	0.0015822
YY1	0.00018534
FCAR	0.0040449
ELK3	0.0090505
ZNF365	3.43e-05
EFNB1	0.0022615
LSM3	1.21e-05
GSK3B	0.018431
KPNA4	0.013869
BAIAP2	0.00050837
EPM2AIP1	0.00092042
ACTR1A	1.69e-07
EPHB6	0.028235
CD48	0.030284
ITM2B	0.0002028
TICAM1	0.0057029
PRDM1	0.012809
RXRA	4.53e-05
TOM1L2	0.00030435
KIR3DS1	5e-05
ING5	1.5e-07
CDKN1B	0.0071994
CUTC	0.0036887
ARHGEF18	0.00049782
PYGO1	0.004192
CCND3	0.0059441
IL16	0.0011112
SLC25A3	2.53e-07
HBP1	0.022413
GABBR1	0.0024834
TRIM63	0.0050111
CCNY	0.00062055
TNIP1	0.0011371
PDCL	2.21e-06
TLE1	0.011812
ETHE1	0.010412
APH1B	6.35e-05
RNF138	0.030925
PPP2R2A	0.025769
RAB5B	0.00022935
PDE4D	0.0016168
BNC2	0.027432
RAB33B	0.0092346
RUNX1T1	1.77e-05
HUWE1	0.0014191
SIPA1L1	0.0085822
LAIR1	0.019896
CD226	0.00057444
DMPK	0.00046792
PKN1	0.0051989
ACAA2	7.56e-06
CDC42EP4	0.0027353
PECR	1.01e-05
DDAH2	8.24e-06
GTF2A2	0.0043506
PTPN4	0.0014208
TNFSF13	0.0066353
ILK	7.31e-05
DGKD	0.013775
RBBP6	0.0026839
MTMR10	2.36e-10
KCNA3	0.016631
FTH1	7.66e-06
FCER1A	0.04926
NEO1	0.0029713
FCGRT	0.00085538
SUGT1	0.025485
KCNAB1	5.49e-05
OXSR1	0.0012597
PARD3	0.00094518
CGGBP1	0.010727
LPXN	0.00017621
STRN	3.3e-05
CTDSP1	0.00010465
ZHX2	0.015814
AKTIP	0.019537
LEPROTL1	0.011782
KIF5B	0.0046256
RECQL	0.0047357
VGLL1	0.00021203
TRIM21	2.45e-05
C1QTNF1	0.0080471
ZHX3	2.08e-06
MAML2	0.00089036
PRMT2	0.0011914
RAVER2	0.00024049
RSL24D1	0.032718
GJC1	0.00026591
ARAP1	7.06e-05
CRADD	0.00016424
ZNF559	0.0061651
MAGI3	0.0049584
ORAI1	0.001657
TRA2B	0.004628
TSPO	0.0016347
LCAT	3.52e-05
ELF1	0.0022387
USP8	3.13e-06
TNNI2	4.54e-05
SERTAD3	0.0014274
TNR	4.52e-06
RASSF5	0.048327
PGS1	0.00021899
CPEB1	4.07e-07
ZHX1	0.012824
HSPB7	9.06e-06
UBE2D3	1.76e-06
PPIL4	0.045153
MAFK	1.77e-05
DOCK8	0.005539
ALCAM	0.039138
IFFO1	0.01013
NR1H2	0.0040362
NFASC	2.46e-08
PTPN14	0.0075696
CASP4	0.011996
SMURF2	0.017052
CCR3	0.00082051
MAVS	0.00051366
MAP4K2	3.84e-06
SECISBP2	0.00056455
PTCD3	0.0062357
AXL	0.00032851
SP1	0.015366
CLIP2	0.0031442
DDX21	0.029278
CRLS1	0.007825
LMNA	0.020371
DYNC1LI1	0.00019069
BANK1	0.01646
TACC2	0.00045617
GBP2	0.032968
ATF4	1.81e-05
TBRG1	1.24e-05
RYBP	0.018849
TRIM25	0.00072185
CASP5	0.00025832
TRIB2	0.024087
TNNI3K	0.001475
GTF2B	0.0025593
RHOG	0.0004673
ARID4A	0.0055755
SKI	0.00079795
ANK2	4.61e-08
PDCD6IP	0.0019946
CPNE2	0.0022073
PRDM2	7.58e-06
RGS3	1.21e-05
KIAA0368	5.77e-05
TOPORS	0.0040081
RYR3	0.0010496
TIAM1	0.00021546
