source	target	w
UNC119	ITSN1	0.040766
UNC119	IL5RA	0.012611
UNC119	ARL2	0.0011729
UNC119	MAPK10	0.027718
UNC119	HMGB1	0.063858
UNC119	PHF10	0.091593
UNC119	UBE2B	0.032001
UNC119	TP53BP2	0.04306
UNC119	ZNF24	0.0095963
UNC119	ALDH2	0.011165
UNC119	SERPINB9	5.5916e-05
UNC119	PAPSS1	0.030897
UNC119	HSPB3	0.028482
UNC119	CCL18	0.0041987
UNC119	HCK	8.3945e-05
UNC119	ID2	0.025279
UNC119	CD247	0.000401
UNC119	FYN	0.013623
UNC119	S100A4	0.03765
UNC119	FXYD6	0.032312
UNC119	S100A8	0.026674
UNC119	ANXA3	0.10622
ABCF1	EIF6	0.10045
HSPA9	HSP90B1	9.8003e-05
HSPA9	TP53	0.020077
HSPA9	SUMO4	0.0036617
HSPA9	YWHAG	0.1014
HSPA9	HSPBP1	0.0034666
PRRX2	SOX10	0.14563
LTB	LTA	0.056563
LTB	LTBR	0.018513
LTB	TNFSF14	0.0073325
LTB	TNFRSF1A	0.0078117
SREBF1	UBE2I	0.026097
SREBF1	CREBBP	0.0055003
SREBF1	YY1	0.004129
SREBF1	SP1	0.0083479
SREBF1	LMNA	0.0010443
SREBF1	MAPK1	0.0015902
SREBF1	TWIST2	0.0036371
SREBF1	ID3	0.040344
PPIL2	HSP90AA1	0.01302
HDAC3	HDAC1	0.022717
HDAC3	XPO1	0.036523
HDAC3	GTF2IRD1	0.046509
HDAC3	PPP4C	0.06981
HDAC3	HSPA4	0.0020388
HDAC3	EED	0.0021508
HDAC3	RUNX2	0.016695
HDAC3	CCT5	0.01262
HDAC3	CORO2A	0.0073183
HDAC3	NACC1	0.027911
HDAC3	TP53	7.5544e-06
HDAC3	HR	0.023449
HDAC3	GCM1	0.012792
HDAC3	SUV39H1	0.06342
HDAC3	PPARD	0.0032998
HDAC3	RBBP4	0.0076792
HDAC3	CSNK2A1	0.0057393
HDAC3	DAXX	0.038617
HDAC3	SMYD1	0.015293
HDAC3	CREBBP	0.00024638
HDAC3	HDAC7	0.013812
HDAC3	HDAC5	0.00028392
HDAC3	MAPK11	0.0015026
HDAC3	RELA	0.028397
HDAC3	PIAS2	0.026061
HDAC3	NCOR1	0.038343
HDAC3	RB1	0.036838
HDAC3	YY1	0.015933
HDAC3	RUNX1T1	0.016288
HDAC3	ARID4A	0.042906
HDAC3	NFKBIA	0.015866
HDAC3	GATA2	0.032258
HDAC3	HDAC4	0.014166
HDAC3	JUN	0.022732
HDAC3	PPARG	0.041265
HDAC3	CBFA2T3	0.026247
HDAC3	KLF6	0.050912
TEP1	TP53	0.0028898
TEP1	TERT	0.00056316
UCHL5	ADRM1	0.0020966
UCHL5	HAUS7	0.020772
MAZ	CSNK2A1	0.05174
MAZ	DCC	0.0068418
AP2B1	BUB1B	0.040672
AP2B1	AP1M2	0.058823
AP2B1	MEA1	0.0045721
AP2B1	ACVR1	0.030734
AP2B1	BUB1	0.13711
AP2B1	FAM46C	0.0016756
AP2B1	CLINT1	0.11526
AP2B1	LDLRAP1	0.0070932
AP2B1	TUBGCP4	0.07789
AP2B1	AP2A2	0.0041956
AP2B1	AP1M1	0.013213
AP2B1	TGFBR2	0.012856
AP2B1	ARRB1	0.016966
PDK3	PDHA1	0.020561
SHC1	SHCBP1	0.0104
SHC1	CEACAM1	0.023549
SHC1	MST1R	0.00070824
SHC1	PAK1	0.0098099
SHC1	EPS8	0.0090585
SHC1	EGFR	0.025839
SHC1	GRB7	0.023359
SHC1	KRT18	0.00022679
SHC1	PTK2	0.0059438
SHC1	NPM1	0.035584
SHC1	ITGB4	0.063915
SHC1	PIK3R2	0.052931
SHC1	APP	0.00052651
SHC1	INPPL1	0.0033405
SHC1	RET	0.0027135
SHC1	ALK	0.0045868
SHC1	AP2A2	0.011203
SHC1	SRC	0.055345
SHC1	GRAP	0.0019556
SHC1	FCGR2A	0.0070888
SHC1	FGFR1	0.013385
SHC1	STAT5B	0.00070258
SHC1	GRAP2	0.0081744
SHC1	NTRK2	0.0064248
SHC1	CALCOCO2	0.062059
SHC1	PPP2R5A	0.0003066
SHC1	NTRK3	0.0012808
SHC1	CD81	0.0035145
SHC1	PTPN6	0.0049956
SHC1	AXL	0.0010797
SHC1	SP1	0.016825
SHC1	ZAP70	0.0021565
SHC1	MAPK8	0.00060943
SHC1	MAPK1	0.0062259
SHC1	STAT5A	0.019147
SHC1	FLT4	0.011619
SHC1	CRK	0.0085247
SHC1	IL4R	0.00098424
SHC1	FLT1	2.1112e-07
SHC1	PLCG2	0.034477
SHC1	IL2RB	0.0023798
SHC1	IRS2	0.010608
SHC1	LCP2	0.0052648
SHC1	TPR	0.00066514
SHC1	PIK3R1	0.00061625
SHC1	GAB1	0.00015546
SHC1	PAG1	0.030679
SHC1	RAPGEF1	0.00076128
SHC1	DDR2	0.0011259
SHC1	JAK2	0.0042696
SHC1	GAB2	0.033681
SHC1	CD247	0.012094
SHC1	CSF3R	0.00044886
SHC1	FYN	0.00043023
SHC1	CSF2RB	0.0061991
SHC1	TEK	0.021538
SHC1	KDR	0.0039087
SHC1	GHR	0.025233
SHC1	CDH5	0.0098118
SHC1	MME	0.014615
SYNRG	AP1G1	0.066875
SYNRG	GGA2	0.00034355
MCM6	MCM2	0.12449
MCM6	GMNN	0.055219
MCM6	CDT1	0.064628
MCM6	MCM4	0.049757
MCM6	MCM10	0.1518
MCM6	MCM3	0.13758
MCM6	MCM7	0.08898
MCM6	MCM8	0.064294
MCM6	PSMA1	0.03545
MCM6	ING5	0.00013745
MCM6	CRLS1	0.051041
MCM6	CCNA1	0.0078184
UBAP2L	PLXNA2	0.00068535
FBXO2	AHSG	0.013059
GALNT11	MUC4	0.00012995
BCAN	MMP1	0.037582
BCAN	MMP13	0.060349
BCAN	MMP7	0.018136
BCAN	MMP10	0.031078
BCAN	MMP3	0.012454
BCAN	MMP2	0.023363
BCAN	TNR	0.014231
BMP1	COL1A1	0.12801
BMP1	COL5A2	0.031602
BMP1	COL5A1	0.079877
BMP1	COL7A1	0.053403
BMP1	YLPM1	0.022619
BMP1	ADRA1A	0.00093258
BMP1	LAMA3	0.012114
COPS6	PAFAH1B3	0.11674
COPS6	TK1	0.096049
COPS6	SLC2A1	0.066862
COPS6	MIF	0.1462
COPS6	PAEP	0.0092343
COPS6	CDKN2C	0.07277
COPS6	GPS1	0.088984
COPS6	ERH	0.025496
COPS6	MNAT1	0.04681
COPS6	RPA2	0.045098
COPS6	ROGDI	0.028124
COPS6	HMOX2	0.040176
COPS6	TRIB3	0.016627
COPS6	SERPINA5	0.0028547
COPS6	PMF1	0.041289
COPS6	SNRPG	0.04884
COPS6	PFKL	0.033765
COPS6	TP53	0.01369
COPS6	COX17	0.00069391
COPS6	EMD	0.00014453
COPS6	PBX2	0.0022755
COPS6	QTRT1	0.024418
COPS6	PTEN	0.010488
COPS6	COPS2	0.011653
COPS6	MAP7D1	0.028676
COPS6	ZNF24	0.010101
COPS6	SERPINB9	0.043425
COPS6	NR3C1	0.010223
COPS6	VIM	0.073088
COPS6	S100A10	0.061005
COPS6	ZEB2	0.047483
COPS6	EDN1	0.023023
COPS6	LPL	0.040336
ALB	AGA	0.007019
ALB	LUC7L2	0.020371
ALB	AMBP	0.017128
ALB	PON1	0.028596
ALB	YWHAG	0.00013003
ALB	HNF1A	0.01423
ALB	F7	0.0071863
ALB	FCGRT	0.00039494
ALB	LRP2	0.0012556
ALB	RYR2	0.037923
ALB	NR5A2	0.053867
ALB	RBP4	0.021379
ALB	SRGN	0.021379
XRCC3	FANCG	0.063476
XRCC3	RAD51C	0.00018434
PHYH	TOM1L1	0.075224
PHYH	PEX7	0.080958
PHYH	FKBP4	0.0089502
PHYH	ACSL6	0.0029433
PHYH	F8	0.0025576
TIMM50	PAFAH1B2	0.027994
TIMM50	RAF1	0.04663
ZNF587	SMAD9	0.026817
PSMD1	SMAD1	0.053603
PSMD1	ADRM1	0.1328
PSMD1	TRAF6	0.028661
PSMD1	BAG1	0.00537
PEX7	PHYH	0.080958
PEX7	PEX5	0.0011595
CAPN1	COL3A1	0.021303
CAPN1	COL1A1	0.030338
CAPN1	FHL2	0.0061307
CAPN1	F2RL1	0.0028442
CAPN1	PRMT5	0.018858
CAPN1	ECHS1	0.076159
CAPN1	TP53	0.00343
CAPN1	CAST	0.0018234
CAPN1	GPT	0.0029516
CAPN1	GRIN2B	0.00028231
CAPN1	ACTN2	0.0046812
CAPN1	UFSP2	0.099226
CAPN1	IL1A	0.024898
CAPN1	NFKBIA	8.4325e-05
CAPN1	VIM	0.013075
CAPN1	SYNE1	0.0083736
CAPN1	DES	0.015032
CAPN1	SLIT3	0.013124
CAPN1	SPTBN1	0.011002
CAPN1	PTGDS	0.00078962
HSPA13	UBQLN4	0.10248
ENOPH1	RPS27	0.077393
KRIT1	ITGB1BP1	0.00049014
KRIT1	RAP1A	0.031449
SUPT3H	MYC	0.021635
MAST1	SNTA1	0.040571
MAST1	PTEN	0.012956
ATOX1	ATP7A	0.018525
ATOX1	FKBP4	0.0049222
ITGAV	SPP1	0.040507
ITGAV	AZGP1	0.0050925
ITGAV	THY1	0.087894
ITGAV	MMP14	0.016364
ITGAV	CALR	0.0015808
ITGAV	PTK2	0.00056018
ITGAV	AUP1	0.0037748
ITGAV	ITGB8	0.010365
ITGAV	MMP2	0.00034065
ITGAV	ANGPTL3	0.0014789
ITGAV	CD47	0.027139
ITGAV	ICAM4	0.03953
ITGAV	CYR61	0.00078268
E2F6	EZH2	0.047447
E2F6	E2F1	0.0028068
E2F6	TFDP1	0.027729
E2F6	EPC1	6.929e-05
E2F6	RYBP	0.003865
AHCYL1	ITPR1	0.0025618
HOXB9	MDFI	0.00046528
HOXB9	CREBBP	0.0025475
HOXB9	RBPMS	0.058373
HOXB9	BTG1	0.047926
HOXB9	BTG2	0.03883
CKAP2	YWHAG	0.00075841
SMG5	SMG7	2.2438e-09
SMG5	TERT	0.018372
SMG5	SMG6	0.0083597
BIRC7	CASP3	0.009144
BIRC7	DIABLO	0.014728
COPB1	KDELR1	0.06134
COPB1	UBQLN4	0.045499
COPB1	COPE	0.0037101
COPB1	ARCN1	0.098385
COPB1	PRKCE	0.00108
COPB1	RHOQ	0.021979
COPB1	RGS2	0.02755
COPB1	KCNK3	0.061745
ZNF205	MDFI	0.0012121
ZNF205	UBQLN4	0.10908
ZNF205	CALCOCO2	0.031979
PTPN3	VCP	0.00091441
PTPN3	ZAP70	0.05475
PTPN3	ADAM17	0.023303
PTPN3	CD247	0.064589
ZNF174	ZNF24	0.00012907
PRKCSH	GANAB	0.17859
PRKCSH	PTPRC	0.033244
PRKCSH	RGS2	0.07259
TAF2	TAF12	0.01954
TAF2	TAF6	0.012029
TAF2	TAF4	0.039214
TAF2	TAF8	0.008753
TAF2	TAF1	0.0013761
GRIN2A	DLG3	0.0030574
GRIN2A	CASK	0.018217
GRIN2A	CDK5	0.00049313
GRIN2A	ACTN1	0.0017774
GRIN2A	CAMK2B	0.0018309
GRIN2A	SRC	0.00088382
GRIN2A	DLG2	0.0054479
GRIN2A	GRIN3A	0.0009384
GRIN2A	AP1M1	0.0069242
GRIN2A	IL16	0.059449
GRIN2A	PTPN4	0.00256
GRIN2A	RGS3	2.5739e-07
GRIN2A	FYN	0.0045254
VRK1	TP53	0.0071476
CBX5	MKI67	0.024346
CBX5	CBX3	0.0026467
CBX5	DNMT3B	0.0015031
CBX5	TRIM24	0.0033125
CBX5	CBX1	0.013236
CBX5	SMARCA4	0.01881
CBX5	LBR	0.00026646
CBX5	CHAF1A	0.033064
CBX5	SUV39H1	0.001529
CBX5	TAF4	0.0060801
CBX5	XRCC6	0.0025789
CBX5	HDAC5	0.025805
CBX5	MIS12	0.0038143
CBX5	HDAC4	0.023643
HMGXB4	HABP4	0.0023868
EIF4G3	PABPC1	0.038794
E2F1	CDKN2A	0.051137
E2F1	CDK1	0.055587
E2F1	CCNA2	0.044595
E2F1	PARP1	0.12832
E2F1	CHEK2	0.03302
E2F1	MNAT1	0.0053108
E2F1	BRCA1	0.064135
E2F1	CDK7	0.001439
E2F1	ATR	4.3283e-05
E2F1	TRRAP	0.018708
E2F1	TP53	0.0019182
E2F1	E2F6	0.0028068
E2F1	TFDP1	0.011478
E2F1	TOPBP1	0.001998
E2F1	PHB	0.026826
E2F1	CEBPE	0.015973
E2F1	CREBBP	0.0010151
E2F1	KAT5	0.002349
E2F1	GTF2H1	0.023613
E2F1	RB1	0.031803
E2F1	GSK3B	0.029111
E2F1	SP1	0.032335
E2F1	NFKB1	0.016802
E2F1	CCNA1	0.0259
E2F1	PURA	0.045086
E2F1	NDN	0.084582
E2F1	NPDC1	0.01268
B3GNT4	GOLM1	0.043539
POP5	POP4	0.10515
MECR	HNF4A	0.026852
MECR	RXRA	0.01108
MECR	THRB	0.0041722
FANCE	FANCG	0.023788
FANCE	FANCA	0.01978
FANCE	FANCD2	0.022685
HR	HDAC1	0.054345
HR	VDR	0.03403
HR	HDAC3	0.023449
HR	HDAC5	0.0018466
HR	HMGB1	0.0093732
BUB3	BUB1B	0.098448
BUB3	HDAC1	0.060683
BUB3	PARP1	0.027706
BUB3	BUB1	0.0737
FGD1	CTTN	0.025937
FGD1	ELMO1	0.0045473
FBLIM1	FLNB	0.020214
FBLIM1	FERMT2	3.7497e-08
FHIT	FDXR	0.036593
FHIT	UBE2I	0.0035335
FHIT	SRC	0.0039047
TCEB2	TCEB3	0.035726
TCEB2	LRRC41	0.0016726
TCEB2	SOCS3	0.12669
CSNK2B	CDK1	0.042399
CSNK2B	CHEK1	0.058873
CSNK2B	SHMT2	0.08952
CSNK2B	BRCA1	0.033975
CSNK2B	TP53	0.023565
CSNK2B	COIL	0.0086621
CSNK2B	ZNHIT1	0.022679
CSNK2B	FIBP	0.094097
CSNK2B	RNF7	0.015139
CSNK2B	CSNK2A1	0.020095
CSNK2B	CDK20	0.015177
CSNK2B	CDC34	0.03454
CSNK2B	PRNP	0.0016985
CSNK2B	NCF1	0.0218
CSNK2B	PRKCZ	0.0075657
CSNK2B	CDKN1A	0.015481
CSNK2B	CD163	0.0036643
CSNK2B	FGF2	0.044276
CSNK2B	MME	0.050001
ZBTB7B	GRAP2	3.1113e-05
POLD1	PCNA	0.00755
POLD1	CHGB	0.0015321
POLD1	POLD2	0.16789
POLD1	WRNIP1	0.0014501
ATG12	PTK2	2.4569e-05
ATG12	MDFI	0.056853
ATG12	ATG7	0.00043115
CIAPIN1	GLRX3	0.048084
C1QBP	MMP14	0.030132
C1QBP	COIL	0.022509
C1QBP	YWHAG	0.020207
C1QBP	HABP4	0.017391
C1QBP	PRKD1	0.0061368
C1QBP	MAPK1	0.028525
C1QBP	NFYB	0.022612
C1QBP	GAB1	0.01036
C1QBP	PRKCZ	0.084881
C1QBP	C1QA	0.00050851
UCN	LEP	0.0098173
UCN	CRHBP	0.0011136
GRIN2D	NANOS1	0.0013628
GRIN2D	INA	0.0013648
GRIN2D	CDH2	0.009609
GRIN2D	DLGAP4	0.014821
GRIN2D	DLG2	0.01282
GRIN2D	RAP2A	0.059985
GRIN2D	PRKCE	0.039897
GRIN2D	IL16	0.010478
GRIN2D	PPP2R2A	0.019796
GRIN2D	HNRNPU	0.087715
GRIN2D	PRKCB	0.0042437
GRIN2D	MAP2	0.045401
GRIN2D	TJP1	0.048574
FOXP4	FOXP1	0.0018672
AGRN	GFI1B	0.018594
OGT	NUP62CL	0.0090577
OGT	CSNK2A1	0.011011
OGT	HCFC1	0.0024473
OGT	SRF	0.019044
OGT	SIN3A	0.0044953
OGT	GSK3B	0.024601
OGT	SP1	0.02007
OGT	TRAK2	0.0045741
MAGEA1	HDAC1	0.0098902
MAGEA1	TRIM31	0.0002041
COX17	TP53	0.0077104
COX17	UNC119	0.00043384
COX17	COPS6	0.00069391
COX17	KATNAL1	0.0085352
COX17	PPBP	0.0016899
SCAMP5	SLC9A7	0.0018828
TFR2	HFE	0.0021083
TMED1	IL1RL1	0.05785
RARS	EPRS	0.0072694
PSMC4	PSMD10	0.0039411
PSMC4	PSMC5	0.050173
ASPM	PLK1	0.068906
PPP1R9A	PPP1CA	0.0026781
PSMC6	PSMD9	0.0082172
PSMC6	CRK	0.0020784
SUN1	TSNAX	0.0088959
CCL26	CCR3	0.00091471
CCL26	CCR1	5.1039e-06
TTF2	KIF4A	0.093338
TTF2	PRDX4	0.060163
TTF2	MYBL2	0.020508
TTF2	TACC3	0.01274
TTF2	SMAD1	0.03171
TTF2	MATR3	0.0059414
TTF2	CLPB	0.0020969
TTF2	TNIP1	0.071463
TTF2	PDCD6IP	0.0012037
TTF2	DCP1A	0.00015458
TTF2	SMAD7	6.2647e-05
TUFM	MYH9	0.01347
H2AFX	BRCA1	0.0027056
H2AFX	PPP1CA	0.11499
NR2F6	NR2F2	0.011897
NR2F6	NR3C1	0.0020792
NR2F6	THRB	0.016372
NR2F6	NCOA1	0.046458
NR2F6	ANGPTL1	0.0049334
HNF1B	HNF1A	0.021742
HNF1B	CREBBP	0.0076251
HNF1B	ATF1	0.090625
DVL3	VANGL1	0.02841
DVL3	PITX1	0.0036453
DVL3	KLHL12	0.013661
DVL3	ZNF408	3.8165e-06
DVL3	CSNK1D	0.03083
DVL3	PRPF3	0.017417
DVL3	ZBTB48	0.0031743
DVL3	CSNK2A1	0.0023383
DVL3	DVL1	0.00011065
DVL3	CCNK	0.033477
DVL3	PPP2CA	0.009225
DVL3	TNFAIP8L1	0.0052536
TMEM161A	NR1H2	0.00054404
NUDC	PLK1	0.026003
NUDC	PAFAH1B1	0.061367
BNIP1	STX18	0.0024198
BANF1	EMD	0.0016745
ANTXR1	BRCA1	0.028304
ILF3	XPO5	0.069157
ILF3	TRIP6	0.0073084
ILF3	MDFI	0.098029
ILF3	NDRG1	0.0070891
PRDX2	SUMO4	0.027699
OCRL	GOLGA5	0.042473
OCRL	RAB8A	0.0062544
STMN1	CDK1	0.11656
STMN1	UHMK1	0.0031533
STMN1	HSPA5	0.011039
STMN1	UBQLN4	0.016258
STMN1	CSNK2A1	0.00052588
STMN1	CDKN1B	0.010317
ACTN1	COL17A1	0.018921
ACTN1	CDK5	0.0061707
ACTN1	MED14	0.00038282
ACTN1	PTK2	0.00042301
ACTN1	GRIN2A	0.0017774
ACTN1	COIL	0.0044148
ACTN1	XRCC4	0.017218
ACTN1	RAVER1	0.15383
ACTN1	PYGB	0.060137
ACTN1	PLD2	0.11197
ACTN1	SRC	0.028221
ACTN1	GRIA4	0.0011635
ACTN1	GFI1B	0.017077
ACTN1	MYOZ2	0.0052514
ACTN1	MYOT	0.034657
ACTN1	PTPN6	0.0049868
ACTN1	ATXN2	0.0008023
ACTN1	PKN1	0.047288
ACTN1	MYOZ1	0.0019998
ACTN1	VCL	0.011363
ACTN1	PALLD	0.012909
ACTN1	CSRP1	0.00061117
ACTN1	ZYX	0.046166
ACTN1	FBP1	0.0067318
ACTN1	PDLIM1	0.001444
ACTN1	KAT2B	0.093903
ACTN1	NEBL	0.067644
ACTN1	CLIC5	0.022734
NOP2	NPM1	0.0022843
CRB3	PARD6A	0.03652
PTPRK	TK1	6.1512e-07
PTPRK	JUP	0.011042
PTPRK	PTPRM	0.0010435
ACHE	APP	0.010425
ACHE	LAMA1	2.2088e-06
ACHE	LAMB1	0.074791
SYNCRIP	EPRS	0.066502
SYNCRIP	SYT2	0.00028279
SYNCRIP	SYT1	0.0056882
SYNCRIP	PABPC1	0.00392
SYNCRIP	SYT4	0.0036825
SYNCRIP	CSDE1	0.0014588
SYNCRIP	SYT11	0.00076898
COIL	DNAJA3	0.031398
COIL	CCNE1	0.012506
COIL	MAD1L1	0.0088326
COIL	BYSL	0.011353
COIL	WDYHV1	0.041146
COIL	NIF3L1	0.08204
COIL	CSNK2B	0.0086621
COIL	C1QBP	0.022509
COIL	ACTN1	0.0044148
COIL	PSMA1	0.10934
COIL	SNX6	0.033888
COIL	ZBTB25	0.0044806
COIL	PICK1	0.0008755
COIL	DHX16	0.0020035
COIL	SCYL1	0.00031522
COIL	KLC2	7.0518e-05
COIL	CCDC136	8.2454e-05
COIL	KALRN	9.6179e-05
COIL	FXR2	0.037822
COIL	ACTN2	0.048037
COIL	KPNA3	0.0022618
COIL	MYO5B	9.9874e-06
COIL	FHL5	0.010062
NIP7	ZBED1	0.0033295
ALDH5A1	ABAT	0.041246
ANAPC11	UBE2C	0.15991
GLRX3	CIAPIN1	0.048084
GLRX3	NADK	0.042585
GLRX3	EFEMP2	0.028994
GLRX3	ADAMTSL4	0.035389
GLRX3	PRKCZ	0.06537
GLRX3	PRKCQ	0.027667
DDB1	DTL	0.0011877
DDB1	ERCC8	1.972e-05
DDB1	DCAF11	0.056518
DDB1	LMO4	0.048633
DDB1	VAMP3	0.023728
CIAO1	GOLM1	0.051446
CKM	FHL2	0.026718
CKM	TRIM54	0.064944
CKM	TRIM63	0.0014011
CKM	MYOM2	0.026147
CKM	MYOC	0.016029
ERCC8	CBR1	0.029953
ERCC8	DDB1	1.972e-05
ERCC8	ERCC6	0.038669
CSTF3	CSTF2	0.082825
CSTF3	CSTF1	0.018837
DNAJC7	HUS1	0.0074333
DNAJC7	RAD1	0.0080554
DNAJC7	HSP90AA1	0.00050047
DNAJC7	SMAD2	0.014836
DNAJC7	SMAD9	0.048256
TRIM62	SMAD2	0.0053608
PRCC	MAD2L2	0.10066
GTF3A	GTF3C2	0.0090979
GTF3A	OPTN	0.0034404
MDFI	SIX1	0.0035774
MDFI	AQP5	0.00051202
MDFI	SLC9A1	0.04828
MDFI	CPSF3L	1.4939e-06
MDFI	FASTK	0.00076198
MDFI	WDYHV1	0.021482
MDFI	MCM5	0.0090232
MDFI	AASDHPPT	0.068603
MDFI	ZNF581	0.0018203
MDFI	HOXA1	0.002956
MDFI	FZD9	0.0086602
MDFI	HOXB9	0.00046528
MDFI	ZNF205	0.0012121
MDFI	ATG12	0.056853
MDFI	ILF3	0.098029
MDFI	ZNF607	0.026918
MDFI	ZNF408	0.020237
MDFI	PGLS	0.0045652
MDFI	LASP1	6.9954e-05
MDFI	ZBTB25	0.032934
MDFI	TCF3	0.0010624
MDFI	CBFA2T2	0.0016299
MDFI	ZNF764	0.023482
MDFI	ZNF646	0.022638
MDFI	CCDC120	0.0043595
MDFI	TRAF3IP2	0.001565
MDFI	ZNF439	0.00042285
MDFI	ZNF559	0.00026469
MDFI	NR1H2	0.0019516
MDFI	RFX2	0.00022352
MDFI	PHLDA1	0.015414
MDFI	CRY1	0.00018357
MDFI	ZBTB24	0.0018301
MDFI	GNAI2	0.0058279
MDFI	LRRN4	0.029867
MDFI	NPDC1	0.00026955
MDFI	GPRIN2	0.067448
MDFI	TRPC1	1.1986e-05
MDFI	AQP1	0.0032445
CSE1L	CDH1	0.00035862
CSE1L	KPNA6	0.03315
CSE1L	YWHAG	0.021563
CSE1L	RPL22	0.026978
RBBP8	PCNA	0.048823
RBBP8	BARD1	0.096908
RBBP8	WDYHV1	0.039266
RBBP8	BRCA1	0.07371
RBBP8	CTBP1	0.00014422
RBBP8	FXR2	0.01494
RBBP8	RB1	0.017742
RBBP8	LMO4	0.031446
RBBP8	LMO2	0.014497
ZNHIT1	TP53	0.0037383
ZNHIT1	CSNK2B	0.022679
ZNHIT1	MAPK11	0.0041097
TRPV4	MAP7	0.046487
TRPV4	PACSIN3	0.017227
TRPV4	SRC	0.065473
TRPV4	PACSIN1	0.032469
TRPV4	HCK	0.0014977
TRPV4	FYN	0.020041
HFE	TFR2	0.0021083
HFE	B2M	0.00062553
MAD2L2	CDC20	0.042221
MAD2L2	MAD2L1	0.078417
MAD2L2	CDH1	0.038774
MAD2L2	PRCC	0.10066
MAD2L2	ADAM17	0.0039913
MAD2L2	REV3L	0.080653
COG7	COG4	0.11236
FANCA	CDK1	0.029658
FANCA	FANCG	0.076716
FANCA	BRCA1	0.023487
FANCA	SMARCA4	0.036454
FANCA	FANCE	0.01978
FANCA	AKT1	0.0020621
USP5	DVL2	0.064713
USP5	RNF11	0.028298
GYS1	GYG2	0.019842
GYS1	CSNK2A1	0.0018222
GYS1	GSK3B	0.037514
DIABLO	BIRC5	0.064737
DIABLO	XIAP	0.0018189
DIABLO	BIRC7	0.014728
DIABLO	LTBR	0.017826
DIABLO	BIRC2	0.018814
DIABLO	BIRC3	0.017235
ATXN7L3	UCHL3	0.0031055
ATXN7L3	PICK1	0.07928
ATXN7L3	SECISBP2	7.6436e-05
ATXN7L3	SERTAD1	0.035209
PCBP3	PTBP1	0.10051
ZBTB33	NCOR1	0.00030853
NEK8	ACVR1	0.049277
SSSCA1	CCT5	0.073847
SSSCA1	TRAPPC6A	0.061556
SSSCA1	VTA1	0.015593
SSSCA1	CCT7	0.072243
SSSCA1	FXR2	0.00029631
SSSCA1	CCNH	0.00013972
SSSCA1	IL16	0.0055935
LLGL1	STX4	0.026441
HSF4	SLC27A5	0.042447
HSF4	MAPK8	0.051638
HSF4	MAPK1	0.047706
TRAIP	CYLD	0.020231
TRAIP	TNFRSF1B	0.014229
FHL3	FHL2	0.042206
FHL3	AIMP2	0.046471
FHL3	CDC42EP1	0.017506
FHL3	TRIP6	0.0096582
FHL3	LASP1	0.050795
FHL3	PHC2	0.078116
FHL3	SRF	0.010037
FHL3	MAPK1	0.022669
FHL3	ADAMTSL4	0.0047511
SIRT3	PEX5	0.01559
OSGEP	MUC1	0.025989
OSGEP	OPTC	0.015623
EIF2B3	GOLM1	0.039123
EIF2B3	EIF2S1	3.4569e-05
EIF2B3	STC2	1.4905e-05
CHMP4B	CHMP4C	0.019935
CHMP4B	UBE2I	0.019816
CHMP4B	PIAS2	0.01687
CHMP4B	PDCD6IP	0.00081834
CHMP4B	CHMP1B	0.013086
CHD4	HDAC1	0.0051184
CHD4	TRIM27	0.017619
CHD4	SMARCA4	0.12966
CHD4	ATR	0.011195
UROS	UBQLN4	0.013929
VPS26B	VPS35	0.043955
ZMYND8	ZFYVE9	0.010305
ZMYND8	PRKCB	0.017329
DLG5	DLST	0.022667
DLG5	CD81	0.0067219
DLG5	ABCA1	0.11144
DLG5	SORBS3	0.076211
KPNA6	BRCA1	0.00803
KPNA6	CSE1L	0.03315
KPNA6	ANP32A	0.0054813
XPOT	HDLBP	0.027655
XPOT	RANBP2	0.00061317
SIVA1	CD27	2.4557e-05
PIP5KL1	PIP5K1B	0.0093566
HIST3H2A	RPS6KA5	0.0079687
IRF3	IRF7	0.078221
IRF3	GRIP1	0.012947
IRF3	PPIB	0.015653
IRF3	IKBKE	0.087662
IRF3	SYT1	0.028283
IRF3	PRDX1	0.0048996
IRF3	CREBBP	0.0002473
IRF3	RELA	0.00059144
IRF3	TICAM1	0.011549
IRF3	SMURF2	0.062803
IRF3	MAVS	0.019565
IRF3	SERPINB2	0.019117
SNF8	VPS25	0.15963
SNF8	NIF3L1	0.050396
SNF8	DVL2	0.032316
SNF8	VPS36	0.018248
SERBP1	PIAS3	0.0061274
SERBP1	DAXX	0.0024248
SERBP1	TOPORS	0.0023501
SERBP1	VIM	0.013135
SERBP1	PIAS1	0.039776
MAD2L1BP	KRT15	0.031002
MAD2L1BP	MAD2L1	0.12261
MAD2L1BP	TRIP13	0.04735
MAD2L1BP	SETDB1	0.0317
MAD2L1BP	TP53	0.02815
MAD2L1BP	KAT5	0.01284
BET1L	YKT6	0.091626
CNP	TUBA1A	0.0034252
SMARCB1	XPO1	0.025852
SMARCB1	SMARCA4	0.13838
SMARCB1	YEATS4	0.010906
SMARCB1	TP53	0.0019219
SMARCB1	UBQLN4	0.036053
SMARCB1	SRC	0.11624
SMARCB1	RB1	0.019557
SMARCB1	TACC2	0.00012293
SMARCB1	MECP2	0.033352
SMARCB1	NR3C1	0.015402
SMARCB1	CEBPB	0.021173
