source	target	weight
DNMT1	DAXX	0.054369
DNMT1	RB1	0.0076399
DNMT1	DMAP1	1.1972e-05
ITM2C	STT3A	0.10627
ITM2C	RNF7	0.028201
ITM2C	FURIN	0.0098173
ITM2C	MTNR1B	0.0072341
CBX4	RNF2	2.5789e-05
CBX4	CTBP1	0.0031622
CBX4	RB1	0.017943
CBX4	FHL1	0.061396
PTGES	PTGER1	0.013401
PTGES	PTGER2	0.005147
PRPF19	DNTT	0.024461
GRHL2	GRHL3	0.056763
AVEN	SMURF1	0.039386
AVEN	BCL2L1	0.0074174
AVEN	APAF1	0.0035964
GFPT1	PRKCA	0.013293
PIGU	GPAA1	0.10204
ATAD5	RAD9A	0.035492
POLR2D	POLR2H	0.19905
POLR2D	POLR2G	0.14141
POLR2D	POLR2K	0.029955
POLR2D	POLR2E	0.024143
POLR2D	ATF7IP	0.01419
POLR2D	POLR2B	0.05998
POLR2D	ESR1	0.00030675
POLR2D	POLR2L	0.015145
POLR2D	NR5A2	0.040338
SPAST	SSNA1	0.00053037
SPAST	RTN1	0.013911
ACVR1C	INHBB	0.0039402
HSPB1	EIF4G1	0.045875
HSPB1	TP53	0.00073392
HSPB1	MAPKAPK2	0.01473
HSPB1	DAXX	1.4731e-08
HSPB1	MAPKAPK5	0.0017928
HSPB1	CRYGC	0.013009
HSPB1	PPA1	0.00034427
HSPB1	TGM1	0.014897
HSPB1	MAPKAPK3	0.0046849
HSPB1	NFKBIA	0.0052572
HSPB1	TGFB1I1	4.7938e-05
HSPB1	CRYAB	0.00045357
HSPB1	HSPB8	0.013906
KCND2	NCS1	0.036025
KCND2	KCNIP4	0.023604
KCND2	FLNC	0.00046519
KCND2	IL16	0.050346
LSM4	SNRPE	0.10754
LSM4	CALCOCO2	0.069327
PIR	NFIX	0.0038521
PIR	SMAD9	0.0052621
VANGL2	MAGI3	0.018085
CARM1	PABPC1	0.049648
CARM1	SRCAP	0.016472
CARM1	CREBBP	0.00090493
CARM1	EP300	0.0015287
CARM1	RABGAP1	0.0073096
CARM1	FLII	0.013783
CARM1	NCOA1	0.015982
DUSP4	GRIN2D	1.9088e-07
DUSP4	MAPK14	0.0011566
DUSP4	GRIN1	0.00028027
DUSP4	MAPK3	0.0025617
DUSP4	MAPK9	0.0027227
LSM7	LSM2	0.16384
LSM7	LSM5	0.092131
LSM7	LSM1	0.047209
LSM7	SNRPD3	0.14622
LSM7	NAA38	0.066803
LSM7	EXOSC8	0.020413
LSM7	MYH13	0.010743
LSM7	LSM3	0.00013424
LSM7	NPY1R	0.0521
LSM7	TACC1	0.1027
ENO1	YWHAZ	0.11945
ENO1	SUMO4	0.047924
ENO1	PLG	0.0053951
ENO1	MYOC	0.082675
ENO1	AGTPBP1	0.086097
STAT1	MDK	0.020321
STAT1	BRCA1	0.03391
STAT1	XPO1	0.01879
STAT1	MCM3	0.024183
STAT1	CSE1L	0.016364
STAT1	MCM5	0.038158
STAT1	GTF2I	0.030194
STAT1	FADD	0.027222
STAT1	PRMT1	0.011539
STAT1	PTK2	0.00015135
STAT1	EGFR	0.0022619
STAT1	HSF1	0.0002833
STAT1	SUMO4	0.044086
STAT1	MAPK14	0.023645
STAT1	STAT2	0.04145
STAT1	SRC	0.001971
STAT1	FANCC	0.0090907
STAT1	CREBBP	0.048694
STAT1	CAMK2G	0.0057627
STAT1	CAMK2D	0.00044141
STAT1	DUSP3	0.00077501
STAT1	EP300	0.0063756
STAT1	AKT1	1.4408e-05
STAT1	JAK1	0.000714
STAT1	IL27RA	0.0088328
STAT1	FLT1	0.017229
STAT1	IL2RG	0.07567
STAT1	PDGFRB	0.0088398
STAT1	STAT3	0.0055556
STAT1	TNFRSF1A	0.004643
STAT1	IRF2	0.0013552
STAT1	SYK	0.0089331
STAT1	RPS6KA5	0.0042058
STAT1	IL2RB	0.073455
STAT1	CCR5	0.060938
STAT1	BMX	0.016517
STAT1	JAK2	0.01407
STAT1	JUN	0.0095765
STAT1	PRKCD	2.5349e-07
STAT1	STAT5A	0.00038098
STAT1	PIAS1	0.015788
STAT1	IFNGR1	0.0017204
STAT1	FYN	0.0022379
STAT1	LMO2	0.011254
STAT1	TNFRSF1B	0.00029902
STAT1	KIT	0.0037779
STAT1	CCR1	0.0032454
STAT1	IRF1	0.010064
STAT1	CSF2RB	0.011135
STAT1	KDR	0.010411
STAT1	FOS	0.0056603
DPP3	ATP5C1	0.042624
UCHL3	ATXN7L3	0.031841
UCHL3	NEDD8	0.026579
SNRPC	SNRNP70	0.031879
CDK5R1	CDK16	0.073006
CDK5R1	CDK5	0.067215
CDK5R1	PAK1	0.08131
CDK5R1	CAPN1	0.010376
CDK5R1	CDK5RAP1	0.036315
CDK5R1	SET	0.034055
CDK5R1	AMPH	0.005658
CDK5R1	ACTN1	0.00021071
CDK5R1	CDK5RAP2	0.014488
CDK5R1	CDK5RAP3	1.12e-05
CDK5R1	TSC22D4	0.0032711
CDK5R1	TTBK1	0.048358
CDK5R1	CAMK2A	0.01866
CDK5R1	CAPN2	0.11761
CDK5R1	CHN1	0.013263
CDK5R1	NES	0.035548
CDK5R1	STXBP1	0.034554
LECT1	FURIN	0.0099085
CHGA	SCG3	0.071127
CHGA	PLG	0.039378
EIF4G1	NCBP2	0.13424
EIF4G1	HSPB1	0.045875
EIF4G1	EIF3B	0.096668
EIF4G1	PAK2	0.12041
EIF4G1	NCBP1	0.052858
EIF4G1	EIF3I	0.056031
EIF4G1	PABPC1	0.042177
EIF4G1	EIF4A2	0.0039224
EIF4G1	PDCD4	0.022299
EIF4G1	EIF3A	0.01257
EIF4G1	MKNK1	0.0023734
EIF4G1	ANXA5	0.063171
TPD52L1	TPD52	0.016348
TPD52L1	HDAC1	0.053107
TPD52L1	YWHAZ	0.01455
TPD52L1	EIF3J	0.03046
TPD52L1	GPR135	0.00043666
TPD52L1	MAL2	0.0012728
TPD52L1	MAP3K5	0.00081106
IARS	EPRS	0.12915
IARS	GARS	0.11302
POLE	PCNA	0.14182
POLE	TOPBP1	0.092523
POLE	XRCC5	0.037373
POLE	POLA1	0.038931
H2AFZ	INCENP	0.05425
MEA1	AP2B1	0.0087603
SMS	EZH2	0.054969
FNTB	CENPF	0.08295
FNTB	HRAS	0.0060818
FNTB	FNTA	0.032712
FNTB	RAP2A	0.00077917
FNTB	RRAS2	0.014816
ISG15	USP18	0.068804
CRLF1	CLCF1	0.0078048
TAF6	TAF2	0.061791
TAF6	GTF2E1	0.027518
TAF6	TAF12	0.016673
TAF6	TAF4	0.030261
TAF6	TAF5	0.016281
TAF6	TAF11	0.030016
TAF6	TAF8	0.038441
TAF6	TAF1	0.011216
TAF6	SH3KBP1	0.040603
MUC16	MSLN	0.0060233
PAK1IP1	PAK1	0.038315
PAK1IP1	SMURF1	0.011986
LAX1	ZAP70	0.061525
LAX1	SYK	0.016066
SPTBN2	ACTR1A	0.018626
SPTBN2	UNC13B	0.053351
CXCL6	CXCR1	0.00737
CXCL6	CXCR2	0.0027453
PSME3	CASP3	0.028825
PSME3	COIL	0.050188
PSME3	ATP5B	0.15286
PSME3	CASP6	0.00037438
PSME3	TP53	0.021768
PSME3	NCOA3	0.0053952
PSME3	ADAP1	0.010344
PSME3	ITPKB	0.022013
PSME3	CASP7	0.012596
PSME3	BBS2	0.046836
TRIM16	SETDB1	0.00019395
STYXL1	TGFBR1	0.015983
MNAT1	MCM7	0.049249
MNAT1	BRCA1	0.061989
MNAT1	E2F1	0.014407
MNAT1	COPS6	0.078039
MNAT1	GTF2E2	0.058353
MNAT1	MTA1	0.025494
MNAT1	TP53	0.0013696
MNAT1	CDK7	0.028096
MNAT1	ERCC3	0.039066
MNAT1	POU2F1	0.0066273
MNAT1	POU2F2	0.0027458
MNAT1	ESR1	0.00097192
MNAT1	RB1	0.0063815
MNAT1	EEF1A1	0.016316
KDM1A	HDAC1	0.13928
KDM1A	UNC119	0.037716
KDM1A	SETDB1	0.054476
KDM1A	IMMT	0.12337
KDM1A	ATP5J2	0.011242
KDM1A	PHF21A	0.045425
KDM1A	GDF9	0.0041685
KDM1A	HIST3H3	0.009007
KDM1A	RCOR1	0.00012331
PFDN2	PFDN4	0.11586
PFDN2	VBP1	0.069086
PFDN2	PFDN1	0.0050823
PFDN2	MAP3K3	0.11552
GRB7	SHC1	0.014283
GRB7	PTK2	0.037844
GRB7	RET	0.00085764
GRB7	EGFR	0.0070808
GRB7	INSR	0.0044828
GRB7	PDGFRB	0.012176
GRB7	CALM1	0.001522
GRB7	MAP3K14	0.028481
GRB7	KIT	0.00016616
GRB7	TEK	0.031375
GRB7	RND1	0.002141
GRB7	CAV1	0.027704
CBX3	MKI67	0.18017
CBX3	CBX1	0.14933
CBX3	TRIM28	0.045717
CBX3	CBX5	0.071319
CBX3	TRIM24	0.046816
CBX3	HIST1H1E	0.032904
CBX3	TAF4	0.073146
CBX3	LBR	0.068394
CBX3	HIST3H3	0.01364
CBX3	PIM1	0.014772
CBX3	SP100	0.01731
NSUN2	AURKB	0.12392
PNOC	OPRL1	0.013773
XPOT	RAN	0.15097
XPOT	XPO7	0.00034817
XPOT	HDLBP	0.00098609
XPOT	NUP214	0.0038697
XPOT	RANBP2	0.00097079
PGAM1	ARL4D	0.041075
PGAM1	PKP4	0.0024589
PGAM1	XRCC6	0.0068777
CCL19	CXCL13	0.14741
CCL19	CCR10	0.012119
MAP1B	GABRR1	0.017132
MAP1B	STRAP	0.029444
MAP1B	GAN	0.01752
MAP1B	U2AF2	0.0042755
MAP1B	DYNLL1	0.0056416
MAP1B	STAU1	0.0018101
MAP1B	GABRR2	0.0037992
MAP1B	MAP1A	0.01648
MAP1B	ACTB	0.024946
MAP1B	PAFAH1B1	0.0022893
MAP1B	NXF1	0.019019
MAP1B	RASSF1	0.032742
SMARCC1	CCNE1	0.088133
SMARCC1	FANCA	0.1002
SMARCC1	SMARCA4	0.11791
SMARCC1	SIN3A	0.0024586
SMARCC1	SMARCD3	0.017912
SMARCC1	CEBPB	0.042638
SMARCC1	NR3C1	0.10415
PPIH	PRPF4	0.13485
ZNHIT3	HNF4A	0.00063746
ZNHIT3	RXRA	0.033521
ZNHIT3	THRB	0.07679
NOP2	NPM1	0.11912
NOP2	PTPRJ	0.0040098
AKR1C3	ACIN1	0.006136
AKR1C3	UBE2W	0.003915
AKR1C3	ZHX1	0.0004441
CENPO	NECAB2	0.078783
ST14	PLAU	0.029621
ST14	F2RL1	0.039368
ST14	HGF	0.0087248
GSS	GSTZ1	0.1088
NUP210	CDK1	0.086917
NUP210	EXOSC5	0.067551
SRPX2	PLAUR	0.038873
GPS1	SKP2	0.067625
GPS1	COPS6	0.099176
GPS1	COPS5	0.013403
GPS1	COPS3	0.0076319
GPS1	TP53	0.022289
GPS1	COPS8	0.018731
GPS1	CUL1	0.018636
GPS1	CUL2	0.022888
GPS1	SKP1	0.0091156
GPS1	CUL3	0.0476
POLR2I	POLR2H	0.18778
YIF1A	SLC34A1	0.035331
CALML5	TGM3	0.02119
TARS	NDRG1	0.014028
EEF1E1	ATR	0.047134
PKP2	DSP	0.078485
PKP2	KRT5	0.018709
PKP2	DSG2	0.063847
PKP2	JUP	0.02088
PKP2	DSC2	0.0284
PKP2	YWHAG	0.039136
PKP2	KRT18	0.014256
PKP2	POLR3A	0.0013264
PKP2	DSG1	0.0086075
PKP2	DSC1	0.0014841
PKP2	MARK3	0.0018759
PKP2	SMAD9	0.018418
TMED2	GORASP2	0.019974
TMED2	ARFGAP1	0.00014255
TMED2	COPA	0.075976
TMED2	GOLGA2	0.0094201
TMED2	GORASP1	0.012138
TMED2	ARF1	0.086227
SNRPE	LSM2	0.065803
SNRPE	SNRPG	0.19267
SNRPE	SNRPF	0.1485
SNRPE	LSM5	0.15695
SNRPE	LSM4	0.10754
SNRPE	GEMIN7	0.055092
SNRPE	WDR77	0.077051
SNRPE	SNRPD3	0.044874
SNRPE	STRAP	0.043615
SNRPE	LSM3	0.00031658
FANCA	CDK1	0.15186
FANCA	FANCG	0.17038
FANCA	BRCA1	0.21365
FANCA	SMARCC1	0.1002
FANCA	FANCE	0.063962
FANCA	SMARCA4	0.05616
FANCA	SNX5	0.034135
FANCA	FANCC	0.017752
FANCA	IKBKB	0.01333
FANCA	AKT1	0.011906
FANCA	SMARCD3	0.048963
FANCA	SPTAN1	0.03825
SNRPA1	NCBP1	0.084156
SNRPA1	SNRPB2	0.067569
YEATS4	SMARCB1	0.018454
YEATS4	TFAP2B	0.01414
YEATS4	PFDN1	0.0040457
YEATS4	TACC2	0.020375
YEATS4	TACC1	0.083381
TNFRSF18	TRAF2	0.052318
CTTN	DNM1	0.027907
CTTN	FGD1	0.028881
CTTN	HAX1	0.029213
CTTN	ANKZF1	0.049308
CTTN	HIP1R	0.035081
CTTN	CTNND2	0.0039155
CTTN	WASL	0.016931
CTTN	KCNA2	0.014697
CTTN	SRC	0.013107
CTTN	FER	0.025809
CTTN	WIPF1	0.024487
CTTN	SYK	0.017734
CTTN	ARHGAP17	0.058943
CTTN	MYLK	0.085069
CTTN	SHANK2	0.022856
CTTN	TJP1	0.019818
CTTN	NCF1	0.026138
DVL3	PITX1	0.11284
DVL3	CSNK2A1	0.13611
DVL3	VANGL1	0.038168
DVL3	KLHL12	0.029847
DVL3	ZNF408	0.034902
DVL3	MARK2	0.060814
DVL3	PRPF3	0.00073126
DVL3	DPPA2	0.0066749
DVL3	ZBTB48	0.00084332
DVL3	BAHD1	0.0066577
DVL3	TNFAIP8L1	0.0022436
DVL3	PPP2CA	0.066406
DVL3	DAB2	0.039794
SNAPC1	RB1	0.0027749
CELSR2	GARS	0.025168
CELSR2	KLF6	0.060415
VPREB3	VPREB1	0.072152
PLP2	BCAP31	0.060285
PLP2	DLGAP4	0.0054104
PLP2	IKBKAP	0.0059268
PLP2	CCR1	0.0045035
HSF2BP	HSF2	0.0041901
GYG2	GYS1	0.015816
PAX6	HOMER3	0.018964
PAX6	DLG1	0.014399
PAX6	TRIM11	0.010403
PAX6	EN1	0.021299
PAX6	SMARCA4	0.025646
PAX6	SIX3	0.015509
PAX6	MAFG	0.021565
PAX6	IPO13	0.014953
PAX6	DYNLL1	0.010458
PAX6	SOX10	0.039341
PAX6	RAX	0.0012893
PAX6	CDX2	0.0043861
PAX6	HOXB1	0.0075192
PAX6	SOX3	0.0049843
PAX6	DIAPH1	0.0042967
PAX6	EP300	9.9219e-05
PAX6	RGS3	0.016497
PAX6	PBX1	0.0058873
PAX6	SHANK3	0.0072766
PAX6	MITF	0.020338
PTRH2	AES	0.046112
NOL11	MARK3	4.2615e-05
PAK6	ESR1	0.00046126
MSH6	PCNA	0.2014
MSH6	MSH2	0.27938
MSH6	MUTYH	0.022609
MSH6	CREBBP	0.00091878
MSH6	EP300	0.00448
NAV1	TBC1D4	0.061868
WDR5	MBIP	0.047151
ETNK2	NOL3	1.8714e-05
F5	CSNK2A1	0.0020591
F5	PROC	0.041
F5	F2	0.014448
F5	CALR	0.00056809
F5	ELANE	0.00092658
F5	SERPINA3	0.017936
F5	F10	0.0020117
F5	PROS1	0.0062655
F5	MMRN1	1.2876e-05
RAD21	SMC1A	0.038494
RAD21	CASP7	0.00042174
PPM1G	GRIA3	0.016034
PPM1G	MTNR1B	0.0028126
PPM1G	LRPAP1	0.0089712
DENR	MCTS1	0.05881
DENR	UBC	0.016469
GTF2I	STAT1	0.030194
GTF2I	PRRX1	0.00066181
GTF2I	YY1	0.020889
GTF2I	HDAC3	0.0041569
GTF2I	ZBTB17	0.025667
GTF2I	PIAS2	1.4102e-06
GTF2I	SRC	0.030174
GTF2I	MAPK3	0.0021105
GTF2I	SRF	0.0095121
GTF2I	NFKB2	4.0291e-05
GTF2I	ATF6	0.0039499
GTF2I	STAT3	0.0048869
GTF2I	PRKG1	0.0023567
GTF2I	JAK2	0.0023263
GTF2I	BTK	0.064338
E2F6	EZH2	0.12223
E2F6	TFDP1	0.074499
E2F6	E2F1	0.032554
E2F6	TFDP2	0.077633
E2F6	EZH1	0.038446
E2F6	ZMYND11	0.0091203
E2F6	EPC1	0.065633
E2F6	RYBP	0.038929
SARS2	CASP3	0.018541
SARS2	EEF1A1	0.033971
CD38	CD9	0.0046976
CD38	CD4	0.029958
CD38	PECAM1	0.00064592
NDUFS6	KCNH2	0.002175
HOMER3	FAT1	0.013131
HOMER3	PAX6	0.018964
HOMER3	GRM5	0.024689
HOMER3	DYNLL2	0.0048442
HOMER3	FRYL	0.019501
HOMER3	HOMER1	0.0076886
HOMER3	CEBPB	0.001029
HOMER3	ITPR1	0.036204
FGD1	CTTN	0.028881
FGD1	ELMO1	0.017814
POLR2J	AATF	0.057544
POLR2J	SATB1	0.052019
CCT7	SSSCA1	0.1007
CCT7	CRMP1	0.013304
CCT7	SUMO4	0.029352
CCT7	ATP5C1	0.033179
CCT7	KAT5	0.012153
DARS	AIMP2	0.13763
DARS	EEF1A1	0.025777
VIL1	JAK3	0.062379
VIL1	TEX11	0.010101
VIL1	SRC	0.071477
MRPS12	UNC119	0.11939
MRPS12	CRMP1	0.0027193
PDCD10	STK24	0.0010997
BANF1	EMD	0.020766
BANF1	CRX	0.0083586
TOM1L1	NDC80	0.035461
TOM1L1	UBXN4	0.043322
TOM1L1	HGS	0.0028955
TOM1L1	PWP2	0.0013406
TOM1L1	HNRNPH1	0.018634
TOM1L1	CWF19L1	0.0027809
TOM1L1	TOLLIP	0.030216
TOM1L1	GLUD2	0.0056409
TOM1L1	GSN	0.033337
TOM1L1	PHYH	0.0010977
TOM1L1	PIK3R1	0.032904
TOM1L1	FYN	0.054947
USP28	MDC1	0.025993
USP28	CLSPN	0.062395
USP28	TP53BP1	0.0041077
ADAM28	ITGA4	0.0041476
HOXC4	PRKDC	0.031705
HOXC4	SOX10	0.047517
HOXC4	XRCC6	0.014979
PPP4C	PPP2R1A	0.17383
PPP4C	PPP2R5D	0.079273
PPP4C	HDAC3	0.040885
PPP4C	PPP4R1	0.0032058
PPP4C	TRAF6	0.03752
PPP4C	TMSB4X	0.029895
PPP4C	REL	0.023562
PPP4C	NFKB1	0.024336
RAC3	NRBP1	0.033542
RAC3	HNF1A	0.10539
RAC3	CIB1	3.7891e-05
RAC3	ANKRD11	0.00056437
GOT2	PC	0.047593
GOT2	MDH2	0.036276
GOT2	THOC7	0.016642
GOT2	GLUD1	0.0032571
ISOC2	NAA38	0.083675
GEMIN7	GOLM1	0.07037
GEMIN7	SNRPB	0.15866
GEMIN7	SNRPD2	0.22664
GEMIN7	SNRPE	0.055092
GEMIN7	SNRPD3	0.062252
GEMIN7	STRAP	0.011662
GEMIN7	KAT5	0.0031311
DUSP9	MAPK14	7.389e-05
DUSP9	MAPK3	0.0038911
KCNE4	KCNA1	0.0039365
KCNE4	PRKCA	0.00058171
KCNE4	KCNQ1	0.025263
ARL14	SMURF1	0.019849
HSPD1	HIST2H2BE	0.0040508
HSPD1	DHFR	0.061729
HSPD1	CASP3	0.028476
HSPD1	YWHAG	0.098014
HSPD1	PPP2R1A	0.0073588
HSPD1	BAK1	0.0055994
HSPD1	SUMO4	0.039024
HSPD1	PPP2R1B	0.050633
HSPD1	CASP9	0.00038012
HSPD1	RASA1	0.016606
HSPD1	PRNP	0.0028652
HSPD1	ITGA3	0.043291
HSPD1	TLR1	0.022812
HSPD1	ALDH2	0.11418
HSPD1	CA2	0.039349
KAT2A	TACC3	0.12027
KAT2A	TRRAP	0.042711
KAT2A	TADA2A	0.077042
KAT2A	XRCC6	0.03515
KAT2A	SIRT2	0.019403
KAT2A	CREBBP	0.0099216
KAT2A	EP300	0.010037
KAT2A	TACC2	0.02195
KAT2A	TACC1	0.10741
GALNT2	MUC1	0.0070444
RBBP8	PCNA	0.13045
RBBP8	WDYHV1	0.04694
RBBP8	BRCA1	0.10727
RBBP8	SIAH2	0.050419
RBBP8	BARD1	0.072062
RBBP8	TGIF2	0.016209
RBBP8	RBL1	0.049999
RBBP8	CTBP1	0.0051596
RBBP8	RB1	0.026094
RBBP8	LIMS1	0.00078211
RBBP8	IKZF1	0.010778
RBBP8	RBL2	0.03982
RBBP8	LMO2	0.036728
DLK1	GRN	0.01986
TRIM28	CBX1	0.053343
TRIM28	CHAF1A	0.11955
TRIM28	CBX3	0.045717
TRIM28	CBX5	0.090255
TRIM28	ZNF74	0.047089
TRIM28	TRIM24	0.0030089
TRIM28	SETDB1	0.031782
TRIM28	ESR1	8.1329e-05
TRIM28	SPG7	0.012121
TRIM28	ZNF689	0.0077147
TRIM28	ZNF10	0.028283
TRIM28	CEBPB	0.013133
TRIM28	NR3C1	0.088315
TRIM28	VIM	0.053615
RAB10	SEPT9	0.0059129
PRPS2	PRPSAP1	0.0088475
SFN	CDK1	0.012695
SFN	WDYHV1	0.0091115
SFN	PLK4	0.0068987
SFN	YWHAG	0.036404
SFN	EGFR	0.024609
SFN	KCNK9	0.00093619
SFN	BAX	0.00040459
SFN	CCAR1	0.0005628
SFN	CHST1	8.3062e-06
SFN	ING1	0.0029724
SFN	TBL3	0.020536
SFN	RFFL	0.0006985
SFN	EEF1A1	0.039766
SFN	MARK3	0.00019777
SFN	HDAC5	0.035634
SFN	TRIM25	0.00016368
SFN	MAP3K5	0.012339
SFN	NR3C1	0.017974
SFN	GPRIN2	0.0041133
SFN	ZFP36	0.00047121
SFN	KCNK3	0.036378
MAP7	TRPV4	0.023869
ITCH	CBLC	0.045665
ITCH	CPSF6	0.052385
ITCH	TRPV4	0.012681
ITCH	TP73	0.021191
ITCH	TRPC4	0.0067269
ITCH	RNF11	0.028731
ITCH	NUMB	0.035244
ITCH	RIPK1	0.02605
ITCH	JUN	0.041468
ITCH	NEDD9	0.048148
ITCH	OCLN	0.066241
SSRP1	MCM4	0.18563
SSRP1	CSNK2A1	0.14733
SSRP1	DHX9	0.099466
SSRP1	RAN	0.10098
SSRP1	SRF	0.00016837
SSRP1	CHD1	0.024809
SSRP1	SPI1	0.035235
SSRP1	ROBO2	0.040794
FANCE	FANCG	0.10369
FANCE	FANCA	0.063962
FANCE	FANCD2	0.092594
FANCE	FANCC	0.029278
PSMB3	PLK1	0.11817
PSMB3	PSMB5	0.19236
PSMB3	PSMB7	0.0223
PSMB3	PSMB2	0.032007
PSMB3	PSMB1	0.025797
H2AFX	BRCA1	0.15687
H2AFX	PPP1CA	0.033395
H2AFX	MDC1	0.023171
H2AFX	NBN	0.0077145
H2AFX	SUPT5H	0.043276
H2AFX	WRN	0.0095106
H2AFX	TP53BP1	0.0023013
XRCC3	FANCG	0.083431
XRCC3	RAD51C	0.075347
NUP85	DYNC1LI1	0.022611
NUP85	PIK3R1	0.063172
NUP85	VIM	0.048426
STMN2	CDK1	0.011242
STMN2	RGS20	0.024945
STMN2	TEX11	0.015628
STMN2	EEF1A1	0.018183
STMN2	MAPK3	0.002413
STMN2	MAPK10	0.013572
STMN2	GPRASP1	0.0084245
DEFB1	HAP1	0.0010677
DEFB1	VIM	0.0016982
NUP107	NUP133	0.05463
NUP107	NUP214	0.00020911
F2RL1	ST14	0.039368
F2RL1	CAPN1	0.0072589
F2RL1	COPS5	0.011378
F2RL1	F2	0.0089139
F2RL1	PLG	0.00020185
F2RL1	ELANE	0.0060025
F2RL1	CAPN2	0.0001344
F2RL1	GPRASP1	0.026708
SF3B4	SS18L1	0.002232
SF3B4	SUMO4	0.013321
SF3B4	TCERG1	0.010687
SF3B4	SF3B2	0.026175
SF3B4	MAPK9	0.015
SF3B4	BMPR1A	0.0364
BCL2L11	VDAC1	0.017236
BCL2L11	MEX3D	0.017443
BCL2L11	DYNLL1	0.029886
BCL2L11	BCL2L1	0.0027114
BCL2L11	BCL2	0.030803
BCL2L11	MAPK9	0.023224
BCL2L11	AKT1	0.015228
BCL2L11	MAPK10	0.040754
BCL2L11	BCL2L2	0.078638
BCL2L11	MCL1	0.0061423
BCL2L11	BCL2A1	0.0094792
E2F5	XPO1	0.01577
E2F5	TFDP1	0.039396
E2F5	RBL1	0.02799
E2F5	CREBBP	0.0037887
E2F5	EP300	0.0020073
E2F5	RBL2	0.0018452
STMN1	CDK1	0.15322
STMN1	CSNK2A1	0.12285
STMN1	UHMK1	0.034168
STMN1	UBQLN4	0.046911
STMN1	MAPK3	0.017338
STMN1	STAT3	0.067218
NIF3L1	TRIP13	0.11795
NIF3L1	KRT15	0.014296
NIF3L1	DCTPP1	0.081687
NIF3L1	COIL	0.10032
NIF3L1	SNF8	0.040029
NIF3L1	NUDT21	0.066498
NIF3L1	ZBED1	0.00020735
NIF3L1	TRAF2	0.030385
NIF3L1	YWHAQ	0.032035
NIF3L1	NOL3	0.013391
NIF3L1	RPIA	0.034747
NIF3L1	THOC7	0.02326
NIF3L1	TSC22D4	0.0017991
NIF3L1	KCTD17	0.00015193
NIF3L1	GNMT	0.0053875
NIF3L1	CUTC	0.0035715
NIF3L1	MAPRE2	0.034165
NIF3L1	TRIM21	0.028033
NIF3L1	VIM	0.056185
CASP3	DSG3	0.017528
CASP3	BIRC5	0.03866
CASP3	BLM	0.093791
CASP3	LMNB1	0.044121
CASP3	BRCA1	0.06062
CASP3	RAD51	0.069725
CASP3	PRKDC	0.045219
CASP3	TFAP2A	0.050092
CASP3	PSME3	0.028825
CASP3	SARS2	0.018541
CASP3	HSPD1	0.028476
CASP3	CAD	0.033849
CASP3	CDH1	0.010458
CASP3	AIFM1	0.034944
CASP3	PAK2	0.046013
CASP3	UBE4B	0.0047162
CASP3	KRT18	0.0012322
CASP3	PIP5K1A	0.0012624
CASP3	CASP6	0.04789
CASP3	CDC27	0.037256
CASP3	WEE1	0.0087359
CASP3	SRP72	0.045346
CASP3	DFFA	0.00073329
CASP3	BCAP31	0.023671
CASP3	PTMA	0.019626
CASP3	GOLGA3	0.01591
CASP3	PTBP1	0.01362
CASP3	EIF3J	0.014591
CASP3	PDE10A	0.00055624
CASP3	PARG	0.0056795
CASP3	GATA1	0.004857
CASP3	DEDD	0.0035614
CASP3	ACIN1	0.0005779
CASP3	KCNIP3	0.0036297
CASP3	BCL2	0.023928
CASP3	STK24	0.0017363
CASP3	MAPT	0.0096258
CASP3	MAPK8IP3	0.00065499
CASP3	APAF1	0.008539
CASP3	EIF4G2	0.0041077
CASP3	PSEN1	0.00018223
CASP3	CASP9	9.7687e-05
CASP3	ROCK1	0.0035803
CASP3	RB1	0.0014618
CASP3	PSEN2	0.0010697
CASP3	THAP11	0.010153
CASP3	PDE5A	0.080623
CASP3	RFC1	0.0037522
CASP3	STK4	0.0027209
CASP3	BIRC2	0.0004456
CASP3	PSIP1	0.0023637
CASP3	GSN	0.014154
CASP3	SRF	0.044208
CASP3	RABEP1	0.0030513
CASP3	PXN	0.029211
CASP3	AKT1	0.0018093
CASP3	GORASP1	0.04134
CASP3	NMT2	0.0062401
CASP3	MLH1	0.017335
CASP3	RASA1	0.00059567
CASP3	TGM2	0.0024278
CASP3	CAST	0.0024064
CASP3	HTT	0.070833
CASP3	GZMB	0.024668
CASP3	ADD1	0.073948
CASP3	SPTAN1	0.05643
CASP3	IL16	0.00058935
CASP3	PPP3CA	0.0072067
CASP3	MCL1	0.0016707
CASP3	MEF2A	0.074955
CASP3	HIP1	0.057319
CASP3	LYN	0.00057563
CASP3	VAV1	0.018123
CASP3	NEDD4	0.020593
CASP3	BMX	0.030263
CASP3	ARHGDIB	1.3172e-05
CASP3	IL18	0.009643
CASP3	CASP4	0.00058375
CASP3	FYN	0.019732
CASP3	HCLS1	0.0084537
CASP3	BIRC3	0.00097848
CASP3	CFLAR	0.019096
CASP3	CDKN1A	0.01486
CASP3	SLK	0.05628
CASP3	PRKCQ	0.02215
CASP3	PRKCZ	0.065586
CASP3	VIM	0.031769
MUC4	GALNT11	0.0014757
RAMP1	CALCA	0.022181
RAMP1	IAPP	4.5208e-05
RAMP1	CALCRL	0.0055508
