gene	p
PAX6	2.18e-06
NT5C3A	6.03e-14
ULBP2	2.09e-05
KRTAP4-1	7.73e-10
PTRH2	2.86e-14
NOL11	1.6e-17
PAK6	3.08e-10
MSH6	1.68e-15
POF1B	1.14e-08
NAV1	8.45e-13
TRUB2	1.69e-16
GOLT1B	1.92e-15
WDR5	1.19e-16
ETNK2	1.25e-16
F5	0.00019213
tuba4a	8.91e-10
RAD21	8.22e-15
PPM1G	1.14e-16
DENR	6.92e-26
FZD3	3.01e-06
MRPS35	2.43e-15
WDR75	6.64e-13
GTF2I	2.5e-08
CEP85	8.51e-18
E2F6	1.17e-14
DERL3	8.82e-08
PLOD1	1.46e-12
TIPRL	1.33e-12
SARS2	2.3e-11
DNPH1	1.63e-18
ELOVL6	7.26e-08
CD38	0.005681
NDUFS6	3.22e-13
HOMER3	9.22e-11
FGD1	4.35e-13
ZC3H8	2.99e-14
DTYMK	1.11e-23
SLIRP	5.56e-14
STARD5	5.43e-09
POLR2J	2.51e-19
GOT1	1.29e-09
CCT7	8.5e-21
FASTKD1	6.15e-13
DARS	5.77e-20
mrpl52	4.12e-14
PRELID3B	9.21e-10
ALG6	1.02e-12
KCNMB3	2.01e-15
VIL1	3.44e-08
MRPS12	5.48e-19
ARG2	9.64e-06
ABRACL	3.68e-07
PDCD10	3.15e-13
BANF1	5.25e-10
TOM1L1	2.58e-09
USP28	9.3e-15
ADAM28	4.25e-11
HOXC4	1.11e-11
TDRD5	2.39e-10
PPP4C	3.57e-11
GDAP1	9.24e-07
parp2	2.77e-15
RAC3	8.92e-13
GOT2	1e-18
ISOC2	1.02e-13
GEMIN7	2.42e-18
CRISPLD1	0.00338
DUSP9	9.14e-13
GSDMC	3.03e-09
KCNE4	3.99e-07
ARL14	7.79e-05
UTP20	1.56e-11
ORC5	3.99e-16
HSPD1	4.44e-15
DISP2	3.48e-08
STK26	5.29e-08
CPD	4.03e-07
KAT2A	7.2e-20
GALNT2	3.41e-12
RBBP8	2.53e-09
PTBP3	3.01e-17
DLK1	0.00017749
NFXL1	1.29e-08
ZFP69B	1.45e-13
TRIM28	1.29e-10
RAB10	2.06e-18
PUSL1	9.69e-12
PRPS2	4.59e-08
MRPL30	5.94e-23
SFN	0.0062228
MAP7	4.51e-09
ITCH	2.86e-16
IGHV1-69	0.00069327
C7orf49	9.74e-17
SSRP1	3.46e-16
AZIN1	2.99e-13
FANCE	2.02e-09
PSMB3	1.63e-13
H2AFX	8.03e-22
GXYLT2	0.00014267
XRCC3	7.71e-16
KIFC2	7.94e-13
NUP85	1.25e-14
STMN2	0.00046693
SLC5A3	8.63e-12
DEFB1	0.031194
NUP107	2.88e-12
F2RL1	1.34e-06
SF3B4	1.81e-09
BCL2L11	2.58e-17
PSMD3	2.71e-15
ZNF711	3.53e-06
E2F5	1.71e-06
STMN1	1.06e-16
CNOT11	1.09e-13
GLYATL2	3.16e-06
TUBB2A	1.51e-05
nhp2	2.28e-16
SMC6	8.05e-12
NIF3L1	2.27e-14
TIMM9	1.73e-15
CASP3	3.22e-12
TRIM45	6.93e-10
FOPNL	3.11e-12
SERPINB7	0.0012543
DPH2	2.35e-20
SMPDL3B	5.34e-07
MUC4	0.0086766
RAMP1	3.71e-05
FAAP24	3.06e-14
LRIF1	4.29e-06
hamp	0.00018096
USP1	2.08e-11
ACYP1	9.87e-09
SYT4	0.006021
POLR2G	7.2e-19
SLC25A15	4.82e-18
RAD51C	4.82e-15
CAD	1.71e-26
TMTC4	3.36e-15
KRT10	3.91e-15
MRPL51	8.16e-20
KIF20B	4.32e-16
CTSK	0.0017203
EIF3C	8.2e-08
DNAJC9	5.38e-18
UGT1A6	9.28e-06
EIF3B	3.83e-14
FOXA1	0.0017368
COIL	7.24e-17
OGDHL	3.43e-10
CGREF1	4.15e-13
NOLC1	1.44e-11
CLDN12	1.57e-08
COL12A1	0.00035484
CHRNA9	0.0016178
TDG	3e-10
VPS25	3.79e-17
NGEF	3.77e-15
PSMD8	7.22e-12
SLC39A7	1.38e-07
TMEM184A	3.99e-16
FAM161A	1.2e-09
DNAJA3	1.34e-20
HAUS1	1.53e-09
RUVBL2	1.87e-13
OLFM4	0.0019613
BRCC3	1.3e-12
NEFH	0.00071489
DHRS2	4.2e-05
MUC13	1.42e-06
HOXD11	7.46e-11
MTX1	1.7e-18
KRT19	6.25e-05
CLDN3	0.0095365
PAIP1	7.78e-14
SLC38A1	2.49e-13
WDR45B	1.31e-14
FST	0.012538
iars2	1.87e-17
PAK1	1.75e-18
VARS	7.91e-16
Cox6b1	2.54e-17
HSD17B10	1.24e-17
CPNE1	3.24e-10
TBL1X	9.83e-12
PGF	1.11e-09
TAF2	1.57e-18
LMAN1	9.56e-06
PMS2P1	4.13e-16
METAP1	2.61e-13
ELOVL2	6.23e-11
RPE	2.27e-15
FRMD6	0.00068524
HOXC13	2.54e-16
LCLAT1	2.52e-11
RPN2	1.89e-16
ERC2	1.37e-12
ARPC1A	6.99e-10
SGO1	3.83e-21
CHCHD2	7.82e-20
c17orf53	2.82e-20
AMPD3	1.91e-06
KHDC1L	0.00012137
RIMS2	5.75e-11
SMOC1	7.93e-07
SCRN1	2.98e-07
VEGFA	1.18e-05
APEX1	4.09e-14
GPC6	0.00072479
GPX7	3.42e-05
PSMD4	8.02e-19
FGF19	0.00067249
NUPL2	4.45e-11
UBE2M	0.00045196
HIST1H2BC	0.00060948
ITGB3BP	4.68e-08
tmem65	8.59e-13
APBA2	1.6e-10
C1GALT1C1L	2.27e-08
CDH17	0.00070257
TRIB3	8.26e-10
LSM1	3.81e-12
mir205	6.16e-07
HPS3	4.97e-12
MUCL1	0.00033918
RTKN	8e-18
TFAP2C	5.24e-08
YWHAZ	4.49e-11
MRPS7	1.61e-18
whsc1	4.88e-15
ANGPTL4	0.0019103
TRIM9	1.94e-07
IGLV6-57	1.93e-05
Fancf	2.24e-09
SNRNP48	3.2e-10
SCGN	0.00075854
CLDN1	0.026062
ERAL1	1.18e-10
UTP4	4.24e-11
KIF22	1.15e-20
TNFSF11	5.79e-13
MRPS34	3.99e-18
DDIT3	7.18e-08
SLBP	3.36e-14
RPS6KB2	2.94e-15
TIMM29	1.07e-15
PAM16	1.46e-13
EDN2	5.5e-07
GLDC	7.93e-05
CANT1	2.45e-11
TAF15	1.39e-07
IL36RN	8.85e-07
POU4F1	8.26e-08
PREB	5.46e-15
TF	5.71e-05
HGD	1.79e-05
slc2a5	2.3e-15
SMUG1	6.27e-24
SOX15	1.38e-09
CNPY2	7.69e-23
TOMM70	1.14e-15
RNF7	2.11e-15
MELTF	5.83e-17
DGKA	1.74e-06
ZBTB41	7.53e-08
DYNC1I1	1.16e-08
TSEN34	2.9e-14
DFNA5	0.00015493
LAMA1	1.01e-06
HOXD10	1.56e-11
METTL1	1.98e-12
GSG2	7.78e-15
CBX5	6.09e-13
P2RY6	8.53e-10
aldh3b2	1.01e-10
TFDP1	1.03e-11
PFDN4	2.55e-19
MMACHC	3.72e-14
NKRF	8.13e-16
CCHCR1	7.79e-17
KRT31	4.9e-07
CST2	4.07e-08
MTERF3	1.75e-10
GSR	3.44e-07
SS18	1.68e-08
FSTL5	0.0012302
brca2	2.53e-12
mta3	1.44e-25
FXR1	3.27e-10
NFS1	3.02e-17
EMG1	4.86e-11
SIGMAR1	3.22e-10
COL6A3	0.00019617
PALB2	5.12e-09
NREP	2.83e-07
CERCAM	4.83e-14
NUP62CL	2.45e-11
DCUN1D1	8.94e-09
ZNF184	5.3e-08
SASS6	2.86e-14
FARSA	3.1e-13
TIMM10	2.02e-10
SLC6A15	4.36e-08
MLEC	4.61e-12
PANK1	1.77e-07
ANAPC11	1.49e-30
PTDSS1	1.14e-09
TRIM2	1.14e-08
NDUFB11	8.34e-12
GLMN	4.88e-11
ANKRD13B	1.07e-15
ADA	9.89e-05
FKBPL	3.58e-14
MLF2	8.43e-11
ISCA2	5.15e-13
ABCC2	4.08e-06
APLP1	1.24e-07
FAM213A	8.94e-09
NOB1	1.04e-11
PCK1	0.0034518
ppfia4	3.33e-15
TRPM2	8.65e-12
POLD1	9.19e-09
TNNI3	8.37e-08
UBE2Z	1.8e-14
GAL	3.06e-10
RAB15	1.96e-06
TRPT1	2.15e-17
PSMB4	1.37e-21
gemin6	1.39e-22
COASY	1.97e-15
USP10	9.04e-12
PUF60	2.91e-11
YEATS2	1.07e-10
FADD	1.8e-09
CYP2J2	1.98e-05
TMEM9	3.52e-09
FAM98A	1.11e-14
CSTF3	1.4e-09
IDE	1.22e-09
WDR4	4.15e-14
DPM2	7.35e-10
MRPS18A	2.39e-14
HSPA13	1.59e-06
COL18A1	7.49e-05
PDCD6	6.15e-14
DLK2	1.37e-13
mapk13	9.57e-08
GAMT	8.73e-15
fjx1	0.0005069
poldip2	1.23e-13
HDAC2	3.22e-19
TBC1D7	1.56e-20
PAX5	9.49e-08
TWF1	7.67e-17
MAZ	2.23e-08
POLG2	3.89e-14
cxorf40a	2.52e-15
ZKSCAN4	3.23e-09
UMODL1	0.00025777
COX16	1.03e-12
NDUFB5	1.89e-12
PRR7	4.76e-16
PTPRN	4.58e-07
POLR2K	3.93e-11
KRT75	3.16e-07
HMGB2	1.39e-16
FBXL19	1.47e-13
BASP1	5.17e-08
WNK3	3.15e-07
TXNDC17	1.77e-12
PPID	8.33e-11
GALNT1	8.69e-11
EHF	0.00084013
NDUFA8	9.37e-14
CCT4	2.42e-19
CPE	0.01483
NT5C3B	2.78e-12
SLC35B1	1.55e-13
ZNF300	5.03e-06
ANXA13	0.00020091
NTMT1	1.75e-12
GNGT1	4.39e-11
ZNF593	2.41e-08
FAM83C	2.58e-06
MED20	7.94e-20
PLVAP	0.00013244
DHX9	3.63e-11
E2F1	5.83e-13
ADSSL1	6.62e-09
SHC1	2.4e-07
NMD3	4.41e-16
TMTC3	9.06e-09
GANAB	3.82e-13
PLD1	2.96e-07
IL17RD	4.29e-09
CDK5R2	5.93e-07
P2RX5	0.00056488
THOP1	4.35e-13
NAA10	5.94e-12
TYW3	2.67e-12
FOXG1	3.96e-06
CIB2	4.06e-17
DLG5	8.92e-13
C17orf99	1.29e-08
CDK2AP1	5.78e-13
MTMR4	2.82e-12
MRPS16	3.22e-19
CLCN2	8.68e-17
MIB1	6.05e-10
HEATR1	4.61e-15
BTBD2	1e-09
ERO1B	0.0007798
CD109	6.94e-05
MRPL11	3.26e-09
EPYC	3.68e-05
FBLIM1	1.72e-08
Cox5b	7.18e-17
KDELR1	9.29e-10
HAUS6	6.48e-08
VANGL1	5.63e-11
PPP1R16A	6.81e-06
RIPPLY2	1.29e-11
GART	1.58e-16
DNMT3A	3.04e-17
XRCC2	8.8e-09
ATP10B	3.75e-08
VDAC3	5.25e-09
RGS4	0.00031989
NRCAM	0.0013781
SEH1L	1.81e-09
LYPD6	3.12e-09
ACOT13	1.37e-08
SRD5A3	0.00079057
NEUROD1	0.0020346
CALCB	4.21e-05
MRPL48	1.88e-10
SLC25A13	8.92e-11
NIFK	9.76e-13
AARS	3.26e-15
ZNF74	6.7e-13
CDKN2C	2.41e-07
BUB3	1.54e-22
SUPT16H	4.28e-09
USP18	3.2e-06
NRAS	3.03e-10
TDO2	0.0010113
OST4	9.44e-13
FKBP14	4.28e-09
PROC	1.49e-07
ORC4	8.08e-12
ZNF680	7.45e-08
IMMP1L	1.23e-08
LRR1	6.77e-18
AHSA1	2.02e-11
VBP1	1.18e-12
TARBP2	1.2e-14
GOLGA7B	8.9e-10
TMEM206	2.93e-15
P3H3	1.21e-08
DIABLO	2.16e-21
cbr3	0.0012647
GCAT	7.24e-10
TP63	1.3e-08
CHAC1	2.06e-09
DDOST	3.5e-17
slc1a5	1.73e-07
GMPS	8.91e-10
PPM1E	0.00021321
FAM173B	6.68e-11
TBCE	1.45e-09
MPZL1	3.74e-16
TMEM17	0.00025799
fam83h	2.83e-12
ASCL2	1.72e-08
DLAT	3.11e-07
RBM38	8.31e-07
ARHGAP11A	2.59e-14
MRM2	2.64e-13
NSMCE2	1.87e-12
EGLN1	7.79e-17
POLE3	2.23e-08
MORF4L2	1.32e-06
ARSE	0.016251
BLMH	2.07e-06
ALKBH2	6.3e-08
CENPQ	7.94e-09
UNC5CL	0.0008663
TM9SF4	1.74e-09
MZT1	1.32e-13
RINT1	1.18e-10
YARS2	3.21e-12
c1orf35	1.4e-18
FA2H	2.42e-07
LPAR3	0.00031476
INTS7	5.69e-12
USP21	1.04e-09
HPRT1	7.81e-19
KLK8	9.02e-07
ighd	0.032004
Tigit	7.45e-06
NOP58	2.09e-08
RANBP1	9.95e-20
UCHL5	5.43e-20
GSKIP	1.19e-09
GTF2H4	9.27e-09
chrnb1	4.17e-08
ATF5	1.1e-10
spink2	4.67e-06
KLHL12	3.12e-14
CBS	0.00019775
GCG	0.034211
PAXIP1	1.94e-08
LONP1	5.63e-11
CGA	8.2e-05
ILF3	3.94e-12
NUP35	6.32e-08
WDR77	5.22e-15
RBM12B	2.13e-08
MED10	8.55e-09
OTULIN	4.39e-17
SDHAF4	1.04e-08
SOX12	9.57e-18
GINS4	6.26e-15
COPS6	3.79e-14
SPHK1	0.0011206
DLG1	3.72e-08
ROMO1	1.28e-12
RHOD	6.32e-08
GORASP2	1.01e-15
FBXO22	7.67e-14
HSPBP1	2.24e-11
ZSCAN2	8.17e-19
FCRLA	5.27e-06
SNX31	0.00014145
MRPL27	2.29e-15
sec24a	4.24e-07
NEB	6.95e-09
DLG3	3.36e-13
USH1C	1.83e-06
EIF4A3	2.97e-10
ZNF280C	7.74e-07
TRAP1	1.08e-24
TMEM216	1.17e-12
NDUFB9	5.09e-13
PTH2R	0.0003236
RABGEF1	1.93e-05
ELMO3	7.85e-05
MEX3B	7.04e-10
ATP6V1C2	3.57e-06
ZW10	4.86e-10
GABRR1	2.32e-05
RITA1	4.66e-14
PRMT1	3.97e-13
GTF2E2	1.15e-11
ARHGEF39	1.48e-13
SNRPD3	3.13e-09
AKT1S1	3.99e-09
AP2M1	5.82e-08
SMG8	6.01e-10
HSD17B1	6.94e-12
EPS8L3	7.98e-05
CDH1	0.00013598
MTA1	6.61e-12
LPGAT1	5.34e-07
SLC37A4	1.05e-15
TFAM	1.6e-14
ABHD10	1.5e-06
OVOL2	4.9e-08
PHF6	3.39e-21
TSR1	2.85e-11
BCL7A	7.6e-09
IFI6	0.018397
ERI3	2.51e-07
USP39	3.89e-14
CPSF2	4.45e-10
SDK1	6.6e-05
ZNF595	0.00035094
C6orf141	1.18e-07
FLNB	4.68e-07
RASAL1	2.05e-15
UBE2E3	3.46e-11
SLC25A1	3e-05
ALG10	2.43e-12
CDC123	4.69e-11
ATAT1	1.3e-15
CYP27C1	3.96e-07
UBL4A	2.64e-12
ENOPH1	3.76e-11
ATP5G3	2.11e-14
QPRT	0.00031463
WDR46	2.54e-10
TBL1XR1	1.52e-09
CLSTN1	2.97e-10
WDR18	1.6e-09
TONSL	1.03e-16
HEXIM2	3.06e-08
TUBB3	1.25e-08
CD72	0.0066518
DYRK2	1.04e-11
VAX2	2.25e-11
ISL1	0.00023889
NMNAT2	3.6e-06
ZG16B	0.036162
NLE1	4.94e-13
PSMA7	7.66e-10
RAB3A	2.38e-12
GCFC2	2.48e-11
GLRX5	6.22e-15
kctd13	9.15e-08
PM20D2	8.8e-07
NAT10	3.12e-08
OPLAH	6.33e-07
ZNF567	7.23e-10
SDHAF1	2.17e-12
ZCRB1	9.73e-12
DUSP13	1.69e-06
PHB	5.25e-14
EFS	0.0025509
GLRX2	3.06e-12
PSMA4	1.71e-14
BHMT2	0.0090543
ZKSCAN1	9.72e-08
RABIF	6.37e-16
MOGS	5.11e-12
AIFM1	2.94e-08
EIF2B5	3.79e-09
DBNDD1	1.58e-12
NXPH4	1.01e-12
MAST1	1.91e-11
ZMYND8	1.07e-13
ZNF57	0.00044611
TRMT5	1.25e-13
PHF5A	9.88e-07
ANO9	1.51e-09
PLAG1	3.35e-05
MARCKS	9.86e-08
PXDN	0.002187
FAM3C	2.06e-09
IL37	8.05e-05
MRPS26	1.27e-21
CRIPT	6.19e-13
DIAPH3	2.02e-10
VPS37D	9.39e-18
SERPINB13	0.00063668
PTOV1	6.43e-08
NPM1	4.17e-12
WDR34	5.17e-05
LINC00473	0.0042428
AKR7A3	6.22e-07
CEACAM1	3.47e-05
SYAP1	1.41e-08
CERS3	4.35e-07
ADSL	2.47e-10
SNF8	1.56e-11
TFF2	0.00093764
FBXO27	7.91e-09
MRPS2	1.22e-07
FH	5.5e-15
CDC25C	5.95e-22
DNAJC10	5.17e-08
DNER	0.044827
KDF1	2.81e-08
CLPTM1	2.2e-05
SPCS3	2.28e-05
AATF	2.88e-12
MKKS	1.71e-07
igsf11	1.82e-05
MRAP2	0.029507
ACVR2B	5.55e-10
EPHB1	4.08e-08
ZNF607	4.9e-08
CNTD2	6.21e-12
PRCC	4.64e-06
SSSCA1	3.85e-10
TFDP2	1.77e-08
PRDX2	3.98e-16
MFF	1.79e-11
AGBL5	4.78e-12
POM121C	1.62e-07
PTGES2	1.16e-12
RAB42	0.00010164
ARL4C	1.54e-05
ATXN7L3	2.05e-13
MRPL4	3.02e-07
VRK2	6.02e-07
CUL4B	1.1e-07
SEMA4C	4.74e-09
SSR1	1.69e-10
PHB2	7.49e-13
ABCE1	8.71e-10
FTSJ3	7.05e-11
PIM2	0.00036164
PAK2	4.2e-10
c5orf30	7.49e-06
DLX6	3.53e-08
GID8	9.08e-11
SLC29A4	6.82e-13
POLR3D	3.23e-09
PRDM13	4.71e-07
GTPBP4	7.58e-09
TIMM17B	5.37e-23
UGDH	0.00045778
NVL	1.52e-11
PDCD5	1.58e-07
SMC3	5e-10
SCAMP3	4.05e-15
NDUFA9	5.81e-12
GPATCH1	3.17e-06
FOXRED1	4.64e-10
RNF181	6.59e-12
ATAD3A	3.42e-14
TRRAP	3.94e-07
EED	4.14e-07
PPIB	7.32e-06
ndufaf8	1.43e-15
TIMM8A	2.88e-15
HCN3	4.83e-13
PTK2	6.35e-08
TMEM258	1.09e-11
EMC8	1.84e-15
RPS21	2.48e-08
PMS2P3	2.06e-17
WDR66	0.0045209
CEP295	6.46e-12
chpf2	6.47e-10
CBFA2T2	9.93e-10
PTK6	2.15e-06
ENTPD7	1.89e-09
DDX49	1.88e-11
NEFM	1.44e-05
NRK	3.87e-05
DOLPP1	2.73e-14
NPW	8.02e-06
TMEM14B	1.06e-09
SCIN	0.0049404
NAE1	9.9e-13
ldhc	1.53e-09
PNCK	1.06e-07
ZNF507	1.68e-11
ACLY	4.05e-07
PIGF	1.72e-09
DHX33	2.23e-09
NADK2	6.41e-09
RBBP5	7.41e-05
EIF5A	0.0018675
POP5	7.27e-10
TRIAP1	7.98e-12
SMG7	1.16e-12
AQP11	7.39e-12
ehhadh	0.00031857
ESCO1	3.08e-09
LINGO1	2.79e-11
TMX1	8.05e-06
PSMD10	5.47e-06
CPSF4	5.48e-14
VARS2	5.74e-10
DPP10	0.0011029
NDUFAB1	2.94e-16
MLST8	3.44e-08
USP5	1.29e-11
PLXNB3	1.13e-08
PNKP	5.39e-07
BMF	5.45e-06
CYP2C18	0.00071073
CDYL	2.83e-09
ZBTB9	4.31e-10
SMURF1	6.64e-10
AP2S1	8.02e-09
CACNA1B	2.4e-10
WDR43	3.49e-05
TMUB1	2.64e-07
DUSP11	8.01e-12
POLR1C	4.19e-09
ZNF669	1.61e-10
B3GNT5	0.00012137
ADM	0.036818
HSPB11	2.83e-09
HIKESHI	8.96e-09
RPL26L1	4.5e-12
PIF1	6.41e-21
ZBED6	7.06e-07
MAIP1	2.3e-12
MIEN1	1.7e-10
DDX27	5.78e-11
PRSS3P2	5.73e-10
LYRM4	1.02e-07
HTATSF1	4.47e-09
TRIM11	3.34e-13
EIF2B2	7.48e-11
KCNQ5	1.41e-08
TMEM159	5.21e-05
PRR5	3.89e-07
ATP5B	3.27e-12
NRBP1	1.7e-08
c1orf43	2.41e-11
REEP2	1.39e-12
PIGM	7.21e-07
NPFFR2	2.73e-05
SLF1	3.88e-10
INSL4	0.00093112
FAHD1	2.68e-08
ULK1	2.34e-11
HOXC11	4.16e-13
FASTK	3.78e-13
TRAF4	1.48e-09
PCDH8	0.0017875
DUSP12	1.47e-10
NUDT21	3.53e-08
PIGW	2.67e-05
LPAR2	4.91e-13
NUCKS1	7.75e-10
SRP9	6.36e-13
TFAP2D	6.46e-06
WDCP	1.34e-07
ATP6V0A4	0.00096488
TCOF1	2.75e-16
trmt61b	6.81e-09
UFD1L	5.37e-10
ELAVL2	2.28e-05
zfp64	4.1e-21
HSP90AB1	0.00018918
SEC11C	0.0035194
PRSS3	7.1e-06
MUC5B	0.01678
NCBP1	3.46e-11
ATP23	2.53e-12
B3GNT6	7.23e-06
Hist1h3b	3.69e-15
ZNF212	1.15e-14
MRPL18	8.56e-11
CCDC51	2.5e-09
SENP2	2.11e-07
znf526	1.03e-07
NKIRAS2	9.95e-11
HTR3A	1.01e-05
NUP37	1.05e-14
CFHR4	2.07e-09
ZNF8	2.28e-12
MRPL45	4.18e-10
TMCO1	6.93e-11
UBAP2L	1.98e-15
DCLRE1A	4.37e-08
MRPL44	6.78e-10
SUPT3H	1.7e-12
ZNF618	4.83e-05
CENPI	2.34e-22
PDP1	0.00015169
RPS5	9.8e-11
GEN1	6.52e-11
ISL2	1.35e-11
ATP6V1E2	9.47e-06
YWHAG	1.59e-12
YBX2	6.57e-08
GFM2	2.26e-07
LGI2	7.94e-07
TRO	2.84e-08
MDH1	3.13e-08
CAMK2N2	5.75e-16
SAMD1	5.22e-16
CHCHD10	8.33e-05
HNF4G	5.3e-09
ATXN7L3B	9.68e-09
XRCC4	3.18e-07
KHDC1	7.57e-10
HAUS3	1.46e-06
C11orf84	4.86e-11
MRPL10	1.45e-10
FNDC4	6.72e-09
TGIF2	1.9e-06
RPS6KC1	4.85e-06
KIF5C	0.0011366
LAMB3	0.033521
COX6C	1.22e-14
CBX2	3.26e-14
tsen15	1.97e-08
cbln2	7.72e-05
SF3B6	9.77e-20
EIF3I	3.13e-10
PRRC1	1.32e-09
TRIM7	1.8e-05
SMO	1.34e-11
AGMAT	6.36e-15
patl1	4.21e-07
abcc1	0.00038295
KLHL24	2.99e-05
KCNG1	4.69e-10
TARBP1	3.96e-08
MIS18BP1	2.87e-08
NUDT15	1.12e-06
JSRP1	3.21e-05
NELL1	4.79e-06
TMEM106B	3.96e-09
MDFI	1.21e-07
PTCD2	4.8e-09
ESPN	1.39e-10
PCDH7	0.0001065
BUB1	4.98e-21
SLC4A3	2.55e-08
PARD3	5.78e-07
ERH	3.76e-12
NDUFS2	3.26e-13
CACNB3	1.94e-05
CLCA4	0.0010694
PRELID3A	3.41e-11
ESF1	3.35e-05
SIGLEC15	2.33e-05
TNPO1	7.26e-13
CASK	1.59e-12
DAP	6.61e-08
SMIM22	0.0032967
BSG	0.00049215
ppfia1	6.55e-07
YIF1B	4.77e-12
UGGT1	2.18e-18
ZNF114	2.2e-05
EIF2AK1	2.81e-08
MAGOHB	7.49e-12
SMARCB1	9.86e-14
MYPOP	2.92e-08
NAA50	5.94e-09
PSMD7	5.31e-14
SUZ12	3.07e-15
DCPS	2.04e-07
TXN	0.00013265
NOC3L	1.89e-07
FGD6	9.59e-06
CEP78	3.01e-07
ZFAT	2.97e-10
NSG1	5.74e-05
FRK	0.00013244
ARL1	2.17e-09
PPP1CA	1.96e-06
RHBDF2	7.86e-06
RPAP2	9.17e-13
EXOSC3	6.14e-13
FSD1	3.6e-07
TTF2	1.15e-12
UBE4B	1.13e-07
NOA1	1.48e-07
SUV39H1	2.12e-07
PYGO2	3.42e-16
TMED9	2.21e-08
INHA	0.00034773
ARMC1	2.97e-10
PFAS	2.09e-05
ZNF587	5.74e-09
Pet117	2.34e-08
MRPS15	9.6e-14
ELL3	9.21e-05
RPP25L	5.07e-13
MC1R	2.68e-10
GNPAT	1.67e-12
ZFPL1	2.59e-15
SLC9A7	3.07e-08
CHST6	0.0012262
AP2B1	2.13e-06
PRRC2A	7.33e-08
NIPAL4	4.45e-07
GALNT6	0.0079211
PASK	2.7e-05
PSMC1	2.21e-11
ARFGAP1	2.35e-09
GTF2E1	1.16e-07
ANKRD16	7.71e-11
HIST1H4E	6.23e-10
NDUFB3	3.25e-13
GPR84	0.018984
KCNH2	0.00072109
CEP19	0.00052767
vkorc1	9.3e-08
NAT9	2.52e-11
GTPBP3	8.24e-17
ZNF107	3.43e-12
UBE2K	2.33e-14
H1FX	0.00023232
GYS1	2.4e-07
TBPL1	2.82e-06
POT1	3.16e-07
ISG20L2	5.9e-12
CD180	0.0043104
IQCB1	2.32e-06
FIP1L1	2.88e-08
WDR54	0.0013116
UNC119	5.46e-10
FTSJ1	8.92e-11
fam57a	0.00020445
NDE1	3.14e-12
CEP131	1.72e-09
DPAGT1	5.5e-09
PSMD1	2.28e-12
MTPAP	3.12e-11
CHORDC1	9.47e-10
ITPA	1.87e-12
AGPAT5	3.82e-06
TMEM176A	0.011589
TBCCD1	7.53e-05
Uqcrq	5.31e-12
PRRX2	6.71e-08
COL2A1	0.0010903
ZNF703	0.0058936
AUP1	1.79e-11
TIA1	1.92e-07
KREMEN2	5.24e-11
CTAG2	0.00012824
BGN	0.0014562
INO80B	7.44e-11
NAA20	7.76e-08
ARMC10	5.47e-11
spib	0.00049935
RNF39	9.13e-05
LRFN4	4.26e-14
ADRM1	3.86e-07
KCTD5	9.87e-10
dhx37	1.33e-11
kcnh8	1.8e-06
RUNDC3A	1.31e-06
WNT5A	0.041856
SND1	2.16e-12
TCEB1	1.47e-06
KLC2	2.13e-07
UBA2	8.9e-08
PABPC3	6.35e-11
ZPR1	1.92e-08
PCDHB2	0.0059882
MAP2K6	6.01e-09
HAX1	1.7e-14
PCGF3	6.26e-10
IBSP	0.0010752
ASAH2B	4.02e-10
PRRX1	0.0078148
Spink13	0.00052482
EPHA7	9.29e-05
THUMPD3	1.46e-12
RMND5A	1.68e-08
BMP7	3.75e-07
KBTBD6	0.00033348
RIPK4	2.09e-05
TCFL5	1.39e-05
KCNK1	0.00091451
CDA	0.012877
PKIB	0.0093468
SEPT3	8.12e-06
ZNF786	4.26e-09
HAUS8	3.85e-08
ADGRG1	5.63e-05
CLPP	1.26e-10
CALY	0.00010951
MRPL35	1.94e-09
ITGB4	4.07e-10
MDH2	2.99e-10
ZNHIT1	6e-09
DEK	9.44e-08
PIK3R2	2.28e-16
WDR76	8.21e-11
fastkd3	7.41e-07
LHX2	1.61e-07
MIA	0.00020557
BRAT1	6.03e-07
CLK2	6.63e-10
GPR143	2.23e-05
TRMT6	5.13e-05
tfcp2	2.15e-08
RPL8	1.81e-09
ARHGAP39	1.09e-13
BEND3	7.41e-07
HIF1A	1.29e-06
tmem132a	2.74e-17
CHTOP	1.26e-14
HOXB9	2.3e-15
ESYT2	1.53e-05
MTCH2	1.06e-08
EIF5A2	7.29e-05
TCF3	3.88e-23
PRAF2	1.8e-06
ATCAY	1.74e-09
GTF3C6	1.57e-10
IL11	5.52e-06
COX7A2	2.38e-12
ITGAV	0.00011451
MRPL28	2.14e-11
PPEF1	6.06e-07
HSPA4	2.68e-07
SLC51A	0.0010828
MRPS28	1.5e-05
UGT2B28	0.00021889
NUDT19	1.63e-05
IER3IP1	5.57e-05
JTB	3.27e-14
GNB5	7.05e-14
GTF3C3	3.43e-11
LDB1	2.46e-11
NAT14	5.34e-05
CLTCL1	1.66e-06
TIMM13	5.13e-16
EFNB3	1.18e-09
RAB38	0.027429
TMEM87B	6.98e-07
BCL9	1.07e-10
DNAJC19	9.84e-06
SATB2	1.88e-06
ATL2	1.97e-06
EHBP1	0.00043409
DVL2	1.62e-14
VGF	7.86e-08
PTGES3	3.09e-11
LCOR	0.00015371
DOK5	0.0001912
PPP5C	5.98e-12
